"Iteration #"	"Inertia"	"Number of features"	"CV best"	"Permuted CV best"	"Global best fitness"	"Current best fitness"	"Number of features in current best agent"	"Number of features in global best"	"Number of features in local best"
1	1	20	93.8741156516319	56.9427130363219	35.0361036533884	35.0361036533884	11	20	400
2	1	20	93.8741156516319	56.9427130363219	35.0361036533884	33.9639228969728	14	20	20
3	1	14	95.2845583989298	55.9365882255567	36.1765057144606	36.1765057144606	16	15	15
4	1	17	94.3283006745544	52.547652558478	36.2467897581262	36.2467897581262	17	17	17
5	1	15	94.3283006745544	51.5346270358044	36.4101091483752	36.4101091483752	13	16	16
6	1	16	94.6541358590307	51.8408666630091	36.6041952967248	36.6041952967248	16	16	16
7	1	16	94.6541358590307	51.8408666630091	36.6041952967248	36.6041952967248	16	16	16
8	1	19	96.8844403707214	56.6455449549347	36.6746671573016	36.6746671573016	15	15	15
9	1	19	96.8844403707214	56.6455449549347	36.6746671573016	36.6746671573016	15	15	15
10	1	19	96.8844403707214	56.6455449549347	36.6746671573016	36.6746671573016	15	15	15
11	1	16	96.8844403707214	51.9334864120185	37.5670788658849	37.5670788658849	16	16	16
12	1	16	96.8844403707214	51.9334864120185	37.5670788658849	36.6165266452547	14	16	14
13	1	15	100	53.353117518549	38.5793764962902	38.5793764962902	16	15	15
14	1	15	100	53.353117518549	38.5793764962902	37.5670788658849	17	15	15
15	1	15	100	53.353117518549	38.5793764962902	36.7352969443246	15	15	17
16	1	15	100	53.353117518549	38.5793764962902	38.5793764962902	15	15	30
17	1	15	100	53.353117518549	38.5793764962902	38.5793764962902	15	15	30
18	1	15	100	53.353117518549	38.5793764962902	38.5793764962902	15	15	45
19	1	15	100	53.353117518549	38.5793764962902	38.5793764962902	15	15	45
20	1	15	100	53.353117518549	38.5793764962902	38.5793764962902	15	15	45
21	1	15	100	53.353117518549	38.5793764962902	38.5793764962902	15	15	45
22	1	15	100	53.353117518549	38.5793764962902	38.5793764962902	15	15	45
23	1	15	100	53.353117518549	38.5793764962902	38.5793764962902	15	15	45
24	1	15	100	53.353117518549	38.5793764962902	38.5793764962902	15	15	45
25	1	15	100	53.353117518549	38.5793764962902	38.5793764962902	15	15	45
26	1	15	100	53.353117518549	38.5793764962902	38.5793764962902	15	15	60
27	1	15	100	53.353117518549	38.5793764962902	38.5793764962902	15	15	60
28	1	15	100	53.353117518549	38.5793764962902	38.5793764962902	15	15	60
29	1	15	100	53.353117518549	38.5793764962902	38.5793764962902	15	15	60
30	1	15	100	53.353117518549	38.5793764962902	38.5793764962902	15	15	60
31	1	15	100	53.353117518549	38.5793764962902	38.5793764962902	15	15	60
32	1	15	100	53.353117518549	38.5793764962902	38.5793764962902	15	15	60
33	1	15	100	53.353117518549	38.5793764962902	38.5793764962902	15	15	60
34	1	15	100	53.353117518549	38.5793764962902	38.5793764962902	15	15	60
35	1	15	100	53.353117518549	38.5793764962902	38.5793764962902	15	15	60
36	1	15	100	53.353117518549	38.5793764962902	38.5793764962902	15	15	60
37	1	15	100	53.353117518549	38.5793764962902	38.5793764962902	15	15	60
38	1	15	100	53.353117518549	38.5793764962902	38.5793764962902	15	15	60
39	1	15	100	53.353117518549	38.5793764962902	38.5793764962902	15	15	60
40	1	15	100	53.353117518549	38.5793764962902	38.5793764962902	15	15	60
41	1	15	100	53.353117518549	38.5793764962902	38.5793764962902	15	15	60
42	1	15	100	53.353117518549	38.5793764962902	38.5793764962902	15	15	60
43	1	15	100	53.353117518549	38.5793764962902	38.5793764962902	15	15	60
44	1	15	100	53.353117518549	38.5793764962902	38.5793764962902	15	15	60
45	1	15	100	53.353117518549	38.5793764962902	38.5793764962902	15	15	60
46	1	15	100	53.353117518549	38.5793764962902	38.5793764962902	15	15	60
47	1	15	100	53.353117518549	38.5793764962902	38.5793764962902	15	15	60
48	1	15	100	53.353117518549	38.5793764962902	38.5793764962902	15	15	60
49	1	15	100	53.353117518549	38.5793764962902	38.5793764962902	15	15	60
50	1	15	100	53.353117518549	38.5793764962902	38.5793764962902	15	15	60
51	1	15	100	53.353117518549	38.5793764962902	38.5793764962902	15	15	60
52	1	15	100	53.353117518549	38.5793764962902	38.5793764962902	15	15	60
53	1	15	100	53.353117518549	38.5793764962902	38.5793764962902	15	15	60
54	1	15	100	53.353117518549	38.5793764962902	38.5793764962902	15	15	60
55	1	15	100	53.353117518549	38.5793764962902	38.5793764962902	15	15	60
56	1	15	100	53.353117518549	38.5793764962902	38.5793764962902	15	15	60
57	1	15	100	53.353117518549	38.5793764962902	38.5793764962902	15	15	60
58	1	15	100	53.353117518549	38.5793764962902	38.5793764962902	15	15	60
59	1	15	100	53.353117518549	38.5793764962902	38.5793764962902	15	15	60
60	1	15	100	53.353117518549	38.5793764962902	38.5793764962902	15	15	60
61	1	15	100	53.353117518549	38.5793764962902	38.5793764962902	15	15	60
62	1	15	100	53.353117518549	38.5793764962902	38.5793764962902	15	15	60
63	1	15	100	53.353117518549	38.5793764962902	38.5793764962902	15	15	60
64	1	15	100	53.353117518549	38.5793764962902	38.5793764962902	15	15	60
65	1	15	100	53.353117518549	38.5793764962902	38.5793764962902	15	15	60
66	1	15	100	53.353117518549	38.5793764962902	38.5793764962902	15	15	60
67	1	15	100	53.353117518549	38.5793764962902	38.5793764962902	15	15	60
68	1	15	100	53.353117518549	38.5793764962902	38.5793764962902	15	15	60
69	1	15	100	53.353117518549	38.5793764962902	38.5793764962902	15	15	60
70	1	15	100	53.353117518549	38.5793764962902	38.5793764962902	15	15	60
71	1	15	100	53.353117518549	38.5793764962902	38.5793764962902	15	15	60
72	1	15	100	53.353117518549	38.5793764962902	38.5793764962902	15	15	60
73	1	15	100	53.353117518549	38.5793764962902	38.5793764962902	15	15	60
74	1	15	100	53.353117518549	38.5793764962902	38.5793764962902	15	15	60
75	1	15	100	53.353117518549	38.5793764962902	38.5793764962902	15	15	60
76	1	15	100	53.353117518549	38.5793764962902	38.5793764962902	15	15	60
