"Iteration #"	"Inertia"	"Number of features"	"CV best"	"Permuted CV best"	"Global best fitness"	"Current best fitness"	"Number of features in current best agent"	"Number of features in global best"	"Number of features in local best"
1	1	67	96.8739148314333	56.5790271120425	57.0501171451453	57.0501171451453	35	67	1340
2	1	27	97.6633302780411	52.3157364026235	61.0212326126954	61.0212326126954	27	29	29
3	1	27	97.6633302780411	52.3157364026235	61.0212326126954	57.9536062797999	31	29	27
4	1	44	100	49.5325764786556	64.7627816966771	64.7627816966771	29	29	29
5	1	44	100	49.5325764786556	64.7627816966771	64.7627816966771	30	29	29
6	1	44	100	49.5325764786556	64.7627816966771	59.7003412230925	40	29	39
7	1	44	100	49.5325764786556	64.7627816966771	60.9845947024479	28	29	29
8	1	44	100	49.5325764786556	64.7627816966771	63.7736374498308	34	29	36
9	1	44	100	49.5325764786556	64.7627816966771	64.2429714393272	31	29	34
10	1	44	100	49.5325764786556	64.7627816966771	63.0298357489551	42	29	34
11	1	44	100	49.5325764786556	64.7627816966771	59.9596548574292	38	29	34
12	1	44	100	49.5325764786556	64.7627816966771	61.6387081234659	34	29	41
13	1	44	100	49.5325764786556	64.7627816966771	62.2246375263485	31	29	29
14	1	44	100	49.5325764786556	64.7627816966771	64.0516314355445	34	29	34
15	1	44	100	49.5325764786556	64.7627816966771	63.8826807407244	35	29	34
16	1	44	100	49.5325764786556	64.7627816966771	60.4384723013929	33	29	35
17	1	44	100	49.5325764786556	64.7627816966771	60.4865651077917	32	29	38
18	1	44	100	49.5325764786556	64.7627816966771	62.513708423335	34	29	34
19	1	44	100	49.5325764786556	64.7627816966771	61.6374095945669	32	29	34
20	1	44	100	49.5325764786556	64.7627816966771	63.5373477659937	32	29	32
21	1	44	100	49.5325764786556	64.7627816966771	63.328441847016	32	29	32
22	1	44	100	49.5325764786556	64.7627816966771	63.5373477659937	32	29	32
23	1	44	100	49.5325764786556	64.7627816966771	64.3500344345626	34	29	35
24	1	44	100	49.5325764786556	64.7627816966771	64.0875446968009	29	29	30
25	1	44	100	49.5325764786556	64.7627816966771	64.6312027493087	31	29	29
26	1	44	100	49.5325764786556	64.7627816966771	60.2653111038709	30	29	32
27	1	44	100	49.5325764786556	64.7627816966771	63.7672349110593	30	29	28
28	1	44	100	49.5325764786556	64.7627816966771	64.5723974805322	28	29	28
29	1	22	100	49.2931040895135	65.017215197042	65.017215197042	32	32	32
30	1	22	100	49.2931040895135	65.017215197042	65.017215197042	35	32	32
31	1	22	100	49.2931040895135	65.017215197042	63.7111571786408	30	32	29
32	1	22	100	49.2931040895135	65.017215197042	63.2257103319337	29	32	29
33	1	22	100	49.2931040895135	65.017215197042	64.7627816966771	29	32	29
34	1	22	100	49.2931040895135	65.017215197042	64.7627816966771	29	32	29
35	1	22	100	49.2931040895135	65.017215197042	64.7627816966771	29	32	29
36	1	22	100	49.2931040895135	65.017215197042	64.7627816966771	29	32	29
37	1	22	100	49.2931040895135	65.017215197042	64.7627816966771	29	32	29
38	1	22	100	49.2931040895135	65.017215197042	64.7627816966771	29	32	29
39	1	33	100	49.1144281958452	65.0704108677787	65.0704108677787	29	28	28
40	1	33	100	49.1144281958452	65.0704108677787	64.7627816966771	31	28	57
41	1	33	100	49.1144281958452	65.0704108677787	64.4469761858572	30	28	28
