"Iteration #"	"Inertia"	"Number of features"	"CV best"	"Permuted CV best"	"Global best fitness"	"Current best fitness"	"Number of features in current best agent"	"Number of features in global best"	"Number of features in local best"
1	1	11	83.2315504146154	65.6110620190582	27.2102051119065	27.2102051119065	4	11	220
2	1	6	81.1674700900941	54.1020629993917	38.0398727537107	38.0398727537107	6	6	6
3	1	5	83.2098456862121	61.5219842023041	39.8273849334358	39.8273849334358	5	5	5
4	1	8	83.2098456862121	61.5219842023041	40.1682940243449	40.1682940243449	5	5	15
5	1	5	83.2098456862121	61.5219842023041	40.3728394788904	40.3728394788904	4	5	15
6	1	6	87.22989008003	57.3860473100594	44.192119507916	44.192119507916	6	6	6
7	1	6	87.22989008003	57.3860473100594	44.3090026247991	44.3090026247991	6	6	6
8	1	6	87.22989008003	57.3860473100594	44.3090026247991	44.3966649624614	6	6	6
9	1	6	87.22989008003	57.3860473100594	44.4648467806432	44.4648467806432	9	6	24
10	1	6	87.22989008003	57.3860473100594	44.4648467806432	44.5193922351887	6	6	24
11	1	6	87.22989008003	57.3860473100594	44.4648467806432	44.5640203343623	6	6	6
12	1	4	87.22989008003	57.3860473100594	44.6012104170069	44.6012104170069	6	6	12
13	1	4	87.22989008003	57.3860473100594	44.6012104170069	44.6326789484754	6	6	24
14	1	4	87.22989008003	57.3860473100594	44.6012104170069	44.6596519754484	6	6	24
15	1	4	87.22989008003	57.3860473100594	44.6012104170069	44.6830285988251	9	6	30
16	1	6	87.22989008003	57.3860473100594	44.7034831442796	44.7034831442796	4	6	12
17	1	6	87.22989008003	57.3860473100594	44.7034831442796	44.7215312726219	6	6	12
18	1	6	87.22989008003	57.3860473100594	44.7034831442796	44.7375740533705	6	6	18
19	1	6	87.22989008003	57.3860473100594	44.7034831442796	44.7519281203562	6	6	24
20	1	6	87.22989008003	57.3860473100594	44.7034831442796	44.7648467806432	7	6	36
21	1	6	87.22989008003	57.3860473100594	44.7034831442796	42.775420154617	6	6	7
22	1	6	87.22989008003	57.3860473100594	44.7034831442796	43.9838424767041	7	6	6
23	1	6	87.22989008003	57.3860473100594	44.7034831442796	44.7968625909199	5	6	12
24	1	6	87.22989008003	57.3860473100594	44.8057558715523	44.8057558715523	6	6	6
25	1	6	87.22989008003	57.3860473100594	44.8057558715523	44.8139376897342	6	6	36
26	1	6	87.22989008003	57.3860473100594	44.8057558715523	44.8214901372866	6	6	24
27	1	6	87.22989008003	57.3860473100594	44.8057558715523	44.8284831442796	6	6	24
28	1	6	87.22989008003	57.3860473100594	44.8057558715523	44.8349766507731	6	6	30
29	1	6	87.22989008003	57.3860473100594	44.8057558715523	44.8410223292326	6	6	42
30	1	6	87.22989008003	57.3860473100594	44.8057558715523	44.8466649624614	5	6	42
31	1	6	87.22989008003	57.3860473100594	44.8057558715523	44.8519435548368	6	6	30
32	1	6	87.22989008003	57.3860473100594	44.8057558715523	44.8568922351887	6	6	30
33	1	6	87.22989008003	57.3860473100594	44.8057558715523	44.8615409955193	6	6	36
34	1	6	87.22989008003	57.3860473100594	44.8057558715523	44.8659162993598	6	6	42
35	1	6	87.22989008003	57.3860473100594	44.8057558715523	44.8700415858381	6	6	48
36	1	6	87.22989008003	57.3860473100594	44.8057558715523	44.8739376897342	6	6	36
37	1	6	87.22989008003	57.3860473100594	44.8057558715523	44.8776231934197	6	6	48
38	1	6	88.2335532092579	59.4128188651308	45.4188130273942	45.4188130273942	5	8	8
39	1	6	88.2335532092579	59.4128188651308	45.4188130273942	44.8844272002237	6	8	36
40	1	6	88.2335532092579	59.4128188651308	45.4188130273942	44.8875740533705	8	8	36
41	1	6	88.2335532092579	59.4128188651308	45.4188130273942	44.8905674014858	6	8	18
42	1	6	88.2335532092579	59.4128188651308	45.4188130273942	44.8934182092147	6	8	30
43	1	6	88.2335532092579	59.4128188651308	45.4188130273942	45.4388419580719	8	8	8
44	1	6	88.2335532092579	59.4128188651308	45.4188130273942	45.4423015006435	8	8	8
45	1	4	88.2335532092579	58.4242718055426	46.3359668508558	46.3359668508558	7	7	7
46	1	4	88.2335532092579	58.4242718055426	46.3359668508558	44.9035819585089	6	7	6
47	1	4	88.2335532092579	58.4242718055426	46.3359668508558	44.9058525833512	6	7	12
48	1	4	88.2335532092579	58.4242718055426	46.3359668508558	44.9080285988251	6	7	12
49	1	4	88.2335532092579	58.4242718055426	46.3359668508558	44.9101157973408	6	7	12
50	1	4	88.2335532092579	58.4242718055426	46.3359668508558	45.4601527403129	7	7	8
51	1	4	88.2335532092579	58.4242718055426	46.3359668508558	46.3509401128879	7	7	7
52	1	4	88.2335532092579	58.4242718055426	46.3359668508558	46.3530997179887	7	7	14
53	1	4	88.2335532092579	58.4242718055426	46.3359668508558	46.3551778285573	7	7	28
54	1	4	88.2335532092579	58.4242718055426	46.3359668508558	46.3571789720679	7	7	35
55	1	4	88.2335532092579	58.4242718055426	46.3359668508558	46.3591073467236	8	7	35
56	1	4	88.2335532092579	58.4242718055426	46.3359668508558	46.3609668508558	7	7	7
57	1	4	88.2335532092579	58.4242718055426	46.3359668508558	46.362761109229	7	7	14
58	1	4	88.2335532092579	58.4242718055426	46.3359668508558	46.3644934966238	7	7	14
59	1	4	88.2335532092579	58.4242718055426	46.3359668508558	46.3661671590222	7	7	14
60	1	4	88.2335532092579	58.4242718055426	46.3359668508558	46.367785032674	6	7	14
61	1	4	88.2335532092579	58.4242718055426	46.3359668508558	44.9298244259488	6	7	6
62	1	4	88.2335532092579	58.4242718055426	46.3359668508558	46.3708642115596	7	7	21
63	1	4	88.2335532092579	58.4242718055426	46.3359668508558	46.3723304872194	7	7	28
64	1	4	88.2335532092579	58.4242718055426	46.3359668508558	46.3737509417649	7	7	42
65	1	4	88.2335532092579	58.4242718055426	46.3359668508558	46.3751276900166	5	7	42
66	1	4	88.2335532092579	58.4242718055426	46.3359668508558	46.3764627186244	7	7	14
67	1	4	88.2335532092579	58.4242718055426	46.3359668508558	46.3777578956319	7	7	28
68	1	4	88.2335532092579	58.4242718055426	46.3359668508558	46.379014979198	7	7	28
69	1	4	88.2335532092579	58.4242718055426	46.3359668508558	46.3802356255594	7	7	35
70	1	4	88.2335532092579	58.4242718055426	46.3359668508558	46.3814213963103	8	7	42
71	1	4	88.2335532092579	58.4242718055426	46.3359668508558	46.3825737650683	6	7	7
72	1	4	88.2335532092579	58.4242718055426	46.3359668508558	46.3836941235831	6	7	28
73	1	4	88.2335532092579	58.4242718055426	46.3359668508558	46.384783787344	7	7	28
74	1	4	88.2335532092579	58.4242718055426	46.3359668508558	46.385844000733	7	7	42
75	1	4	88.2335532092579	58.4242718055426	46.3359668508558	46.3868759417649	5	7	63
76	1	4	88.2335532092579	58.4242718055426	46.3359668508558	46.3878807264539	7	7	21
77	1	4	88.2335532092579	58.4242718055426	46.3359668508558	46.3888594128393	3	7	49
78	1	4	88.2335532092579	58.4242718055426	46.3359668508558	46.389813004702	7	7	56
79	1	4	88.2335532092579	58.4242718055426	46.3359668508558	46.3907424549985	7	7	49
80	1	4	88.2335532092579	58.4242718055426	46.3359668508558	46.3916486690376	7	7	56
81	1	4	88.2335532092579	58.4242718055426	46.3359668508558	46.3925325074215	7	7	14
82	1	4	88.2335532092579	58.4242718055426	46.3359668508558	46.3933947887715	7	7	35
83	1	4	88.2335532092579	58.4242718055426	46.3359668508558	46.3942362922578	7	7	42
84	1	4	88.2335532092579	58.4242718055426	46.3359668508558	46.3950577599467	7	7	49
85	1	4	88.2335532092579	58.4242718055426	46.3359668508558	46.3958598989841	7	7	56
