"var1","var2","var3","var6","var7","var16","var17","var19","var21","var22","var25","var27","var28","var107","var119","var246","var255","var336","var338","var365","var545","var566","var729","var819","var1003","var1319","var1601","var1954","var1955","var2046","var2050","var2162","Class"
0.139501039,-1.168927463,0.564972842,-0.69254736,2.327394772,0.330813398,-0.033556784,-2.397995278,0.047551302,2.269379851,0.224822142,-2.861201381,0.883436907,-1.734434403,-2.349676701,-2.501036032,1.165710032,0.182404887,-3.174858939,-2.078641862,-0.209733864,-2.991740252,-2.861201381,-1.657053766,-1.988504547,-0.12397718,1.800719211,-1.386294361,-1.791559489,0.05600219,0.580538236,-3.040729639,"3"
1.1642751775,-2.0181583133,1.103533493,-0.4374202793,2.6615873267,0.0967636684,0.3261332588,-2.4961698421,0.9876434833,2.1806773123,-0.3744025827,-2.5319982573,-0.2386379723,-1.8559780416,-2.4698210124,-0.5151683732,-0.5927590065,-0.5971099924,-1.8508727337,-0.3477152026,1.7506943896,-0.3112919381,-2.3075976348,-2.1991263846,-2.9280736251,-0.8072121368,-0.9545119447,0.4342469095,-1.1867879796,-2.9565115604,-2.6172958378,-1.1322724902,"2"
0.841092935,0.254719735,-0.208747671,-1.263722809,2.946641814,-0.436955775,-0.207516295,-2.161953963,0.429051418,2.61372487,0.09630968,-1.713133149,-0.241307522,0.829991828,-2.175952442,-1.933092645,-1.027222293,-1.692819521,-1.265848208,-1.558269626,0.69544454,-1.856618042,-0.977102871,-1.017493237,1.000558348,-1.587187303,0.165005835,-0.494296322,0.823517332,1.324339167,0.085718875,-1.0744076,"4"
0.685064604,-1.927579192,-0.233067633,0.774450632,1.617167958,-0.462670582,-0.381846243,-1.105636904,-0.195528384,0.984771472,0.406064928,0.305128986,-0.503022812,0.913446691,0.541917231,0.942854763,0.280657458,-0.014707629,-1.14696255,-0.964693471,1.569761095,0.758934921,-0.778705069,0.196553139,-1.454573202,1.149337088,0.337329012,1.914154077,-1.252463013,-1.277978218,-1.150116132,0.357744372,"2"
-1.956162526,-2.234926445,0.281563391,-1.05987246,2.498069636,-0.536485371,0.079180798,-2.549765222,1.029690843,1.846831449,-0.757579041,-0.992092445,0.224342832,-2.416874239,-1.773723107,-1.625059293,-0.895263365,-0.780667778,-3.420380201,-1.237874356,-0.615815838,-3.005782609,-1.510950966,-3.170085661,-2.736449676,-2.565249402,-2.783851915,-1.237874356,-2.350725468,-2.983803703,-1.872102222,-3.399199379,"1"
-0.2586412037,-1.6847003969,0.1758003398,-0.0086371934,2.3021349917,-0.4725669116,0.4673751779,-1.7808195292,-0.3475736297,1.6253309464,-0.1210383284,-0.6653374799,-0.184403723,-2.1794828959,-2.2946169233,-0.7184649885,0.0846168457,0.6621723763,-2.8051119139,-2.6493097061,0.2416904886,-1.0300194972,-3.3726099248,-3.1535563587,-1.9296431766,-2.5510464523,1.0567480846,-0.4827241937,-0.6700167632,-1.9152839555,1.0145782931,-2.4889146712,"3"
-1.109875481,-1.046969056,-0.853785527,-1.259133216,1.426380085,-0.059007181,-0.349132035,-2.139616265,-0.677864557,1.193407184,-1.085893516,-0.902881045,-0.273516217,0.632281905,-1.05987246,-0.064538521,-0.758646163,0.948796643,-0.422814746,-1.220102186,1.625881965,-0.118896155,-1.880590683,-1.532939941,1.301743591,-1.722606611,-0.097171912,0.520340216,0.360746643,-0.560366069,1.424986088,-1.368061593,"4"
1.4714853322,-1.7515776796,-0.2567003348,-1.1986536428,2.4898776074,-1.275468806,-0.1394919788,-2.4604091782,0.7089220997,0.8177072005,-1.2964536571,-0.95581149,0.3373290123,0.0125212806,-0.6498961386,-0.3677358913,-0.9065879564,-0.2541183556,-1.7259717287,-0.0769890415,0.7130478423,1.5480092174,-1.1812333174,-1.8344582238,-0.9625964848,0.422191112,0.2426324039,2.266615888,-1.1796054479,-1.0711916931,-2.1680542,-0.665726585,"2"
-0.3961585488,-1.1913856888,0.6966908942,0.7449803292,1.7627082048,0.3428802329,0.9281007186,-1.6265840713,-0.1392620673,0.9939552292,-0.1906763612,0.1041798189,0.1498844495,-1.5123112017,-2.212744389,-0.9578942817,0.4401885442,-0.3492738285,-2.3361418765,-2.2302644314,0.1347057029,-2.1698039818,-2.4315554743,-2.3289290683,-1.9011280063,-1.9289547084,2.0783534499,-0.2019937926,-0.982163476,-0.4967583666,1.0893697073,-1.9547490977,"3"
-2.136223556,-2.236797352,-0.946492241,-0.45523325,2.547513619,-0.54697107,-0.912049738,-2.175071773,-0.231175723,1.917672331,-1.732736129,-0.762497259,-0.746337009,-1.537117251,-1.5154923,-0.969691509,-2.050271164,0.135404637,-1.494770837,-1.013077001,-0.864884944,-1.910543005,-1.647659125,-2.60775248,-1.544118446,-2.265289308,-2.700082031,-0.787018396,-1.457575563,-2.553613848,-0.311838162,-2.675099101,"1"
-0.190676361,-1.513219055,0.824438566,0.591944675,2.101031786,0.122217633,1.250846848,-1.796973036,0.566846724,1.091520535,0.038643624,-0.40241975,0.410518982,-1.597509342,-1.495216768,-0.725877005,0.699178953,-0.21927604,-2.174191878,-1.953337665,0.50095709,-2.008424054,-2.523231764,-2.481711759,-1.709810887,-1.780819529,1.544152446,0.218492753,-0.947265536,-0.794737036,0.868402161,-1.866914143,"3"
1.321409113,0.495366749,0.041525747,-1.184170177,2.187813768,-1.169571378,-0.002803927,-1.558744798,0.580538236,2.262460772,0.328440065,-1.054978252,-0.508993969,1.071789075,-1.483245887,-1.292804018,-0.975244875,-0.842111334,-0.700574696,-1.574553511,0.589895551,-1.552585101,-0.530518257,-0.845133538,1.088595622,-1.166355941,0.490173836,-0.972067747,0.007769737,1.555594,0.166615527,-0.856136809,"4"
-1.6820086053,-2.4395509481,0.6848125438,-0.9118008266,1.682204986,-0.4346364854,-0.0244976316,-1.2006450142,0.0582689081,1.3556289468,-1.3037931396,-1.2371849385,0.1008403149,-1.9696906777,-2.1689287082,-1.2559680994,-2.0226832079,0.6420117684,-2.3730075573,-2.5510464523,0.227852447,-2.6736487744,-2.0882804903,-2.6664285264,-1.7891628434,-2.134531508,-2.7272330205,-0.8698843591,-1.8819030191,-2.3197312518,-1.2013096869,-2.8895720777,"1"
