"Iteration #"	"Inertia"	"Number of features"	"CV best"	"Permuted CV best"	"Global best fitness"	"Current best fitness"	"Number of features in current best agent"	"Number of features in global best"	"Number of features in local best"
1	1	80	100	36.7982971102934	71.2033768967442	71.2033768967442	44	80	1600
2	1	80	100	36.7982971102934	71.2033768967442	71.101339745682	66	80	80
3	1	50	100	34.3162643580351	73.0636989829889	73.0636989829889	50	50	50
4	1	50	100	34.3162643580351	73.0636989829889	73.0636989829889	50	50	50
5	1	50	100	34.3162643580351	73.0636989829889	73.0636989829889	56	50	50
6	1	50	100	34.3162643580351	73.0636989829889	72.7879529410999	52	50	55
7	1	45	100	33.6078172863679	73.4750531096265	73.4750531096265	50	45	45
8	1	43	100	32.497641106173	74.7799075281999	74.7799075281999	58	49	49
9	1	43	100	32.497641106173	74.7799075281999	73.5846119331559	49	49	48
10	1	43	100	32.497641106173	74.7799075281999	73.5550778852606	50	49	50
11	1	43	100	32.497641106173	74.7799075281999	71.7983948158999	59	49	65
12	1	43	100	32.497641106173	74.7799075281999	72.8117901546595	30	49	51
13	1	48	100	32.1839030198416	74.829881331489	74.829881331489	25	34	34
14	1	48	100	32.1839030198416	74.829881331489	74.5833550346337	52	34	49
15	1	48	100	32.1839030198416	74.829881331489	74.4430436268397	49	34	49
16	1	48	100	32.1839030198416	74.829881331489	72.9284584665613	44	34	51
17	1	53	100	32.0889441544719	75.0249239658193	75.0249239658193	38	38	38
18	1	53	100	32.0889441544719	75.0249239658193	75.0249239658193	38	38	38
19	1	53	100	32.0889441544719	75.0249239658193	75.0249239658193	38	38	38
20	1	40	100	31.7723624370939	75.1480017562191	75.1480017562191	37	40	40
21	1	40	100	31.7723624370939	75.1480017562191	74.8143747350934	33	40	42
22	1	47	100	31.2594527158296	75.6716394014403	75.6716394014403	47	47	47
23	1	47	100	31.2594527158296	75.6716394014403	75.6716394014403	47	47	47
24	1	47	100	31.2594527158296	75.6716394014403	75.6716394014403	47	47	47
25	1	47	100	31.2594527158296	75.6716394014403	75.6716394014403	48	47	47
26	1	47	100	31.2594527158296	75.6716394014403	75.5071411919885	44	47	42
27	1	47	100	31.2594527158296	75.6716394014403	74.1939756478483	45	47	42
28	1	47	100	31.2594527158296	75.6716394014403	75.0532510025403	48	47	48
29	1	47	100	31.2594527158296	75.6716394014403	75.0249239658193	38	47	38
30	1	47	100	31.2594527158296	75.6716394014403	75.0249239658193	24	47	38
31	1	35	100	31.9081997002765	75.6835879408989	75.6835879408989	22	24	24
32	1	35	100	31.9081997002765	75.6835879408989	75.6716394014403	47	24	47
33	1	35	100	31.9081997002765	75.6835879408989	75.6716394014403	47	24	47
34	1	35	100	31.9081997002765	75.6835879408989	75.6716394014403	47	24	47
35	1	35	100	31.9081997002765	75.6835879408989	75.6716394014403	41	24	47
36	1	35	100	31.9081997002765	75.6835879408989	75.1082566353546	43	24	46
37	1	35	100	31.9081997002765	75.6835879408989	75.2065022399735	31	24	42
38	1	35	100	31.9081997002765	75.6835879408989	75.0249239658193	38	24	38
39	1	35	100	31.9081997002765	75.6835879408989	75.4657976203519	32	24	42
40	1	35	100	31.9081997002765	75.6835879408989	75.6315534392435	25	24	25
41	1	35	100	31.9081997002765	75.6835879408989	75.1817946865878	38	24	46
42	1	35	100	31.9081997002765	75.6835879408989	74.7389177360343	30	24	33
43	1	35	100	31.9081997002765	75.6835879408989	75.6028092588511	20	24	21
44	1	35	100	31.9081997002765	75.6835879408989	74.8075331720589	30	24	33
45	1	35	100	31.9081997002765	75.6835879408989	74.2238384028902	39	24	34
46	1	26	100	31.8358720205272	75.7217173167234	75.7217173167234	26	25	25
47	1	42	100	30.2567437458287	76.6146071090124	76.6146071090124	42	42	42
