"var1","var2","var246","var255","var742","var819","var842","var846","var1003","Class"
0.7733437,-2.438405,1.604747,-1.514582,0.7311171,-2.108664,1.553629,-3.803169,-3.231455,"2"
-0.07817778,-2.415754,0.7924947,-1.701005,0.3808308,-3.272804,1.732505,-3.083471,-2.294617,"2"
-0.08446916,-1.649739,1.552741,-1.256319,-0.2871489,-2.7678,1.454747,-2.285728,-2.154165,"2"
0.965614,-2.380547,1.135844,-1.657578,-0.8278221,-0.9197969,1.037233,-1.082345,-2.219163,"2"
0.0756639,-1.728785,1.259143,-2.291645,-0.1772146,-0.4663304,0.7275969,-1.577455,-1.539912,"2"
0.4588163,-2.875286,1.799992,-1.348613,-0.1532677,-0.9051035,0.294608,-2.118598,-1.576487,"2"
0.06709774,-1.624044,1.705112,-2.130314,0.4154814,-0.4111311,0.8826926,-1.702102,-1.835085,"2"
0.09412766,-1.795165,1.490587,-2.161086,-0.210721,-0.5118261,0.7069021,-1.623537,-1.607939,"2"
0.1083161,-1.944911,1.002175,-3.123566,-0.08045112,-0.8481649,0.9130856,-1.195674,-2.034851,"2"
-0.970747,-2.347582,0.7878208,-1.88783,0.5140803,-2.304587,0.8567955,-2.275943,-1.633731,"2"
1.163932,-2.686778,1.086978,-1.4503,-1.697723,-0.3458763,1.282599,-0.951141,-2.429283,"2"
0.5036197,-2.645075,0.8735085,-1.615959,-0.06999337,0.4515214,1.199965,-0.4560218,-2.251892,"2"
1.187203,-2.154165,-0.2596779,-1.664951,-1.31565,-0.04730127,1.269423,-1.140372,-1.708154,"2"
0.005982072,-1.657578,0.5122846,-0.9142927,-0.4974159,-0.02572815,1.844194,-1.662311,-1.063342,"2"
0.9968748,-1.440962,1.61917,-1.103223,-1.253864,-0.8991878,0.8010594,-1.296819,-1.515492,"2"
0.7221233,-2.497384,1.729654,-1.398772,-0.9856408,0.4281394,0.6905939,-1.063052,-1.535259,"2"
0.6142663,-2.092324,1.403397,-1.796973,-0.7164158,0.01449445,1.429402,-0.9560716,-0.9996723,"2"
0.9984236,-1.712025,1.547711,-1.033387,-0.6343124,-0.6038551,1.425203,-1.275469,-1.700457,"2"
0.856753,-2.535779,2.11031,-0.9867132,-1.609938,0.3524862,0.5362594,-1.938637,-1.799993,"2"
0.6570536,-1.378326,1.90163,-1.942117,-1.526476,-0.463783,0.7614131,0.3391116,-1.782602,"2"
1.285507,-2.248097,0.6409587,-2.081043,-2.000261,-1.653912,0.4746802,-1.178955,-2.051826,"2"
0.7659329,-2.337177,1.580009,-1.92278,-0.9085706,0.2359413,0.8518162,-0.7843857,-1.833832,"2"
0.8382427,-1.833207,2.000804,-2.199126,-0.4574428,-0.2347102,0.3205606,-1.321256,-1.79276,"2"
0.313496,-1.797576,0.9265183,-0.6254885,0.7069021,-1.992164,0.5513532,-1.688481,0.4948182,"4"
0.7376424,-1.056703,-0.5535592,-1.399582,-0.6337468,0.1292723,0.6714127,-1.288079,-0.2699731,"4"
1.026257,-2.640859,-0.7145751,-2.869981,-0.148268,0.2158369,0.5858403,-1.240983,-0.065072,"4"
0.2157563,-1.085597,-1.102319,-2.628315,0.09984533,0.3882511,0.4617194,-1.84833,0.3565549,"4"
-0.1619309,-1.025827,-1.383099,-1.169893,0.6004835,0.3789158,0.03207989,-1.064211,0.625457,"4"
0.3710117,-1.813392,-0.9560716,-2.066723,-0.1505904,-0.02613866,0.6450068,-2.407946,0.1150237,"4"
-0.03180031,-0.0790432,-0.6126738,-1.643512,-0.3578185,0.05211795,1.147879,-2.042531,-0.7940731,"4"
0.3067491,-1.259133,-0.6066026,-1.820776,-0.8787541,-0.3329584,0.5704144,-1.258781,0.02058663,"4"
0.4324316,-2.700082,-0.671973,-2.079442,-0.08088473,-0.463942,0.8067437,-3.162968,0.01410012,"4"
0.8929402,0.02683665,-0.7402388,-0.4480073,-0.3875761,-1.297185,1.330359,-1.549755,0.2568878,"4"
0.1084059,0.3235317,-0.5573933,-1.639382,-0.1624013,0.05467756,1.169537,-0.451928,1.026006,"4"
0.7331368,-0.09025299,-0.3582476,-1.102319,-0.8400244,-0.4732088,1.134751,-1.903809,0.991324,"4"
0.2394105,-0.7642136,-0.5987465,-0.409172,0.0593061,-1.992164,1.595582,-1.857899,0.1935911,"4"
