"var368","var1","var2","var566","var1594","var422","var545","var1601","var3","var5","var1003","var2050","var107","var123","var129","var554","var742","var7","var9","var255","var842","var603","var819","var1319","var6","var10","var11","var13","var246","Class"
-1.11109,0.7733437,-2.438405,0.03459464,-2.520741,0.3450071,0.7801502,0.0875529,-0.4825622,-1.217058,-3.231455,-4.635629,-2.611831,-1.422543,-2.763035,-1.850236,0.7311171,1.342604,0.1335689,-1.514582,1.553629,-3.013896,-2.108664,1.536803,0.8278092,0.5654274,1.499824,1.625921,1.604747,"2"
-0.5651058,-0.07817778,-2.415754,-1.240983,-1.227241,0.717791,1.072679,-0.7918632,0.4127717,-0.6262365,-2.294617,-1.356736,0.8554786,-1.859824,-2.264326,-1.598004,0.3808308,1.429498,0.4567917,-1.701005,1.732505,-1.36375,-3.272804,0.6934471,0.05448819,0.1590529,1.145909,1.556522,0.7924947,"2"
-0.3831656,-0.08446916,-1.649739,1.014651,-1.213686,0.1238976,1.334238,0.7540541,-0.2413075,-0.8894054,-2.154165,-2.922482,-0.3792127,-2.116106,-2.050271,-1.689564,-0.2871489,1.1593,0.1919418,-1.256319,1.454747,-0.9281103,-2.7678,1.310627,-0.02747398,0.4965847,1.388741,1.614903,1.552741,"2"
-0.6969544,0.965614,-2.380547,0.04707441,-0.7802313,0.191529,0.9006084,-0.3601094,0.6252965,-0.8453664,-2.219163,-2.425883,-0.1529181,-1.104127,-2.259526,-1.704848,-0.8278221,1.093801,-0.2846201,-1.657578,1.037233,0.07612736,-0.9197969,0.2857803,0.9496868,0.9947322,1.014832,1.0476,1.135844,"2"
0.2363361,0.0756639,-1.728785,-0.4495737,-2.276917,-0.1098149,1.190553,-1.800598,0.8526265,-1.84137,-1.539912,-2.891372,0.4368346,-0.674718,-1.590616,-1.187444,-0.1772146,1.251219,0.0309171,-2.291645,0.7275969,-1.219763,-0.4663304,0.4090586,0.3279359,0.2783133,1.112219,1.186776,1.259143,"2"
-0.859438,0.4588163,-2.875286,1.591763,-1.740686,0.09712671,1.909409,-1.272252,0.1358412,-2.082647,-1.576487,-2.065144,1.687565,-2.049494,-1.806061,-1.777265,-0.1532677,1.73353,0.04583342,-1.348613,0.294608,-2.281803,-0.9051035,0.6737605,0.1378471,0.3520643,1.694514,1.825613,1.799992,"2"
0.2338065,0.06709774,-1.624044,0.469566,-3.072613,-0.05625294,2.00279,-2.249044,0.5196268,-1.397558,-1.835085,-2.977892,-0.2368622,-1.101115,-2.036382,-1.993631,0.4154814,1.825291,-0.05287349,-2.130314,0.8826926,-2.02647,-0.4111311,-0.8753887,0.138805,-1.242367,1.830852,1.268243,1.705112,"2"
0.1322556,0.09412766,-1.795165,-0.5421443,-2.387054,-0.1262437,1.204413,-1.817077,0.7027509,-1.868209,-1.607939,-2.922482,0.4045981,-0.7023898,-1.641445,-1.250017,-0.210721,1.406072,-0.03905273,-2.161086,0.7069021,-1.308223,-0.5118261,0.3449363,0.2881819,0.1361031,1.300028,1.390834,1.490587,"2"
-0.5317088,0.1083161,-1.944911,-0.5436932,-3.750755,-0.001801622,1.134044,-2.346537,0.6000994,-1.981952,-2.034851,-3.499913,-0.511159,-1.666008,-2.338212,-1.250366,-0.08045112,1.849116,-0.05034637,-3.123566,0.9130856,-2.565249,-0.8481649,-1.987774,0.1192042,-0.2527011,1.735965,1.129044,1.002175,"2"
-0.4944603,-0.970747,-2.347582,-1.177006,-3.839702,0.4541918,1.7154,-2.501036,-0.3920061,-1.82325,-1.633731,-3.604538,0.3180173,-2.016655,-1.536652,-1.410177,0.5140803,1.498551,0.1447927,-1.88783,0.8567955,-1.29244,-2.304587,-0.451928,-0.3035405,-1.572142,1.582128,1.457126,0.7878208,"2"
