"Iteration #"	"Inertia"	"Number of features"	"CV best"	"Permuted CV best"	"Global best fitness"	"Current best fitness"	"Number of features in current best agent"	"Number of features in global best"	"Number of features in local best"
1	1	52	97.6856221999555	38.7778514692785	61.1197206214717	61.1197206214717	52	52	1040
2	1	24	96.9037378080486	37.5314459889586	68.8015401516197	68.8015401516197	52	24	24
3	1	24	96.9037378080486	37.5314459889586	68.8015401516197	67.6782639656428	52	24	24
4	1	24	96.9037378080486	37.5314459889586	68.8015401516197	67.8697206214717	52	24	988
5	1	26	100	42.0481530954207	69.1662928332055	69.1662928332055	52	26	26
6	1	27	96.8828875575978	38.4834625554462	69.4256649563091	69.4256649563091	52	27	27
7	1	27	96.8828875575978	38.4834625554462	69.5369286925728	69.5369286925728	52	27	27
8	1	27	96.8828875575978	38.4834625554462	69.5369286925728	69.6203764947706	52	27	27
9	1	27	96.8828875575978	38.4834625554462	69.6852803409245	69.6852803409245	52	27	27
10	1	27	96.8828875575978	38.4834625554462	69.6852803409245	69.7372034178475	52	27	27
11	1	27	96.8828875575978	38.4834625554462	69.6852803409245	69.3015388032899	52	27	988
12	1	27	96.8828875575978	38.4834625554462	69.6852803409245	69.3697206214717	52	27	988
13	1	27	96.8828875575978	38.4834625554462	69.6852803409245	69.427412929164	52	27	988
14	1	35	96.8828875575978	35.7362903434033	71.5409931970468	71.5409931970468	52	35	35
15	1	35	96.8828875575978	35.7362903434033	71.5409931970468	71.5698393508929	52	35	35
16	1	35	96.8828875575978	35.7362903434033	71.5409931970468	71.3198507724603	52	35	35
17	1	25	100	26.4991429203512	80.7153058381071	80.7153058381071	52	25	25
18	1	25	100	26.4991429203512	80.7153058381071	70.1396496337568	52	25	25
19	1	25	100	26.4991429203512	80.7153058381071	73.072095295962	52	25	25
20	1	25	100	26.4991429203512	80.7153058381071	73.9752299704262	52	25	25
21	1	25	100	26.4991429203512	80.7153058381071	69.6911491929003	52	25	988
22	1	25	100	26.4991429203512	80.7153058381071	69.7106297123808	52	25	988
23	1	25	100	26.4991429203512	80.7153058381071	69.7284162736456	52	25	988
24	1	25	100	26.4991429203512	80.7153058381071	69.7447206214717	52	25	988
25	1	25	100	26.4991429203512	80.7153058381071	69.7597206214717	52	25	988
26	1	25	100	26.4991429203512	80.7153058381071	76.4680421793294	52	25	25
27	1	25	100	26.4991429203512	80.7153058381071	75.4909437656385	52	25	25
28	1	25	100	26.4991429203512	80.7153058381071	75.816231907133	1	25	25
29	1	25	100	26.4991429203512	80.7153058381071	76.2524271456313	1	25	28
30	1	25	100	26.4991429203512	80.7153058381071	76.3420291134567	1	25	27
31	1	25	100	26.4991429203512	80.7153058381071	74.0481096904342	1	25	27
32	1	25	100	26.4991429203512	80.7153058381071	76.7591723408359	1	25	29
33	1	25	100	26.4991429203512	80.7153058381071	76.7639254002764	1	25	29
34	1	25	100	26.4991429203512	80.7153058381071	76.7683988679852	1	25	29
35	1	25	100	26.4991429203512	80.7153058381071	76.7726167089677	1	25	29
36	1	25	100	26.4991429203512	80.7153058381071	76.7766002254512	1	25	29
37	1	25	100	26.4991429203512	80.7153058381071	76.7803684167194	1	25	29
