"var1","var2","var3","var4","var5","var6","var7","var8","var107","var129","var187","var246","var248","var255","var422","var509","var545","var554","var566","var603","var742","var842","var1645"
0.139501039,-1.168927463,0.564972842,-3.366795955,-1.323131786,-0.69254736,2.327394772,0.923703192,-1.734434403,-1.822631133,-0.854960477,-2.501036032,-1.191714907,1.165710032,-0.384046141,-1.367276355,-0.209733864,-2.167180456,-2.991740252,-2.688247574,1.104030915,-0.369036751,1.652497402
1.1642751775,-2.0181583133,1.103533493,-2.1654352548,-1.4401171678,-0.4374202793,2.6615873267,1.2240106981,-1.8559780416,-1.2833768271,-2.8949823705,-0.5151683732,-1.6591535047,-0.5927590065,-1.2437536743,-2.3655248928,1.7506943896,-2.0425311877,-0.3112919381,-3.3298073856,-1.160594081,0.7715886069,1.4561934885
0.841092935,0.254719735,-0.208747671,-2.14814874,-1.512765025,-1.263722809,2.946641814,0.08782771,0.829991828,2.636203261,2.957879824,-1.933092645,-0.152918106,-1.027222293,-1.863685209,2.815109273,0.69544454,1.671228913,-1.856618042,-0.596565083,-0.732511904,0.927151539,-1.95970486
0.685064604,-1.927579192,-0.233067633,-1.640412717,-1.008954417,0.774450632,1.617167958,-0.567925216,0.913446691,-1.646620704,-0.888918785,0.942854763,-0.155718575,0.280657458,-0.472085795,-0.553559166,1.569761095,-1.341320995,0.758934921,-0.903374507,-1.121778567,0.87771621,1.518265162
-1.956162526,-2.234926445,0.281563391,-2.695627681,-1.214696768,-1.05987246,2.498069636,0.780196057,-2.416874239,-1.666537504,-3.123565645,-1.625059293,-2.530741186,-0.895263365,-0.923567141,-2.524479425,-0.615815838,-1.721487416,-3.005782609,-3.264919763,-2.328929068,1.45749812,-2.32995629
-0.2586412037,-1.6847003969,0.1758003398,-2.3238087294,-1.6922761907,-0.0086371934,2.3021349917,0.455777922,-2.1794828959,-2.7457520683,-0.2555376191,-0.7184649885,-0.3668695903,0.0846168457,0.274748797,-0.2766761933,0.2416904886,-1.7760829898,-1.0300194972,-2.6678684115,1.4324142967,-0.6751108181,0.0738079271
-1.109875481,-1.046969056,-0.853785527,-2.60775248,-1.770781063,-1.259133216,1.426380085,-0.743598724,0.632281905,-0.114962018,2.403940599,-0.064538521,-0.186691089,-0.758646163,-1.49923912,3.192392209,1.625881965,1.713635752,-0.118896155,-0.807884858,-0.766148073,1.827785984,-1.865621318
1.4714853322,-1.7515776796,-0.2567003348,-1.8991219876,-1.3649243354,-1.1986536428,2.4898776074,-0.0350056092,0.0125212806,-1.1526461772,-0.7700282249,-0.3677358913,0.5208749596,-0.9065879564,-0.7687331675,0.0509782448,0.7130478423,-1.6204988598,1.5480092174,-1.8792800668,-1.2740376788,1.6435880999,1.5557206299
-0.3961585488,-1.1913856888,0.6966908942,-1.8623965488,-1.3126722212,0.7449803292,1.7627082048,1.0340382113,-1.5123112017,-2.7854713481,-2.1236024375,-0.9578942817,-0.4682451762,0.4401885442,-0.2967900915,-1.1196316559,0.1347057029,-0.8734707347,-2.1698039818,-1.5385135741,1.0842090584,-0.1357051822,-0.1926143463
-2.136223556,-2.236797352,-0.946492241,-2.777400279,-1.822631133,-0.45523325,2.547513619,-0.270366195,-1.537117251,-1.968258013,-2.673648774,-0.969691509,-1.820158944,-2.050271164,-0.218778094,-1.863685209,-0.864884944,-2.081844426,-1.910543005,-2.330984568,-1.649739209,0.448524598,-2.238671767
