"var1","var2","var3","var4","var5","var6","var7","var8","var107","var129","var187","var246","var248","var255","var422","var509","var545","var554","var566","var603","var742","var842","var1645"
0.7733437,-2.438405,-0.4825622,-2.721135,-1.217058,0.8278092,1.342604,0.05704174,-2.611831,-2.763035,-3.426515,1.604747,0.5256157,-1.514582,0.3450071,-1.844528,0.7801502,-1.850236,0.03459464,-3.013896,0.7311171,1.553629,0.9097896
-0.07817778,-2.415754,0.4127717,-2.825146,-0.6262365,0.05448819,1.429498,-0.1202486,0.8554786,-2.264326,-2.361274,0.7924947,0.8172657,-1.701005,0.717791,-1.699363,1.072679,-1.598004,-1.240983,-1.36375,0.3808308,1.732505,0.1290087
-0.08446916,-1.649739,-0.2413075,-2.875286,-0.8894054,-0.02747398,1.1593,0.01567648,-0.3792127,-2.050271,-2.259526,1.552741,0.2816388,-1.256319,0.1238976,-1.478848,1.334238,-1.689564,1.014651,-0.9281103,-0.2871489,1.454747,0.7381205
0.965614,-2.380547,0.6252965,-1.741256,-0.8453664,0.9496868,1.093801,0.8197358,-0.1529181,-2.259526,-2.271086,1.135844,0.2505252,-1.657578,0.191529,-1.197991,0.9006084,-1.704848,0.04707441,0.07612736,-0.8278221,1.037233,1.008031
0.0756639,-1.728785,0.8526265,0.2726953,-1.84137,0.3279359,1.251219,0.7714499,0.4368346,-1.590616,-2.000261,1.259143,0.0475513,-2.291645,-0.1098149,-1.974001,1.190553,-1.187444,-0.4495737,-1.219763,-0.1772146,0.7275969,0.613671
0.4588163,-2.875286,0.1358412,0.4053984,-2.082647,0.1378471,1.73353,0.3964244,1.687565,-1.806061,-2.877061,1.799992,-0.3159444,-1.348613,0.09712671,-2.438405,1.909409,-1.777265,1.591763,-2.281803,-0.1532677,0.294608,0.2969886
0.06709774,-1.624044,0.5196268,0.2382292,-1.397558,0.138805,1.825291,-0.3054388,-0.2368622,-2.036382,-3.068303,1.705112,-0.2646168,-2.130314,-0.05625294,-2.015153,2.00279,-1.993631,0.469566,-2.02647,0.4154814,0.8826926,-1.152646
0.09412766,-1.795165,0.7027509,0.2060381,-1.868209,0.2881819,1.406072,0.7603384,0.4045981,-1.641445,-2.106196,1.490587,-0.03035612,-2.161086,-0.1262437,-2.051048,1.204413,-1.250017,-0.5421443,-1.308223,-0.210721,0.7069021,0.554632
0.1083161,-1.944911,0.6000994,-0.05108279,-1.981952,0.1192042,1.849116,0.2375197,-0.511159,-2.338212,-2.868219,1.002175,-0.514499,-3.123566,-0.001801622,-2.250942,1.134044,-1.250366,-0.5436932,-2.565249,-0.08045112,0.9130856,0.180069
-0.970747,-2.347582,-0.3920061,-0.141218,-1.82325,-0.3035405,1.498551,-0.2064094,0.3180173,-1.536652,-2.312635,0.7878208,-0.2556667,-1.88783,0.4541918,-1.658628,1.7154,-1.410177,-1.177006,-1.29244,0.5140803,0.8567955,0.5009571
1.163932,-2.686778,0.04497337,-2.085057,-0.7050174,1.138057,1.311194,0.6106348,1.301635,-2.253795,-2.272056,1.086978,0.210909,-1.4503,-0.2088709,-1.639897,1.372018,-1.136626,0.00856323,-1.232029,-1.697723,1.282599,1.300873
0.5036197,-2.645075,0.04008572,-2.956512,-1.587187,0.7705248,0.894127,0.1374114,0.6826422,-2.237734,-1.67451,0.8735085,-0.2724651,-1.615959,-0.1938275,-0.7520483,1.497903,-1.236496,0.524255,-0.9160408,-0.06999337,1.199965,0.859678
1.187203,-2.154165,-0.1136167,-2.288682,-1.266558,0.6817323,1.18142,0.3440151,0.491031,-1.835085,-0.1631073,-0.2596779,-0.1852458,-1.664951,-0.6077037,0.7812038,0.6981845,-1.339029,0.395886,-1.65026,-1.31565,1.269423,1.55886
0.005982072,-1.657578,-0.843505,-2.268184,-1.20932,0.5190319,1.773273,-1.218072,1.4418,-0.8458323,-1.118407,0.5122846,-0.4340189,-0.9142927,1.060633,1.321249,1.465591,-0.4780358,-0.9080746,-1.971125,-0.4974159,1.844194,-0.7271177
0.9968748,-1.440962,-0.996146,-1.518684,-0.9912837,0.5766134,1.174832,-0.3902317,0.6040974,-1.603456,-1.331049,1.61917,0.4447499,-1.103223,-0.1320468,-0.7164158,1.207795,-1.056991,1.541609,-0.293566,-1.253864,0.8010594,0.6615017
0.7221233,-2.497384,-0.1030299,-2.049494,-0.9260886,0.5422661,0.7760627,0.4452626,0.5863412,-1.462744,-1.354021,1.729654,0.1181385,-1.398772,-0.409925,-0.3218595,1.624149,-1.156453,1.671736,-0.6921477,-0.9856408,0.6905939,1.64937
0.6142663,-2.092324,-0.001701447,-1.512765,-0.9765717,0.5625258,1.226155,0.7853617,0.703147,-0.9308969,-0.6375233,1.403397,-0.2215199,-1.796973,-0.3897886,0.07445791,1.87017,-0.7080578,0.5109056,-1.04868,-0.7164158,1.429402,1.699863
0.9984236,-1.712025,-0.7003732,-1.382701,-0.7435987,1.178932,1.908772,-0.2872822,0.7526418,-1.432967,-1.46404,1.547711,-0.503519,-1.033387,-0.5493932,-0.954512,1.629946,-0.7459152,1.855954,-1.329536,-0.6343124,1.425203,2.038893
0.856753,-2.535779,-0.2725964,-1.677717,-0.8753887,1.03741,1.603541,-0.4001791,1.340486,-1.959705,-1.547403,2.11031,-0.5457622,-0.9867132,-0.657394,-0.5223923,2.083234,-1.00076,1.871541,-0.1174331,-1.609938,0.5362594,2.175763
