"var842","var1645","var1","var603","var2","var545","var509","var3","var8","var187","var246","var4","var7","var129","var248","var255","var554","var742","var107","var566","var6","var5","Class"
-0.369036751,1.652497402,0.139501039,-2.688247574,-1.168927463,-0.209733864,-1.367276355,0.564972842,0.923703192,-0.854960477,-2.501036032,-3.366795955,2.327394772,-1.822631133,-1.191714907,1.165710032,-2.167180456,1.104030915,-1.734434403,-2.991740252,-0.69254736,-1.323131786,"3"
0.7715886069,1.4561934885,1.1642751775,-3.3298073856,-2.0181583133,1.7506943896,-2.3655248928,1.103533493,1.2240106981,-2.8949823705,-0.5151683732,-2.1654352548,2.6615873267,-1.2833768271,-1.6591535047,-0.5927590065,-2.0425311877,-1.160594081,-1.8559780416,-0.3112919381,-0.4374202793,-1.4401171678,"2"
0.927151539,-1.95970486,0.841092935,-0.596565083,0.254719735,0.69544454,2.815109273,-0.208747671,0.08782771,2.957879824,-1.933092645,-2.14814874,2.946641814,2.636203261,-0.152918106,-1.027222293,1.671228913,-0.732511904,0.829991828,-1.856618042,-1.263722809,-1.512765025,"4"
0.87771621,1.518265162,0.685064604,-0.903374507,-1.927579192,1.569761095,-0.553559166,-0.233067633,-0.567925216,-0.888918785,0.942854763,-1.640412717,1.617167958,-1.646620704,-0.155718575,0.280657458,-1.341320995,-1.121778567,0.913446691,0.758934921,0.774450632,-1.008954417,"2"
1.45749812,-2.32995629,-1.956162526,-3.264919763,-2.234926445,-0.615815838,-2.524479425,0.281563391,0.780196057,-3.123565645,-1.625059293,-2.695627681,2.498069636,-1.666537504,-2.530741186,-0.895263365,-1.721487416,-2.328929068,-2.416874239,-3.005782609,-1.05987246,-1.214696768,"1"
-0.6751108181,0.0738079271,-0.2586412037,-2.6678684115,-1.6847003969,0.2416904886,-0.2766761933,0.1758003398,0.455777922,-0.2555376191,-0.7184649885,-2.3238087294,2.3021349917,-2.7457520683,-0.3668695903,0.0846168457,-1.7760829898,1.4324142967,-2.1794828959,-1.0300194972,-0.0086371934,-1.6922761907,"3"
1.827785984,-1.865621318,-1.109875481,-0.807884858,-1.046969056,1.625881965,3.192392209,-0.853785527,-0.743598724,2.403940599,-0.064538521,-2.60775248,1.426380085,-0.114962018,-0.186691089,-0.758646163,1.713635752,-0.766148073,0.632281905,-0.118896155,-1.259133216,-1.770781063,"4"
1.6435880999,1.5557206299,1.4714853322,-1.8792800668,-1.7515776796,0.7130478423,0.0509782448,-0.2567003348,-0.0350056092,-0.7700282249,-0.3677358913,-1.8991219876,2.4898776074,-1.1526461772,0.5208749596,-0.9065879564,-1.6204988598,-1.2740376788,0.0125212806,1.5480092174,-1.1986536428,-1.3649243354,"2"
-0.1357051822,-0.1926143463,-0.3961585488,-1.5385135741,-1.1913856888,0.1347057029,-1.1196316559,0.6966908942,1.0340382113,-2.1236024375,-0.9578942817,-1.8623965488,1.7627082048,-2.7854713481,-0.4682451762,0.4401885442,-0.8734707347,1.0842090584,-1.5123112017,-2.1698039818,0.7449803292,-1.3126722212,"3"
0.448524598,-2.238671767,-2.136223556,-2.330984568,-2.236797352,-0.864884944,-1.863685209,-0.946492241,-0.270366195,-2.673648774,-0.969691509,-2.777400279,2.547513619,-1.968258013,-1.820158944,-2.050271164,-2.081844426,-1.649739209,-1.537117251,-1.910543005,-0.45523325,-1.822631133,"1"
