"var842","var1645","var1","var603","var2","var545","var509","var3","var8","var187","var246","var4","var7","var129","var248","var255","var554","var742","var107","var566","var6","var5","Class"
1.553629,0.9097896,0.7733437,-3.013896,-2.438405,0.7801502,-1.844528,-0.4825622,0.05704174,-3.426515,1.604747,-2.721135,1.342604,-2.763035,0.5256157,-1.514582,-1.850236,0.7311171,-2.611831,0.03459464,0.8278092,-1.217058,"2"
1.732505,0.1290087,-0.07817778,-1.36375,-2.415754,1.072679,-1.699363,0.4127717,-0.1202486,-2.361274,0.7924947,-2.825146,1.429498,-2.264326,0.8172657,-1.701005,-1.598004,0.3808308,0.8554786,-1.240983,0.05448819,-0.6262365,"2"
1.454747,0.7381205,-0.08446916,-0.9281103,-1.649739,1.334238,-1.478848,-0.2413075,0.01567648,-2.259526,1.552741,-2.875286,1.1593,-2.050271,0.2816388,-1.256319,-1.689564,-0.2871489,-0.3792127,1.014651,-0.02747398,-0.8894054,"2"
1.037233,1.008031,0.965614,0.07612736,-2.380547,0.9006084,-1.197991,0.6252965,0.8197358,-2.271086,1.135844,-1.741256,1.093801,-2.259526,0.2505252,-1.657578,-1.704848,-0.8278221,-0.1529181,0.04707441,0.9496868,-0.8453664,"2"
0.7275969,0.613671,0.0756639,-1.219763,-1.728785,1.190553,-1.974001,0.8526265,0.7714499,-2.000261,1.259143,0.2726953,1.251219,-1.590616,0.0475513,-2.291645,-1.187444,-0.1772146,0.4368346,-0.4495737,0.3279359,-1.84137,"2"
0.294608,0.2969886,0.4588163,-2.281803,-2.875286,1.909409,-2.438405,0.1358412,0.3964244,-2.877061,1.799992,0.4053984,1.73353,-1.806061,-0.3159444,-1.348613,-1.777265,-0.1532677,1.687565,1.591763,0.1378471,-2.082647,"2"
0.8826926,-1.152646,0.06709774,-2.02647,-1.624044,2.00279,-2.015153,0.5196268,-0.3054388,-3.068303,1.705112,0.2382292,1.825291,-2.036382,-0.2646168,-2.130314,-1.993631,0.4154814,-0.2368622,0.469566,0.138805,-1.397558,"2"
0.7069021,0.554632,0.09412766,-1.308223,-1.795165,1.204413,-2.051048,0.7027509,0.7603384,-2.106196,1.490587,0.2060381,1.406072,-1.641445,-0.03035612,-2.161086,-1.250017,-0.210721,0.4045981,-0.5421443,0.2881819,-1.868209,"2"
0.9130856,0.180069,0.1083161,-2.565249,-1.944911,1.134044,-2.250942,0.6000994,0.2375197,-2.868219,1.002175,-0.05108279,1.849116,-2.338212,-0.514499,-3.123566,-1.250366,-0.08045112,-0.511159,-0.5436932,0.1192042,-1.981952,"2"
0.8567955,0.5009571,-0.970747,-1.29244,-2.347582,1.7154,-1.658628,-0.3920061,-0.2064094,-2.312635,0.7878208,-0.141218,1.498551,-1.536652,-0.2556667,-1.88783,-1.410177,0.5140803,0.3180173,-1.177006,-0.3035405,-1.82325,"2"
1.282599,1.300873,1.163932,-1.232029,-2.686778,1.372018,-1.639897,0.04497337,0.6106348,-2.272056,1.086978,-2.085057,1.311194,-2.253795,0.210909,-1.4503,-1.136626,-1.697723,1.301635,0.00856323,1.138057,-0.7050174,"2"
1.199965,0.859678,0.5036197,-0.9160408,-2.645075,1.497903,-0.7520483,0.04008572,0.1374114,-1.67451,0.8735085,-2.956512,0.894127,-2.237734,-0.2724651,-1.615959,-1.236496,-0.06999337,0.6826422,0.524255,0.7705248,-1.587187,"2"
1.269423,1.55886,1.187203,-1.65026,-2.154165,0.6981845,0.7812038,-0.1136167,0.3440151,-0.1631073,-0.2596779,-2.288682,1.18142,-1.835085,-0.1852458,-1.664951,-1.339029,-1.31565,0.491031,0.395886,0.6817323,-1.266558,"2"
1.844194,-0.7271177,0.005982072,-1.971125,-1.657578,1.465591,1.321249,-0.843505,-1.218072,-1.118407,0.5122846,-2.268184,1.773273,-0.8458323,-0.4340189,-0.9142927,-0.4780358,-0.4974159,1.4418,-0.9080746,0.5190319,-1.20932,"2"
0.8010594,0.6615017,0.9968748,-0.293566,-1.440962,1.207795,-0.7164158,-0.996146,-0.3902317,-1.331049,1.61917,-1.518684,1.174832,-1.603456,0.4447499,-1.103223,-1.056991,-1.253864,0.6040974,1.541609,0.5766134,-0.9912837,"2"
0.6905939,1.64937,0.7221233,-0.6921477,-2.497384,1.624149,-0.3218595,-0.1030299,0.4452626,-1.354021,1.729654,-2.049494,0.7760627,-1.462744,0.1181385,-1.398772,-1.156453,-0.9856408,0.5863412,1.671736,0.5422661,-0.9260886,"2"
1.429402,1.699863,0.6142663,-1.04868,-2.092324,1.87017,0.07445791,-0.001701447,0.7853617,-0.6375233,1.403397,-1.512765,1.226155,-0.9308969,-0.2215199,-1.796973,-0.7080578,-0.7164158,0.703147,0.5109056,0.5625258,-0.9765717,"2"
1.425203,2.038893,0.9984236,-1.329536,-1.712025,1.629946,-0.954512,-0.7003732,-0.2872822,-1.46404,1.547711,-1.382701,1.908772,-1.432967,-0.503519,-1.033387,-0.7459152,-0.6343124,0.7526418,1.855954,1.178932,-0.7435987,"2"
0.5362594,2.175763,0.856753,-0.1174331,-2.535779,2.083234,-0.5223923,-0.2725964,-0.4001791,-1.547403,2.11031,-1.677717,1.603541,-1.959705,-0.5457622,-0.9867132,-1.00076,-1.609938,1.340486,1.871541,1.03741,-0.8753887,"2"
0.7614131,0.4404461,0.6570536,-1.081165,-1.378326,1.674101,2.021137,-0.5542552,0.3042442,1.561549,1.90163,-1.998046,2.002925,-1.495663,-1.023598,-1.942117,-1.096315,-1.526476,-0.2373693,0.03710309,0.9530083,-1.089752,"2"
0.4746802,1.415003,1.285507,-1.639897,-2.248097,1.299374,0.05078817,-0.5390536,0.9566262,-1.000488,0.6409587,-1.274395,1.44206,-1.729912,-0.5086613,-2.081043,-1.307483,-2.000261,0.8483544,1.565277,1.111825,-0.8092317,"2"
