"var1","var2","var3","var6","var7","var16","var17","var19","var21","var22","var25","var27","var28","var107","var119","var246","var255","var336","var338","var365","var545","var566","var729","var819","var1003","var1319","var1601","var1954","var1955","var2046","var2050","var2162","Class"
0.7733437,-2.438405,-0.4825622,0.8278092,1.342604,-0.5454171,0.1865626,-1.046399,0.912363,1.911126,1.437605,0.05363555,1.265143,-2.611831,-0.3814068,1.604747,-1.514582,1.083431,-0.82189,0.3682477,0.7801502,0.03459464,-0.9416085,-2.108664,-3.231455,1.536803,0.0875529,0.3828786,-1.06045,-2.051826,-4.635629,-0.3080208,"2"
-0.07817778,-2.415754,0.4127717,0.05448819,1.429498,-0.2741737,0.3254113,-1.299016,0.5489881,1.698236,1.620022,-0.4447258,1.330782,0.8554786,-1.791559,0.7924947,-1.701005,0.8409636,-1.275827,0.1125248,1.072679,-1.240983,0.2026143,-3.272804,-2.294617,0.6934471,-0.7918632,1.091588,-1.113523,-3.007805,-1.356736,-0.03988493,"2"
-0.08446916,-1.649739,-0.2413075,-0.02747398,1.1593,-0.5373407,0.004390348,-0.9043622,0.3204154,1.571881,1.503455,-0.1307923,1.016679,-0.3792127,-2.348629,1.552741,-1.256319,0.574251,-1.779633,0.1906204,1.334238,1.014651,0.2547972,-2.7678,-2.154165,1.310627,0.7540541,0.9684277,-0.8947739,-2.972016,-2.922482,-1.041287,"2"
0.965614,-2.380547,0.6252965,0.9496868,1.093801,-0.0438474,-0.4254127,-0.680231,0.7147619,1.115732,0.928575,0.3162695,-0.08904982,-0.1529181,-0.1586441,1.135844,-1.657578,0.7718197,-0.771974,0.336115,0.9006084,0.04707441,-0.5758976,-0.9197969,-2.219163,0.2857803,-0.3601094,1.024679,-0.6309238,-0.03957278,-2.425883,-0.3909707,"2"
0.0756639,-1.728785,0.8526265,0.3279359,1.251219,0.086728,0.1375857,1.203483,0.5522746,1.222392,0.7010161,0.788321,0.291176,0.4368346,-1.206309,1.259143,-2.291645,1.164868,-0.7752253,-0.07246317,1.190553,-0.4495737,-1.08205,-0.4663304,-1.539912,0.4090586,-1.800598,0.8330395,-0.8952634,-2.142168,-2.891372,-1.499687,"2"
0.4588163,-2.875286,0.1358412,0.1378471,1.73353,-0.7476034,0.03652477,0.3256279,-0.1103731,1.777999,1.010946,-0.6416939,0.008265744,1.687565,-1.634243,1.799992,-1.348613,0.4045313,-1.225196,-0.8087825,1.909409,1.591763,-1.921413,-0.9051035,-1.576487,0.6737605,-1.272252,1.503522,-0.7808861,-2.018158,-2.065144,-0.03510918,"2"
0.06709774,-1.624044,0.5196268,0.138805,1.825291,-0.1468772,0.5721653,0.646108,-0.6661158,1.786747,-0.3874287,-1.189084,-0.4465997,-0.2368622,-0.2497442,1.705112,-2.130314,1.671511,-2.116106,-0.0786104,2.00279,0.469566,-0.6641711,-0.4111311,-1.835085,-0.8753887,-2.249044,1.217284,-0.6706032,-2.722656,-2.977892,-1.277261,"2"
0.09412766,-1.795165,0.7027509,0.2881819,1.406072,0.05401459,0.1655992,1.238316,0.524255,1.463857,0.5969116,0.7361109,0.228887,0.4045981,-1.302689,1.490587,-2.161086,1.338679,-0.8175773,-0.1485,1.204413,-0.5421443,-1.141624,-0.5118261,-1.607939,0.3449363,-1.817077,0.7853617,-0.9311506,-2.234926,-2.922482,-1.605446,"2"
0.1083161,-1.944911,0.6000994,0.1192042,1.849116,0.2120422,0.2102609,1.012001,0.2587423,1.857173,-0.148268,0.295799,-1.109572,-0.511159,-0.9175415,1.002175,-3.123566,1.759099,-1.726534,-0.7129418,1.134044,-0.5436932,-1.253513,-0.8481649,-2.034851,-1.987774,-2.346537,0.4460951,-0.231806,-1.154865,-3.499913,-1.136626,"2"
-0.970747,-2.347582,-0.3920061,-0.3035405,1.498551,0.5727294,0.7776262,1.163963,0.6854678,1.601748,0.3948759,0.8872738,0.0765906,0.3180173,-0.3592497,0.7878208,-1.88783,1.147085,-1.587676,-0.5884269,1.7154,-1.177006,-1.785579,-2.304587,-1.633731,-0.451928,-2.501036,-0.3815533,-0.3778986,-2.416874,-3.604538,-2.111965,"2"
1.163932,-2.686778,0.04497337,1.138057,1.311194,-0.730849,0.3703214,-0.353537,0.4144909,1.367494,1.312002,0.1671233,0.763559,1.301635,-1.137873,1.086978,-1.4503,1.047144,-2.248097,-0.7015827,1.372018,0.00856323,-1.014179,-0.3458763,-2.429283,0.9812167,-1.809109,1.396641,-0.7003732,-1.734434,-2.02647,0.844193,"2"
0.5036197,-2.645075,0.04008572,0.7705248,0.894127,-0.1097033,-0.7236064,-1.373971,0.08489247,1.78413,1.173689,1.040135,-0.03469497,0.6826422,-1.528319,0.8735085,-1.615959,1.001881,-1.774313,0.4818704,1.497903,0.524255,-1.801204,0.4515214,-2.251892,1.778438,0.2161592,1.711651,-0.701381,-1.151064,-1.701005,0.3814456,"2"
1.187203,-2.154165,-0.1136167,0.6817323,1.18142,0.239804,0.1249572,0.7104958,0.9881648,1.719941,0.8081263,0.4942693,0.6527938,0.491031,1.0936,-0.2596779,-1.664951,1.448095,-1.448595,-1.070316,0.6981845,0.395886,-1.574071,-0.04730127,-1.708154,1.423831,-0.5202028,1.624386,-0.4992265,-1.089752,-1.779041,0.08819401,"2"
0.005982072,-1.657578,-0.843505,0.5190319,1.773273,0.9693006,-0.1737583,-2.08828,-0.01338924,1.572151,1.160021,-1.647659,-0.03728658,1.4418,-0.2706283,0.5122846,-0.9142927,0.5946519,-1.651824,-0.4806198,1.465591,-0.9080746,-1.055265,-0.02572815,-1.063342,0.9705895,-1.284099,1.913948,-1.367669,-0.7153928,-1.65339,0.3328944,"2"
0.9968748,-1.440962,-0.996146,0.5766134,1.174832,-0.9223088,-0.1226197,0.2296821,0.4335989,1.635359,0.7501417,0.5961406,-0.2452614,0.6040974,0.3688703,1.61917,-1.103223,0.5696793,0.3844457,-0.2927616,1.207795,1.541609,-0.3474321,-0.8991878,-1.515492,-0.01979463,0.40733,1.519623,-0.07806966,-1.619993,-2.244316,0.02195717,"2"
0.7221233,-2.497384,-0.1030299,0.5422661,0.7760627,-0.8051967,-0.4869463,-0.05224111,0.4831666,1.809812,-0.1375394,0.4947572,0.004589452,0.5863412,0.6330256,1.729654,-1.398772,0.4734352,-0.6460728,-1.287354,1.624149,1.671736,-0.6341238,0.4281394,-1.535259,0.8399711,-0.8221176,1.390635,-0.8257647,-1.843263,-2.197325,0.0419094,"2"
0.6142663,-2.092324,-0.001701447,0.5625258,1.226155,-0.7211352,0.2682699,-0.3453112,-0.1986949,2.007516,0.5784095,0.2914002,0.649143,0.703147,0.5962507,1.403397,-1.796973,1.629789,-1.026664,-0.0942008,1.87017,0.5109056,-0.3167677,0.01449445,-0.9996723,1.839867,-0.7545971,0.5622409,-0.9994006,-1.006215,-0.5929399,0.1282173,"2"
0.9984236,-1.712025,-0.7003732,1.178932,1.908772,-0.5929399,0.06849942,-0.7029955,0.6632548,2.030409,0.8714607,0.3057184,0.3189627,0.7526418,0.6266868,1.547711,-1.033387,1.566363,-1.020263,0.3437315,1.629946,1.855954,-1.541779,-0.6038551,-1.700457,1.331284,-0.6178542,1.155434,-1.338266,-1.184497,-1.720369,0.4152174,"2"
0.856753,-2.535779,-0.2725964,1.03741,1.603541,-1.083231,-0.06999337,-0.8521429,0.7388373,2.03252,1.113304,0.5272697,0.1892972,1.340486,0.7943942,2.11031,-0.9867132,1.792093,-1.458005,-1.622523,2.083234,1.871541,-2.057289,0.3524862,-1.799993,0.997502,-1.869505,1.193741,-1.710364,-1.856618,-1.866914,0.1782299,"2"
