"Iteration #"	"Inertia"	"Number of features"	"CV best"	"Permuted CV best"	"Global best fitness"	"Current best fitness"	"Number of features in current best agent"	"Number of features in global best"	"Number of features in local best"
1	1	42	93.7496556921951	30.4134530302748	71.772824647954	71.772824647954	19	42	840
2	1	19	93.7496556921951	27.8465852692446	72.7144733505164	72.7144733505164	19	19	342
3	1	19	93.7496556921951	27.8465852692446	72.7144733505164	72.7144733505164	19	19	342
4	1	19	93.7496556921951	27.8465852692446	72.7144733505164	72.7144733505164	19	19	342
5	1	19	93.7496556921951	27.8465852692446	72.7144733505164	72.7144733505164	19	19	342
6	1	19	93.7496556921951	27.8465852692446	72.7144733505164	72.7144733505164	19	19	304
7	1	19	93.7496556921951	27.8465852692446	72.7144733505164	72.7144733505164	19	19	304
8	1	19	93.7496556921951	27.8465852692446	72.7144733505164	72.7144733505164	19	19	304
9	1	19	93.7496556921951	27.8465852692446	72.7144733505164	72.7144733505164	19	19	304
10	1	19	93.7496556921951	27.8465852692446	72.7144733505164	72.7144733505164	19	19	304
11	1	19	93.7496556921951	27.8465852692446	72.7144733505164	72.7144733505164	19	19	304
12	1	19	93.7496556921951	27.8465852692446	72.7144733505164	72.7144733505164	19	19	304
13	1	19	93.7496556921951	27.8465852692446	72.7144733505164	72.7144733505164	19	19	304
14	1	14	100	28.6769276215092	76.7712720468296	76.7712720468296	14	18	18
15	1	8	100	27.3240654348874	77.5992279584173	77.5992279584173	16	16	16
16	1	8	100	27.3240654348874	77.5992279584173	77.5992279584173	16	16	16
17	1	8	100	27.3240654348874	77.5992279584173	77.5992279584173	16	16	16
18	1	8	100	27.3240654348874	77.5992279584173	77.5992279584173	16	16	16
19	1	8	100	27.3240654348874	77.5992279584173	77.5992279584173	16	16	16
20	1	8	100	27.3240654348874	77.5992279584173	77.5992279584173	16	16	16
21	1	8	100	27.3240654348874	77.5992279584173	77.5992279584173	16	16	16
22	1	8	100	27.3240654348874	77.5992279584173	77.5992279584173	16	16	16
23	1	8	100	27.3240654348874	77.5992279584173	77.5992279584173	16	16	16
24	1	8	100	27.3240654348874	77.5992279584173	77.5992279584173	16	16	16
25	1	8	100	27.3240654348874	77.5992279584173	77.5992279584173	16	16	16
26	1	8	100	27.3240654348874	77.5992279584173	77.5992279584173	16	16	16
27	1	8	100	27.3240654348874	77.5992279584173	77.5992279584173	16	16	16
28	1	8	100	27.3240654348874	77.5992279584173	77.5992279584173	16	16	16
29	1	8	100	27.3240654348874	77.5992279584173	77.5992279584173	16	16	16
30	1	8	100	27.3240654348874	77.5992279584173	77.5992279584173	16	16	16
31	1	8	100	27.3240654348874	77.5992279584173	77.5992279584173	16	16	16
32	1	8	100	27.3240654348874	77.5992279584173	77.5992279584173	16	16	16
33	1	8	100	27.3240654348874	77.5992279584173	77.5992279584173	16	16	16
34	1	8	100	27.3240654348874	77.5992279584173	77.5992279584173	16	16	16
35	1	8	100	27.3240654348874	77.5992279584173	77.5992279584173	16	16	16
36	1	8	100	27.3240654348874	77.5992279584173	77.5992279584173	16	16	16
37	1	8	100	27.3240654348874	77.5992279584173	77.5992279584173	16	16	16
38	1	8	100	27.3240654348874	77.5992279584173	77.5992279584173	16	16	16
39	1	8	100	27.3240654348874	77.5992279584173	77.5992279584173	16	16	16
40	1	8	100	27.3240654348874	77.5992279584173	77.5992279584173	16	16	16
41	1	8	100	27.3240654348874	77.5992279584173	77.5992279584173	16	16	16
42	1	8	100	27.3240654348874	77.5992279584173	77.5992279584173	16	16	16
43	1	8	100	27.3240654348874	77.5992279584173	77.5992279584173	16	16	16
44	1	8	100	27.3240654348874	77.5992279584173	77.5992279584173	16	16	16
45	1	8	100	27.3240654348874	77.5992279584173	77.5992279584173	16	16	16
46	1	8	100	27.3240654348874	77.5992279584173	77.5992279584173	16	16	16
47	1	8	100	27.3240654348874	77.5992279584173	77.5992279584173	16	16	16
48	1	8	100	27.3240654348874	77.5992279584173	77.5992279584173	16	16	16
49	1	8	100	27.3240654348874	77.5992279584173	77.5992279584173	16	16	16
50	1	8	100	27.3240654348874	77.5992279584173	77.5992279584173	16	16	16
51	1	8	100	27.3240654348874	77.5992279584173	77.5992279584173	16	16	16
52	1	8	100	27.3240654348874	77.5992279584173	77.5992279584173	16	16	16
53	1	8	100	27.3240654348874	77.5992279584173	77.5992279584173	16	16	16
54	1	8	100	27.3240654348874	77.5992279584173	77.5992279584173	16	16	16
55	1	8	100	27.3240654348874	77.5992279584173	77.5992279584173	16	16	16
56	1	8	100	27.3240654348874	77.5992279584173	77.5992279584173	16	16	16
57	1	8	100	27.3240654348874	77.5992279584173	77.5992279584173	16	16	16
58	1	8	100	27.3240654348874	77.5992279584173	77.5992279584173	16	16	16
59	1	8	100	27.3240654348874	77.5992279584173	77.5992279584173	16	16	16
60	1	8	100	27.3240654348874	77.5992279584173	77.5992279584173	16	16	16
61	1	8	100	27.3240654348874	77.5992279584173	77.5992279584173	16	16	16
62	1	8	100	27.3240654348874	77.5992279584173	77.5992279584173	16	16	16
63	1	8	100	27.3240654348874	77.5992279584173	77.5992279584173	16	16	16
64	1	8	100	27.3240654348874	77.5992279584173	77.5992279584173	16	16	16
65	1	8	100	27.3240654348874	77.5992279584173	77.5992279584173	16	16	16
66	1	8	100	27.3240654348874	77.5992279584173	77.5992279584173	16	16	16
67	1	8	100	27.3240654348874	77.5992279584173	77.5992279584173	16	16	16
68	1	8	100	27.3240654348874	77.5992279584173	77.5992279584173	16	16	16
69	1	8	100	27.3240654348874	77.5992279584173	77.5992279584173	16	16	16
70	1	8	100	27.3240654348874	77.5992279584173	77.5992279584173	16	16	16
71	1	8	100	27.3240654348874	77.5992279584173	77.5992279584173	16	16	16
72	1	8	100	27.3240654348874	77.5992279584173	77.5992279584173	16	16	16
73	1	8	100	27.3240654348874	77.5992279584173	77.5992279584173	16	16	16
74	1	8	100	27.3240654348874	77.5992279584173	77.5992279584173	16	16	16
75	1	8	100	27.3240654348874	77.5992279584173	77.5992279584173	16	16	16
76	1	8	100	27.3240654348874	77.5992279584173	77.5992279584173	16	16	16
77	1	8	100	27.3240654348874	77.5992279584173	77.5992279584173	16	16	16
78	1	8	100	27.3240654348874	77.5992279584173	77.5992279584173	16	16	16
79	1	8	100	27.3240654348874	77.5992279584173	77.5992279584173	16	16	16
80	1	8	100	27.3240654348874	77.5992279584173	77.5992279584173	16	16	16
81	1	8	100	27.3240654348874	77.5992279584173	77.5992279584173	16	16	16
82	1	8	100	27.3240654348874	77.5992279584173	77.5992279584173	16	16	16
83	1	8	100	27.3240654348874	77.5992279584173	77.5992279584173	16	16	16
84	1	8	100	27.3240654348874	77.5992279584173	77.5992279584173	16	16	16
85	1	8	100	27.3240654348874	77.5992279584173	77.5992279584173	16	16	16
86	1	8	100	27.3240654348874	77.5992279584173	77.5992279584173	16	16	16
87	1	8	100	27.3240654348874	77.5992279584173	77.5992279584173	16	16	16
88	1	8	100	27.3240654348874	77.5992279584173	77.5992279584173	16	16	16
89	1	8	100	27.3240654348874	77.5992279584173	77.5992279584173	16	16	16
90	1	8	100	27.3240654348874	77.5992279584173	77.5992279584173	16	16	16
91	1	8	100	27.3240654348874	77.5992279584173	77.5992279584173	16	16	16
92	1	8	100	27.3240654348874	77.5992279584173	77.5992279584173	16	16	16
93	1	8	100	27.3240654348874	77.5992279584173	77.5992279584173	16	16	16
94	1	8	100	27.3240654348874	77.5992279584173	77.5992279584173	16	16	16
95	1	8	100	27.3240654348874	77.5992279584173	77.5992279584173	16	16	16
96	1	8	100	27.3240654348874	77.5992279584173	77.5992279584173	16	16	16
97	1	8	100	27.3240654348874	77.5992279584173	77.5992279584173	16	16	16
98	1	8	100	27.3240654348874	77.5992279584173	77.5992279584173	16	16	16
99	1	8	100	27.3240654348874	77.5992279584173	77.5992279584173	16	16	16
100	1	8	100	27.3240654348874	77.5992279584173	77.5992279584173	16	16	16
101	1	8	100	27.3240654348874	77.5992279584173	77.5992279584173	16	16	16
102	1	8	100	27.3240654348874	77.5992279584173	77.5992279584173	16	16	16
