"var1","var129","var187","var246","var248","var255","var509","var545","var566","var742"
0.7733437,-2.763035,-3.426515,1.604747,0.5256157,-1.514582,-1.844528,0.7801502,0.03459464,0.7311171
-0.07817778,-2.264326,-2.361274,0.7924947,0.8172657,-1.701005,-1.699363,1.072679,-1.240983,0.3808308
-0.08446916,-2.050271,-2.259526,1.552741,0.2816388,-1.256319,-1.478848,1.334238,1.014651,-0.2871489
0.965614,-2.259526,-2.271086,1.135844,0.2505252,-1.657578,-1.197991,0.9006084,0.04707441,-0.8278221
0.0756639,-1.590616,-2.000261,1.259143,0.0475513,-2.291645,-1.974001,1.190553,-0.4495737,-0.1772146
0.4588163,-1.806061,-2.877061,1.799992,-0.3159444,-1.348613,-2.438405,1.909409,1.591763,-0.1532677
0.06709774,-2.036382,-3.068303,1.705112,-0.2646168,-2.130314,-2.015153,2.00279,0.469566,0.4154814
0.09412766,-1.641445,-2.106196,1.490587,-0.03035612,-2.161086,-2.051048,1.204413,-0.5421443,-0.210721
0.1083161,-2.338212,-2.868219,1.002175,-0.514499,-3.123566,-2.250942,1.134044,-0.5436932,-0.08045112
-0.970747,-1.536652,-2.312635,0.7878208,-0.2556667,-1.88783,-1.658628,1.7154,-1.177006,0.5140803
1.163932,-2.253795,-2.272056,1.086978,0.210909,-1.4503,-1.639897,1.372018,0.00856323,-1.697723
0.5036197,-2.237734,-1.67451,0.8735085,-0.2724651,-1.615959,-0.7520483,1.497903,0.524255,-0.06999337
1.187203,-1.835085,-0.1631073,-0.2596779,-0.1852458,-1.664951,0.7812038,0.6981845,0.395886,-1.31565
0.005982072,-0.8458323,-1.118407,0.5122846,-0.4340189,-0.9142927,1.321249,1.465591,-0.9080746,-0.4974159
0.9968748,-1.603456,-1.331049,1.61917,0.4447499,-1.103223,-0.7164158,1.207795,1.541609,-1.253864
0.7221233,-1.462744,-1.354021,1.729654,0.1181385,-1.398772,-0.3218595,1.624149,1.671736,-0.9856408
0.6142663,-0.9308969,-0.6375233,1.403397,-0.2215199,-1.796973,0.07445791,1.87017,0.5109056,-0.7164158
0.9984236,-1.432967,-1.46404,1.547711,-0.503519,-1.033387,-0.954512,1.629946,1.855954,-0.6343124
0.856753,-1.959705,-1.547403,2.11031,-0.5457622,-0.9867132,-0.5223923,2.083234,1.871541,-1.609938
0.6570536,-1.495663,1.561549,1.90163,-1.023598,-1.942117,2.021137,1.674101,0.03710309,-1.526476
1.285507,-1.729912,-1.000488,0.6409587,-0.5086613,-2.081043,0.05078817,1.299374,1.565277,-2.000261
0.7659329,-2.138767,-0.9152912,1.580009,-0.1558354,-1.92278,-0.4298603,1.798553,-0.1700768,-0.9085706
0.8382427,-1.958286,-1.804237,2.000804,-0.1926143,-2.199126,-0.5466255,0.8896182,1.088192,-0.4574428
0.313496,-0.09442058,0.952854,0.9265183,-0.2336991,-0.6254885,2.244628,-0.06560576,-1.595042,0.7069021
0.7376424,-0.3044892,1.508954,-0.5535592,-0.1384578,-1.399582,1.814515,-0.6587458,-1.054691,-0.6337468
