"var1","var2","var3","var4","var5","var6","var7","var8","var9","var10","var11","var12","var107","var123","var129","var174","var187","var246","var248","var255","var276","var368","var422","var509","var545","var554","var566","var603","var742","var819","var842","var846","var1003","Class"
0.7733437,-2.438405,-0.4825622,-2.721135,-1.217058,0.8278092,1.342604,0.05704174,0.1335689,0.5654274,1.499824,0.3935949,-2.611831,-1.422543,-2.763035,-3.327018,-3.426515,1.604747,0.5256157,-1.514582,-1.526016,-1.11109,0.3450071,-1.844528,0.7801502,-1.850236,0.03459464,-3.013896,0.7311171,-2.108664,1.553629,-3.803169,-3.231455,"2"
-0.07817778,-2.415754,0.4127717,-2.825146,-0.6262365,0.05448819,1.429498,-0.1202486,0.4567917,0.1590529,1.145909,0.3806942,0.8554786,-1.859824,-2.264326,-2.818423,-2.361274,0.7924947,0.8172657,-1.701005,-1.883875,-0.5651058,0.717791,-1.699363,1.072679,-1.598004,-1.240983,-1.36375,0.3808308,-3.272804,1.732505,-3.083471,-2.294617,"2"
-0.08446916,-1.649739,-0.2413075,-2.875286,-0.8894054,-0.02747398,1.1593,0.01567648,0.1919418,0.4965847,1.388741,-0.5306883,-0.3792127,-2.116106,-2.050271,-3.055482,-2.259526,1.552741,0.2816388,-1.256319,-1.375552,-0.3831656,0.1238976,-1.478848,1.334238,-1.689564,1.014651,-0.9281103,-0.2871489,-2.7678,1.454747,-2.285728,-2.154165,"2"
0.965614,-2.380547,0.6252965,-1.741256,-0.8453664,0.9496868,1.093801,0.8197358,-0.2846201,0.9947322,1.014832,0.08250122,-0.1529181,-1.104127,-2.259526,-1.448595,-2.271086,1.135844,0.2505252,-1.657578,-1.458865,-0.6969544,0.191529,-1.197991,0.9006084,-1.704848,0.04707441,0.07612736,-0.8278221,-0.9197969,1.037233,-1.082345,-2.219163,"2"
0.0756639,-1.728785,0.8526265,0.2726953,-1.84137,0.3279359,1.251219,0.7714499,0.0309171,0.2783133,1.112219,-0.3936354,0.4368346,-0.674718,-1.590616,-2.248097,-2.000261,1.259143,0.0475513,-2.291645,0.02371653,0.2363361,-0.1098149,-1.974001,1.190553,-1.187444,-0.4495737,-1.219763,-0.1772146,-0.4663304,0.7275969,-1.577455,-1.539912,"2"
0.4588163,-2.875286,0.1358412,0.4053984,-2.082647,0.1378471,1.73353,0.3964244,0.04583342,0.3520643,1.694514,-0.3776068,1.687565,-2.049494,-1.806061,-1.872753,-2.877061,1.799992,-0.3159444,-1.348613,-0.06059962,-0.859438,0.09712671,-2.438405,1.909409,-1.777265,1.591763,-2.281803,-0.1532677,-0.9051035,0.294608,-2.118598,-1.576487,"2"
0.06709774,-1.624044,0.5196268,0.2382292,-1.397558,0.138805,1.825291,-0.3054388,-0.05287349,-1.242367,1.830852,-1.347074,-0.2368622,-1.101115,-2.036382,-2.117767,-3.068303,1.705112,-0.2646168,-2.130314,0.5875644,0.2338065,-0.05625294,-2.015153,2.00279,-1.993631,0.469566,-2.02647,0.4154814,-0.4111311,0.8826926,-1.702102,-1.835085,"2"
0.09412766,-1.795165,0.7027509,0.2060381,-1.868209,0.2881819,1.406072,0.7603384,-0.03905273,0.1361031,1.300028,-0.4194626,0.4045981,-0.7023898,-1.641445,-2.273026,-2.106196,1.490587,-0.03035612,-2.161086,-0.0762333,0.1322556,-0.1262437,-2.051048,1.204413,-1.250017,-0.5421443,-1.308223,-0.210721,-0.5118261,0.7069021,-1.623537,-1.607939,"2"
0.1083161,-1.944911,0.6000994,-0.05108279,-1.981952,0.1192042,1.849116,0.2375197,-0.05034637,-0.2527011,1.735965,-1.470546,-0.511159,-1.666008,-2.338212,-2.950759,-2.868219,1.002175,-0.514499,-3.123566,-0.3326794,-0.5317088,-0.001801622,-2.250942,1.134044,-1.250366,-0.5436932,-2.565249,-0.08045112,-0.8481649,0.9130856,-1.195674,-2.034851,"2"
-0.970747,-2.347582,-0.3920061,-0.141218,-1.82325,-0.3035405,1.498551,-0.2064094,0.1447927,-1.572142,1.582128,-0.8739499,0.3180173,-2.016655,-1.536652,-2.898606,-2.312635,0.7878208,-0.2556667,-1.88783,-0.3543918,-0.4944603,0.4541918,-1.658628,1.7154,-1.410177,-1.177006,-1.29244,0.5140803,-2.304587,0.8567955,-2.275943,-1.633731,"2"
