"var1","var2","var3","var4","var5","var6","var7","var8","var9","var10","var26","var27","var29","var36","var52","var54","var67","var74","var77","var84","var85","var89","var107","var108","var123","var129","var151","var169","var174","var187","var246","var251","var255","var257","var276","var365","var368","var380","var433","var509","var544","var545","var554","var566","var567","var742","var836","var842","var851","var1003","var1389","var1427","var1764","var1954","var1955","var2046","var2050","var2198"
0.139501039,-1.168927463,0.564972842,-3.366795955,-1.323131786,-0.69254736,2.327394772,0.923703192,0.112167297,0.509765062,2.682301531,-2.861201381,-2.218243945,0.808794604,-0.519193873,-2.538307427,-2.301585593,0.75396002,0.990098659,-0.707854809,-1.826972225,-1.550226053,-1.734434403,-2.840439389,-2.785471348,-1.822631133,-2.233992302,-0.708870141,-2.755141809,-0.854960477,-2.501036032,0.545922461,1.165710032,-0.958676448,-0.600932697,-2.078641862,-1.788564578,0.07064484,-2.864704011,-1.367276355,0.246391218,-0.209733864,-2.167180456,-2.991740252,-0.866073016,1.104030915,-2.657832485,-0.369036751,0.435347483,-1.988504547,-2.189256408,0.180069022,-0.825993094,-1.386294361,-1.791559489,0.05600219,0.580538236,0.158114243
1.1642751775,-2.0181583133,1.103533493,-2.1654352548,-1.4401171678,-0.4374202793,2.6615873267,1.2240106981,0.2105040078,1.0455630676,2.4110178844,-2.5319982573,-2.7060521984,1.7559768391,-0.6595189996,-2.5133061243,-1.8957875397,-2.5096092624,1.8124767108,-1.15327969,0.2660497723,-2.0302704977,-1.8559780416,-2.2946169233,-1.8189251373,-1.2833768271,-0.0906908653,-1.1394342832,-2.5796569863,-2.8949823705,-0.5151683732,0.3527673191,-0.5927590065,0.1392400671,-2.4101703037,-0.3477152026,-1.1008147122,0.863438328,-2.8336134241,-2.3655248928,1.4258996157,1.7506943896,-2.0425311877,-0.3112919381,-0.5323898017,-1.160594081,-2.9262062109,0.7715886069,-1.6124424215,-2.9280736251,-0.6380909748,0.1127928275,-1.8183088045,0.4342469095,-1.1867879796,-2.9565115604,-2.6172958378,-1.0936247472
0.841092935,0.254719735,-0.208747671,-2.14814874,-1.512765025,-1.263722809,2.946641814,0.08782771,0.482919855,1.063019653,2.479156818,-1.713133149,-2.18213894,0.28307146,-1.084709383,-0.211462047,-0.844900736,-2.102914898,0.856880373,-1.131652143,-1.327648166,-1.320132159,0.829991828,-1.830708219,-2.042531188,2.636203261,-0.909811766,-1.193032864,-0.670603216,2.957879824,-1.933092645,1.044472843,-1.027222293,-0.770892529,-0.357103607,-1.558269626,-0.167472354,-1.954749098,-1.312300681,2.815109273,1.122035804,0.69544454,1.671228913,-1.856618042,-0.233320158,-0.732511904,-2.064355904,0.927151539,-0.592216462,1.000558348,-1.346689107,-0.376877651,-1.528780009,-0.494296322,0.823517332,1.324339167,0.085718875,-0.339958306
0.685064604,-1.927579192,-0.233067633,-1.640412717,-1.008954417,0.774450632,1.617167958,-0.567925216,0.036621183,-0.101700555,0.720859619,0.305128986,-0.380674939,0.592165951,-0.169247397,-1.516403046,-2.084253099,-0.749082813,-0.13159042,0.386282289,-0.434636485,-0.312658059,0.913446691,-0.621757184,-1.574553511,-1.646620704,1.013490035,-0.793188535,-1.149484619,-0.888918785,0.942854763,-0.787677664,0.280657458,-0.693347201,0.679453853,-0.964693471,1.313965575,0.513182843,-1.164111271,-0.553559166,0.684055981,1.569761095,-1.341320995,0.758934921,1.48235426,-1.121778567,-1.25351325,0.87771621,1.743828935,-1.454573202,1.402856449,1.057755571,-0.467287322,1.914154077,-1.252463013,-1.277978218,-1.150116132,0.19004168
-1.956162526,-2.234926445,0.281563391,-2.695627681,-1.214696768,-1.05987246,2.498069636,0.780196057,1.041583278,0.727500297,2.393722944,-0.992092445,-1.724287754,1.557007129,-0.578390943,-2.488914671,-1.465337568,-0.306661039,1.298719189,-2.312635429,1.675806009,-2.395797475,-2.416874239,-2.301585593,-0.234710188,-1.666537504,2.242282919,-2.039451893,-2.392509801,-3.123565645,-1.625059293,-2.397995278,-0.895263365,-2.407945609,1.568115793,-1.237874356,-1.913927103,-1.825729989,-2.847312268,-2.524479425,-1.798180037,-0.615815838,-1.721487416,-3.005782609,-1.427116356,-2.328929068,-1.191056579,1.45749812,-2.698595042,-2.736449676,-1.942117351,-2.620039324,-2.112791521,-1.237874356,-2.350725468,-2.983803703,-1.872102222,-2.694147296
-0.2586412037,-1.6847003969,0.1758003398,-2.3238087294,-1.6922761907,-0.0086371934,2.3021349917,0.455777922,-0.3424903089,0.7165218519,1.9062630593,-0.6653374799,-2.5257286443,0.8439350697,-1.7614242694,-3.3495541485,-1.8971199849,-1.2949922027,1.8312205381,0.6947459019,-1.8643301621,-0.8634611182,-2.1794828959,-2.6269311498,-2.8302178351,-2.7457520683,-0.9293759714,-2.5862751442,-2.6227903572,-0.2555376191,-0.7184649885,1.4826494494,0.0846168457,-1.1276292377,-1.0532565869,-2.6493097061,-0.9832321376,0.0174469136,-2.4877105771,-0.2766761933,1.2515908533,0.2416904886,-1.7760829898,-1.0300194972,0.4166028525,1.4324142967,-2.0264696569,-0.6751108181,0.172776144,-1.9296431766,-1.6154559848,0.3670014417,0.9702863716,-0.4827241937,-0.6700167632,-1.9152839555,1.0145782931,-0.2407984866
-1.109875481,-1.046969056,-0.853785527,-2.60775248,-1.770781063,-1.259133216,1.426380085,-0.743598724,0.613129473,-0.533071233,1.483353011,-0.902881045,-1.040437725,0.333754261,-1.37634403,-2.404617819,0.4065978,-1.376740148,1.726580743,0.641169441,1.00235833,-1.708705914,0.632281905,-0.623994322,-0.699567748,-0.114962018,1.478896332,-1.068568167,-0.987249821,2.403940599,-0.064538521,0.740221588,-0.758646163,-1.481924592,2.174035556,-1.220102186,0.026739297,-1.881246636,-0.805868051,3.192392209,-0.149544637,1.625881965,1.713635752,-0.118896155,0.237046456,-0.766148073,-0.35939292,1.827785984,-0.647409289,1.301743591,1.076639308,-1.052396865,-1.973281346,0.520340216,0.360746643,-0.560366069,1.424986088,-0.318416232
1.4714853322,-1.7515776796,-0.2567003348,-1.8991219876,-1.3649243354,-1.1986536428,2.4898776074,-0.0350056092,0.8334741807,0.7792790042,2.0583966431,-0.95581149,-1.4722880743,0.4763583949,-0.5996568375,-1.3823023399,0.1819881679,-0.7965096936,1.7884707339,-1.0308601866,0.1156474235,-1.0858935163,0.0125212806,0.5593300328,-1.5925807954,-1.1526461772,1.5669895962,-0.060918415,-1.1047309697,-0.7700282249,-0.3677358913,-0.0615563057,-0.9065879564,1.1179245997,0.4262476473,-0.0769890415,0.6995764683,-0.8414151972,-1.172151192,0.0509782448,1.4501607814,0.7130478423,-1.6204988598,1.5480092174,1.4153676086,-1.2740376788,-1.5455245867,1.6435880999,0.5481214085,-0.9625964848,0.9697177483,0.2820914741,-0.3986881238,2.266615888,-1.1796054479,-1.0711916931,-2.1680542,-0.3431947824
-0.3961585488,-1.1913856888,0.6966908942,-1.8623965488,-1.3126722212,0.7449803292,1.7627082048,1.0340382113,0.8029428464,0.953470903,1.9236499329,0.1041798189,-1.7672619976,0.2787674551,-1.2598379372,-1.7820071778,-1.2729656758,-1.3882963638,1.9032859363,0.7913169043,-1.6697188433,-0.2886158416,-1.5123112017,-1.9668273973,-1.9848588992,-2.7854713481,1.5034772167,-2.3517753372,-1.826350914,-2.1236024375,-0.9578942817,0.0462154238,0.4401885442,-0.7264971602,1.3078732546,-2.2302644314,-2.1236024375,-0.3141629497,-1.7826015314,-1.1196316559,1.0490718431,0.1347057029,-0.8734707347,-2.1698039818,0.9659567029,1.0842090584,-1.7198109699,-0.1357051822,-0.2176586211,-1.9011280063,-0.6303601925,-0.0511880368,2.1312034762,-0.2019937926,-0.982163476,-0.4967583666,1.0893697073,0.6786424944
-2.136223556,-2.236797352,-0.946492241,-2.777400279,-1.822631133,-0.45523325,2.547513619,-0.270366195,1.437866367,0.543776724,1.748573572,-0.762497259,-0.756726162,0.510425544,-1.360626614,-2.069887329,-1.285906187,0.940007258,0.192106858,-0.801177925,1.157918395,-1.59405681,-1.537117251,-2.132842318,-0.365859854,-1.968258013,2.689342974,-1.873403458,-2.097198263,-2.673648774,-0.969691509,-2.63108916,-2.050271164,-2.254747764,2.829293908,-1.013077001,-2.028748427,-2.260483917,-2.225624052,-1.863685209,-1.799388496,-0.864884944,-2.081844426,-1.910543005,-1.649739209,-1.649739209,0.102646837,0.448524598,-1.672910335,-1.544118446,-2.565249402,-0.32573014,-2.692669099,-0.787018396,-1.457575563,-2.553613848,-0.311838162,-2.584948004
