"var1","var2","var10","var52","var89","var107","var129","var151","var174","var257","var842","var1955","var2050","Class"
0.139501039,-1.168927463,0.509765062,-0.519193873,-1.550226053,-1.734434403,-1.822631133,-2.233992302,-2.755141809,-0.958676448,-0.369036751,-1.791559489,0.580538236,"3"
1.1642751775,-2.0181583133,1.0455630676,-0.6595189996,-2.0302704977,-1.8559780416,-1.2833768271,-0.0906908653,-2.5796569863,0.1392400671,0.7715886069,-1.1867879796,-2.6172958378,"2"
0.841092935,0.254719735,1.063019653,-1.084709383,-1.320132159,0.829991828,2.636203261,-0.909811766,-0.670603216,-0.770892529,0.927151539,0.823517332,0.085718875,"4"
0.685064604,-1.927579192,-0.101700555,-0.169247397,-0.312658059,0.913446691,-1.646620704,1.013490035,-1.149484619,-0.693347201,0.87771621,-1.252463013,-1.150116132,"2"
-1.956162526,-2.234926445,0.727500297,-0.578390943,-2.395797475,-2.416874239,-1.666537504,2.242282919,-2.392509801,-2.407945609,1.45749812,-2.350725468,-1.872102222,"1"
-0.2586412037,-1.6847003969,0.7165218519,-1.7614242694,-0.8634611182,-2.1794828959,-2.7457520683,-0.9293759714,-2.6227903572,-1.1276292377,-0.6751108181,-0.6700167632,1.0145782931,"3"
-1.109875481,-1.046969056,-0.533071233,-1.37634403,-1.708705914,0.632281905,-0.114962018,1.478896332,-0.987249821,-1.481924592,1.827785984,0.360746643,1.424986088,"4"
1.4714853322,-1.7515776796,0.7792790042,-0.5996568375,-1.0858935163,0.0125212806,-1.1526461772,1.5669895962,-1.1047309697,1.1179245997,1.6435880999,-1.1796054479,-2.1680542,"2"
-0.3961585488,-1.1913856888,0.953470903,-1.2598379372,-0.2886158416,-1.5123112017,-2.7854713481,1.5034772167,-1.826350914,-0.7264971602,-0.1357051822,-0.982163476,1.0893697073,"3"
-2.136223556,-2.236797352,0.543776724,-1.360626614,-1.59405681,-1.537117251,-1.968258013,2.689342974,-2.097198263,-2.254747764,0.448524598,-1.457575563,-0.311838162,"1"
-0.190676361,-1.513219055,0.586952984,-1.538513574,-0.437265421,-1.597509342,-2.887775132,1.030047897,-1.979053368,-0.667674385,-0.562294372,-0.947265536,0.868402161,"3"
1.321409113,0.495366749,1.143394431,-0.961026626,-1.249318906,1.071789075,2.400491899,-0.773273225,-0.499226488,-0.279978488,0.802315438,0.007769737,0.166615527,"4"
-1.6820086053,-2.4395509481,0.481685134,-1.0858935163,-1.9554555619,-1.9696906777,-2.8490378944,1.2553310966,-2.342365963,-2.2443161849,1.0543120298,-1.8819030191,-1.2013096869,"1"
-0.3322611158,-2.2000285047,0.4432103744,-1.5906161582,-0.4420772266,2.3962029325,-1.9442115924,1.7340067612,-1.3390291687,0.4686276831,1.0884946105,-1.3971531045,-2.6200393238,"2"
1.11123232,-1.98195192,0.630473586,-0.709276562,-1.029179514,-1.712024501,-1.330292171,2.018297254,-0.491186409,-0.507830115,0.428074251,-0.231679882,-1.086189769,"2"
0.648724963,-1.386694441,0.342809258,-0.862039317,-0.65508098,-0.245772669,-1.504177402,2.244002136,-1.004029646,-0.573233084,0.753065671,-0.724844267,-1.823869523,"2"
-0.2714151,-1.1254697428,1.1694434694,-1.1313421133,-0.9875182412,-0.2840885369,1.865242246,1.1097170684,-0.2016267079,-0.4637830174,1.5112295369,1.9543033984,0.527210653,"4"
-0.445818462,-1.380312289,0.466309314,-1.196666229,-0.651813317,-0.750140902,-2.20183519,1.700082681,-1.443499835,-0.823939471,0.013902905,-0.96233467,0.770663623,"3"
0.259436907,-0.7826343471,0.0037927982,-0.8651224453,-0.98564081,0.6163201304,0.8219360954,1.1221660416,-0.4066157699,-0.9416085399,0.9926960631,1.7734936604,-0.4658522581,"4"
-0.192493112,-1.063052113,-0.085231144,-1.398366942,-0.437265421,-1.091239534,-2.424752727,0.665930134,-2.041760475,-0.841879234,-0.19723217,-0.977368581,0.157089215,"3"
