"var1","var2","var10","var52","var89","var107","var129","var151","var174","var257","var842","var1955","var2050","Class"
0.7733437,-2.438405,0.5654274,-0.4716049,-1.795165,-2.611831,-2.763035,0.3747997,-3.327018,-1.210997,1.553629,-1.06045,-4.635629,"2"
-0.07817778,-2.415754,0.1590529,-0.2757535,-0.8615658,0.8554786,-2.264326,-0.3374327,-2.818423,-0.250001,1.732505,-1.113523,-1.356736,"2"
-0.08446916,-1.649739,0.4965847,-0.1940703,-0.3046248,-0.3792127,-2.050271,-0.4289385,-3.055482,-0.5313685,1.454747,-0.8947739,-2.922482,"2"
0.965614,-2.380547,0.9947322,-0.5023615,-0.59711,-0.1529181,-2.259526,0.7879572,-1.448595,-1.047539,1.037233,-0.6309238,-2.425883,"2"
0.0756639,-1.728785,0.2783133,-0.1138408,-1.331049,0.4368346,-1.590616,-0.645882,-2.248097,-0.3642752,0.7275969,-0.8952634,-2.891372,"2"
0.4588163,-2.875286,0.3520643,-1.678252,-1.429202,1.687565,-1.806061,0.7598708,-1.872753,0.6859715,0.294608,-0.7808861,-2.065144,"2"
0.06709774,-1.624044,-1.242367,-1.2269,-1.666008,-0.2368622,-2.036382,1.754438,-2.117767,-1.361017,0.8826926,-0.6706032,-2.977892,"2"
0.09412766,-1.795165,0.1361031,-0.1997933,-1.393118,0.4045981,-1.641445,-0.722576,-2.273026,-0.4283244,0.7069021,-0.9311506,-2.922482,"2"
0.1083161,-1.944911,-0.2527011,-1.073822,-2.281803,-0.511159,-2.338212,0.1076878,-2.950759,-1.992164,0.9130856,-0.231806,-3.499913,"2"
-0.970747,-2.347582,-1.572142,-0.198329,-1.277261,0.3180173,-1.536652,0.4957323,-2.898606,-1.61144,0.8567955,-0.3778986,-3.604538,"2"
1.163932,-2.686778,1.064745,-0.1090339,-0.951141,1.301635,-2.253795,0.9693385,-1.597509,0.09776172,1.282599,-0.7003732,-2.02647,"2"
0.5036197,-2.645075,0.692597,-0.2232686,-0.4475379,0.6826422,-2.237734,1.083126,-2.009169,0.4028617,1.199965,-0.701381,-1.701005,"2"
1.187203,-2.154165,0.7311652,-0.2977324,-0.2874154,0.491031,-1.835085,1.443619,-1.433805,-0.2101039,1.269423,-0.4992265,-1.779041,"2"
0.005982072,-1.657578,0.5074198,-0.5021963,-1.413871,1.4418,-0.8458323,1.67472,-1.536187,-0.847698,1.844194,-1.367669,-1.65339,"2"
0.9968748,-1.440962,-0.3844867,-0.372514,-0.02419024,0.6040974,-1.603456,1.05786,-1.413049,0.5608151,0.8010594,-0.07806966,-2.244316,"2"
0.7221233,-2.497384,0.4079952,-0.5301784,-0.06453852,0.5863412,-1.462744,0.8888373,-1.891138,1.216455,0.6905939,-0.8257647,-2.197325,"2"
0.6142663,-2.092324,0.4743069,-0.1460668,-0.285551,0.703147,-0.9308969,1.011455,-0.9980432,0.6999242,1.429402,-0.9994006,-0.5929399,"2"
0.9984236,-1.712025,0.04363404,-0.2002819,-1.263015,0.7526418,-1.432967,1.886842,-1.263723,0.1126141,1.425203,-1.338266,-1.720369,"2"
0.856753,-2.535779,-0.01005034,-0.154084,-1.039589,1.340486,-1.959705,1.994673,-1.707051,-0.4332475,0.5362594,-1.710364,-1.866914,"2"
0.6570536,-1.378326,0.3511497,-0.8535507,-0.6468363,-0.2373693,-1.495663,2.252354,-0.9956045,-0.5649299,0.7614131,-0.7164158,-1.815847,"2"
1.285507,-2.248097,0.6941966,-0.8589657,-0.7765288,0.8483544,-1.729912,1.716677,-1.962548,0.5644043,0.4746802,-1.39191,-2.324831,"2"
0.7659329,-2.337177,-0.1281743,0.08489247,-0.3786285,1.184576,-2.138767,0.988537,-1.712025,-0.3914143,0.8518162,-1.6847,-2.271086,"2"
0.8382427,-1.833207,-0.02050888,-0.2418168,-1.09273,-1.354796,-1.958286,0.5180793,-1.655482,0.5873421,0.3205606,-0.8982053,-1.926206,"2"
0.313496,-1.797576,-0.1333028,-0.9137939,-2.286712,0.7338092,-0.09442058,0.6130753,0.03893221,-1.427116,0.5513532,0.2359413,0.6570017,"4"
0.7376424,-1.056703,-0.2415621,-1.058719,-0.9660063,0.1209779,-0.3044892,-0.8879463,-0.157707,-0.3103368,0.6714127,1.546434,0.3204154,"4"
1.026257,-2.640859,0.7675123,-0.895753,-1.949818,-0.2248951,-0.836325,-0.4906963,-1.4503,0.1402835,0.5858403,1.795652,0.7951621,"4"
0.2157563,-1.085597,0.0617534,-1.569256,-1.901128,-0.09717191,0.8274158,-0.9308969,-0.874669,-0.3717886,0.4617194,1.62928,-0.3149848,"4"
-0.1619309,-1.025827,0.8882616,-0.2305459,-0.7881174,0.3544525,-0.2611051,-0.7429679,-1.332564,0.03440143,0.03207989,1.491037,0.3356862,"4"
0.3710117,-1.813392,0.03748844,-1.903809,-2.907721,0.8092844,0.355294,-2.012157,-1.590126,-0.9715392,0.6450068,1.433011,0.422912,"4"
-0.03180031,-0.0790432,1.080109,-0.8067639,-0.5850105,1.026866,-1.634243,-1.510045,-1.21672,-0.1647567,1.147879,1.17844,1.124897,"4"
0.3067491,-1.259133,-0.7819784,-1.342469,-1.927579,0.5086833,-0.9720677,-0.9781661,0.4030622,-2.411285,0.5704144,1.592231,-0.9426347,"4"
0.4324316,-2.700082,0.03372487,-1.874706,-3.89222,0.4221255,0.1917767,-1.267978,-1.230659,-2.645075,0.8067437,1.061257,0.1015633,"4"
0.8929402,0.02683665,1.097812,-0.8775509,-0.8114804,0.8894538,-2.403511,0.8249646,0.2384656,-0.3770234,1.330359,1.253762,1.12285,"4"
0.1084059,0.3235317,0.4323667,-0.4034671,-1.137561,0.7899108,1.456077,0.7946653,-0.744651,-0.9832321,1.169537,1.599993,0.6242793,"4"
0.7331368,-0.09025299,0.7858175,-0.3184162,-1.000216,0.6254035,1.044825,0.4620345,-0.2546342,-1.20364,1.134751,1.352738,-1.653912,"4"
0.2394105,-0.7642136,0.4703786,-0.8613292,-2.521986,-0.5594908,1.105389,0.7986327,0.07788654,-1.684161,1.595582,1.006826,-1.061895,"4"
1.242309,0.2511477,1.04767,-0.5196982,-1.413049,0.489132,1.095307,1.443218,-0.00040008,-1.015007,1.344508,1.720389,0.4698786,"4"
0.6202539,-0.6462636,-0.1684187,-0.644357,-1.131342,0.3981048,1.880792,0.8090618,-0.3720787,-0.5596658,-0.02767957,2.068697,-0.1543174,"4"
1.131821,-0.9390477,0.2489672,-1.354021,-2.163693,0.09020627,-0.5207076,1.009526,-0.283159,-0.1694843,0.8162936,1.39669,0.7691355,"4"
0.7066555,-0.5974734,0.825096,-1.331427,-0.9472655,-0.07915144,1.237243,1.106184,-1.043272,-0.6066026,1.617446,-0.5261085,-0.814637,"4"
0.8025844,0.6547701,0.5714879,0.1205348,-1.071484,0.7528773,0.629728,0.8284645,-1.206643,-0.27194,0.979303,0.7185225,0.7810665,"4"
0.2442003,-0.2523149,0.2569651,-1.794563,-0.9127968,0.1579435,-0.5767874,-0.05013607,-1.04384,-0.4235782,1.028833,1.093801,0.6788454,"4"
0.7079373,-0.347149,0.2907274,-1.394327,-1.239945,-0.954512,0.3068227,1.123045,-0.340661,0.07297161,1.95229,-0.4552333,-0.8928184,"4"
0.2240232,-1.495217,0.6413274,-0.8393297,-1.407722,-2.161954,-1.587187,-1.155818,-2.709051,-1.105033,-0.5773216,-1.026385,0.6016896,"3"
0.216884,-2.058072,0.3865541,-0.760142,-1.528319,-2.200931,-1.937942,-0.5371696,-1.910543,-1.564943,-1.572624,-0.5239109,-0.1220546,"3"
-0.2429637,-1.949818,-0.08359902,-1.318636,-1.410587,0.03469124,-1.237874,-0.6346896,-1.94561,-1.508236,-1.551169,-0.9125477,0.7395536,"3"
-0.4193105,-2.552329,0.01400152,-1.7487,-1.016111,-1.606941,-1.92278,-0.9760407,-2.721135,-0.9452047,0.5313927,-1.180908,1.331865,"3"
-0.5261085,-2.068304,0.06100102,-2.632479,-1.745258,-2.335108,-1.959705,-0.5244176,-2.430418,-0.7473922,-1.29244,-1.004576,1.114584,"3"
-0.3273936,-2.504701,0.350516,-1.396749,-2.009915,-1.915284,-2.639457,-0.9539926,-3.733877,-0.8935512,-0.565986,-1.066823,0.9201632,"3"
0.2965427,-2.065144,0.5952587,-1.137249,-1.697723,-2.04099,-2.097198,0.3212136,-2.854233,-1.357901,-0.8896488,-0.5124937,-0.2323104,"3"
-0.5878867,-1.637837,0.1654297,-1.173767,-2.417996,-2.534517,-1.84074,-0.9994006,-3.042824,-2.031795,-0.2134408,-0.6804284,0.5087435,"3"
-0.061131,-2.056507,0.5352645,-1.205641,-2.037916,-1.309704,-1.852784,-0.1575899,-2.69711,-1.852147,-1.064791,-1.033105,-0.09387122,"3"
0.2040015,-2.043302,0.2755842,-0.9689007,-1.062473,-2.000261,-0.6804284,0.3953474,-2.400198,-0.3611134,-1.280854,-0.8237116,0.2502917,"3"
0.2424755,-2.859455,0.1176941,-0.921806,-2.223774,-1.971125,-2.24055,0.3219386,-2.835316,-1.505078,-1.550226,-1.397962,-0.5907711,"3"
0.5337997,-1.529241,0.7904554,-1.745258,-1.723167,-1.343618,-1.952633,-0.6284837,-2.985782,-0.9026344,-0.9390477,-0.7528972,0.5922213,"3"
-1.940027,-2.877061,0.6291952,-0.698964,-2.060424,-2.126114,-2.04176,1.154993,-2.077843,-2.249993,1.413982,-0.5507799,-0.2154234,"1"
-1.051824,-2.887775,1.027939,-0.878995,-1.866914,-2.254748,-1.571661,1.731372,-1.649739,-1.232372,0.1139535,-0.9576337,-0.8449007,"1"
-0.9686372,-2.748872,1.122492,-0.3752754,-1.720928,-2.647896,-1.905824,1.241182,-1.549755,-2.417996,1.101707,-0.2600669,0.258279,"1"
-2.683846,-2.117767,0.6373702,-0.6879607,-1.611941,-1.817077,-1.831957,1.316194,-1.789163,-2.099644,1.142693,-0.7985077,-0.2392729,"1"
-1.207646,-2.47813,0.7148108,-1.301586,-1.654435,-2.939352,-1.746977,1.560374,-2.047168,-2.317699,0.7852705,-0.5598408,0.5601299,"1"
-1.684161,-2.053384,0.9736536,-1.365708,-2.180367,-2.30559,-1.530627,1.380553,-2.339249,-1.001032,0.6119371,-0.7027936,0.3161237,"1"
-2.258568,-2.308603,0.3762422,-0.927099,-2.048718,-2.795243,-1.404866,1.518988,-2.020418,-2.60234,0.05154826,-0.123864,-0.4006268,"1"
-1.146333,-3.007805,0.5034384,-0.7337609,-1.988505,-2.63666,-2.011409,1.630847,-2.135377,-2.004705,0.3080728,-1.076166,-0.9829649,"1"
