"var246","var255","var842"
1.604747,-1.514582,1.553629
0.7924947,-1.701005,1.732505
1.552741,-1.256319,1.454747
1.135844,-1.657578,1.037233
1.259143,-2.291645,0.7275969
1.799992,-1.348613,0.294608
1.705112,-2.130314,0.8826926
1.490587,-2.161086,0.7069021
1.002175,-3.123566,0.9130856
0.7878208,-1.88783,0.8567955
1.086978,-1.4503,1.282599
0.8735085,-1.615959,1.199965
-0.2596779,-1.664951,1.269423
0.5122846,-0.9142927,1.844194
1.61917,-1.103223,0.8010594
1.729654,-1.398772,0.6905939
1.403397,-1.796973,1.429402
1.547711,-1.033387,1.425203
2.11031,-0.9867132,0.5362594
1.90163,-1.942117,0.7614131
0.6409587,-2.081043,0.4746802
1.580009,-1.92278,0.8518162
2.000804,-2.199126,0.3205606
0.9265183,-0.6254885,0.5513532
-0.5535592,-1.399582,0.6714127
-0.7145751,-2.869981,0.5858403
-1.102319,-2.628315,0.4617194
-1.383099,-1.169893,0.03207989
-0.9560716,-2.066723,0.6450068
-0.6126738,-1.643512,1.147879
-0.6066026,-1.820776,0.5704144
-0.671973,-2.079442,0.8067437
-0.7402388,-0.4480073,1.330359
-0.5573933,-1.639382,1.169537
-0.3582476,-1.102319,1.134751
-0.5987465,-0.409172,1.595582
-0.7612119,-0.5020311,1.344508
0.02936461,-1.284099,-0.02767957
0.006776984,-2.45807,0.8162936
0.06803241,-2.046394,1.617446
-0.7857012,-1.580365,0.979303
-0.9670578,0.1019246,1.028833
-1.549755,-0.4621942,1.95229
-1.439695,1.002065,-0.5773216
-1.00076,0.3848542,-1.572624
-1.597015,1.125092,-1.551169
-0.7254638,0.1819882,0.5313927
-1.404458,-0.1059162,-1.29244
0.1365394,0.2428677,-0.565986
0.1908683,0.3490358,-0.8896488
-1.056128,0.09157594,-0.2134408
-0.2851519,-0.5940261,-1.064791
-1.041571,0.2268168,-1.280854
-0.01227503,0.2302383,-1.550226
-1.050966,0.293341,-0.9390477
-1.096614,-1.610939,1.413982
-1.085005,-1.664422,0.1139535
-1.395941,-2.069095,1.101707
-0.847698,-0.435409,1.142693
-0.6358221,-2.175952,0.7852705
-1.104731,-1.822631,0.6119371
-1.312672,-2.407946,0.05154826
-2.053384,-3.125841,0.3080728
