"var1","var246","var255","var842","var1003","var1389","var1427","var1954","var1955","Class"
0.7733437,1.604747,-1.514582,1.553629,-3.231455,1.183076,-1.124854,0.3828786,-1.06045,"2"
-0.07817778,0.7924947,-1.701005,1.732505,-2.294617,0.5451111,0.2765706,1.091588,-1.113523,"2"
-0.08446916,1.552741,-1.256319,1.454747,-2.154165,-0.7044104,0.103639,0.9684277,-0.8947739,"2"
0.965614,1.135844,-1.657578,1.037233,-2.219163,0.853138,-0.3943768,1.024679,-0.6309238,"2"
0.0756639,1.259143,-2.291645,0.7275969,-1.539912,1.399038,-0.07688104,0.8330395,-0.8952634,"2"
0.4588163,1.799992,-1.348613,0.294608,-1.576487,1.651251,-0.1064722,1.503522,-0.7808861,"2"
0.06709774,1.705112,-2.130314,0.8826926,-1.835085,1.507826,-0.4822382,1.217284,-0.6706032,"2"
0.09412766,1.490587,-2.161086,0.7069021,-1.607939,1.666914,-0.1161968,0.7853617,-0.9311506,"2"
0.1083161,1.002175,-3.123566,0.9130856,-2.034851,1.196072,-0.8223451,0.4460951,-0.231806,"2"
-0.970747,0.7878208,-1.88783,0.8567955,-1.633731,1.290747,-1.556371,-0.3815533,-0.3778986,"2"
1.163932,1.086978,-1.4503,1.282599,-2.429283,1.389639,0.474929,1.396641,-0.7003732,"2"
0.5036197,0.8735085,-1.615959,1.199965,-2.251892,0.852328,0.2143046,1.711651,-0.701381,"2"
1.187203,-0.2596779,-1.664951,1.269423,-1.708154,1.417357,-0.5266163,1.624386,-0.4992265,"2"
0.005982072,0.5122846,-0.9142927,1.844194,-1.063342,1.630788,-0.7698123,1.913948,-1.367669,"2"
0.9968748,1.61917,-1.103223,0.8010594,-1.515492,1.384818,-0.604038,1.519623,-0.07806966,"2"
0.7221233,1.729654,-1.398772,0.6905939,-1.535259,1.225656,0.4767309,1.390635,-0.8257647,"2"
0.6142663,1.403397,-1.796973,1.429402,-0.9996723,0.9901358,-0.00793137,0.5622409,-0.9994006,"2"
0.9984236,1.547711,-1.033387,1.425203,-1.700457,0.8534361,0.05855189,1.155434,-1.338266,"2"
0.856753,2.11031,-0.9867132,0.5362594,-1.799993,1.287772,-0.5803544,1.193741,-1.710364,"2"
0.6570536,1.90163,-1.942117,0.7614131,-1.782602,0.948603,-0.73961,0.4825496,-0.7164158,"2"
1.285507,0.6409587,-2.081043,0.4746802,-2.051826,1.161744,0.6040974,1.972719,-1.39191,"2"
0.7659329,1.580009,-1.92278,0.8518162,-1.833832,1.423325,0.1557209,1.496829,-1.6847,"2"
0.8382427,2.000804,-2.199126,0.3205606,-1.79276,1.534973,-0.3149848,1.311005,-0.8982053,"2"
0.313496,0.9265183,-0.6254885,0.5513532,0.4948182,-0.2252708,-0.429092,-1.553058,0.2359413,"4"
0.7376424,-0.5535592,-1.399582,0.6714127,-0.2699731,-0.6877617,-0.663006,-0.2194006,1.546434,"4"
1.026257,-0.7145751,-2.869981,0.5858403,-0.065072,-1.08146,-0.74697,-0.9662691,1.795652,"4"
0.2157563,-1.102319,-2.628315,0.4617194,0.3565549,-1.811554,0.2334898,-0.08839415,1.62928,"4"
-0.1619309,-1.383099,-1.169893,0.03207989,0.625457,-1.096914,0.3592117,-0.2978671,1.491037,"4"
0.3710117,-0.9560716,-2.066723,0.6450068,0.1150237,-1.152013,-0.8126066,-1.054978,1.433011,"4"
-0.03180031,-0.6126738,-1.643512,1.147879,-0.7940731,-1.048395,-0.6329933,-0.7036016,1.17844,"4"
0.3067491,-0.6066026,-1.820776,0.5704144,0.02058663,0.3691468,-0.9867132,-1.673443,1.592231,"4"
0.4324316,-0.671973,-2.079442,0.8067437,0.01410012,-0.5626454,0.4062648,-0.7857012,1.061257,"4"
