""	"Adduct"	"Query.m/z"	"Search mass 
 tolerance range (+/-)"	"ChemspiderID"	"CommonName"	"Molecular.Formula"	"SMILES"	"InChI"	"InChIKey"	"AverageMass"	"MolecularWeight"	"MonoisotopicMass"	"NominalMass"	"ALogP"	"XLogP"	"Structure"	"KEGG.Compound.ID"	"HMDB"	"LipidMAPS"	"PubChem"	"MassBank"	"BioCyc"	"SMPDB"	"EPA.DSSTox"	"EPA.Toxcast"	"Pesticide.Common.Names"	"ChEMBL"	"ChEBI"	"NIST.Chem.WebBook"	"WikiPathways"	"DrugBank"	"Comparative Toxicogenomics Database"	"ACToR: Aggregated Computational Toxicology Resource"
1	"M+H"	"90.05507"	"0.00089047794"	"234"	".beta.-Alanine"	"C_{3}H_{7}NO_{2}"	"C(CN)C(=O)O"	"InChI=1/C3H7NO2/c4-2-1-3(5)6/h1-2,4H2,(H,5,6)"	"UCMIRNVEIXFBKS-UHFFFAOYAL"	"89.0932"	"89.0932"	"89.047676"	"89"	"-3.26"	"-1"	"<img src=\"pngfiles/234.png\" alt=234 width=100 height=100>"	"D07561"	"HMDB00056"	"-"	"4755801"	"PR100216_jp"	"B-ALANINE"	"HMDB00056"	"DTXCID8010823"	"-"	"-"	"CHEMBL297569"	"CHEBI:57966"	"3610254304"	"-"	"DB03107"	"-"	"-"
2	"M+H"	"90.05507"	"0.00089047794"	"387"	"2-Nitropropane"	"C_{3}H_{7}NO_{2}"	"CC(C)[N+](=O)[O-]"	"InChI=1/C3H7NO2/c1-3(2)4(5)6/h3H,1-2H3"	"FGLBSLMDCBOPQK-UHFFFAOYAM"	"89.0932"	"89.0932"	"89.047676"	"89"	"0"	"0"	"<img src=\"pngfiles/387.png\" alt=387 width=100 height=100>"	"C02116"	"-"	"-"	"398"	"-"	"CPD-244"	"-"	"DTXCID80981"	"-"	"-"	"CHEMBL261886"	"CHEBI:16037"	"1676247626"	"-"	"-"	"C016617"	"-"
3	"M+H"	"90.05507"	"0.00089047794"	"582"	"DL-Alanine"	"C_{3}H_{7}NO_{2}"	"CC(C(=O)O)N"	"InChI=1/C3H7NO2/c1-2(4)3(5)6/h2H,4H2,1H3,(H,5,6)"	"QNAYBMKLOCPYGJ-UHFFFAOYAA"	"89.0932"	"89.0932"	"89.047676"	"89"	"0"	"0"	"<img src=\"pngfiles/582.png\" alt=582 width=100 height=100>"	"C01401"	"-"	"-"	"602"	"PB000387_jp"	"L-ALPHA-ALANINE"	"-"	"DTXCID4011255"	"-"	"-"	"CHEMBL12198"	"CHEBI:66916"	"403254167"	"-"	"-"	"-"	"-"
4	"M+H"	"90.05507"	"0.00089047794"	"1057"	"Sarcosine"	"C_{3}H_{7}NO_{2}"	"CNCC(=O)O"	"InChI=1/C3H7NO2/c1-4-2-3(5)6/h4H,2H2,1H3,(H,5,6)"	"FSYKKLYZXJSNPZ-UHFFFAOYAL"	"89.0932"	"89.0932"	"89.047676"	"89"	"-3.06"	"-3"	"<img src=\"pngfiles/1057.png\" alt=1057 width=100 height=100>"	"C00213"	"HMDB00271"	"-"	"7311726"	"PR010146_jp"	"SARCOSINE"	"HMDB00271"	"DTXCID9027025"	"-"	"-"	"CHEMBL304383"	"CHEBI:57433"	"1440522478"	"-"	"-"	"-"	"107-97-1"
5	"M+H"	"90.05507"	"0.00089047794"	"5439"	"Ethyl carbamate"	"C_{3}H_{7}NO_{2}"	"CCOC(=N)O"	"InChI=1/C3H7NO2/c1-2-6-3(4)5/h2H2,1H3,(H2,4,5)"	"JOYRKODLDBILNP-UHFFFAOYAY"	"89.0932"	"89.0932"	"89.047676"	"89"	"-0.14"	"-0.2"	"<img src=\"pngfiles/5439.png\" alt=5439 width=100 height=100>"	"C01537"	"HMDB31219"	"-"	"5641"	"JP009502_jp"	"-"	"-"	"DTXCID301427"	"895_TOXCST_v4a"	"-"	"CHEMBL462547"	"CHEBI:17967"	"1808011106"	"-"	"DB04827"	"D014520"	"-"
6	"M+H"	"90.05507"	"0.00089047794"	"5735"	"L-(+)-Alanine"	"C_{3}H_{7}NO_{2}"	"C[C@@H](C(=O)O)N"	"InChI=1/C3H7NO2/c1-2(4)3(5)6/h2H,4H2,1H3,(H,5,6)/t2-/m0/s1"	"QNAYBMKLOCPYGJ-REOHCLBHBS"	"89.0932"	"89.0932"	"89.047676"	"89"	"0"	"0"	"<img src=\"pngfiles/5735.png\" alt=5735 width=100 height=100>"	"D00012"	"HMDB00161"	"-"	"7311724"	"PR030001_jp"	"-"	"HMDB00161"	"-"	"-"	"-"	"CHEMBL279597"	"CHEBI:57972"	"467642793"	"-"	"DB01786"	"-"	"56-41-7"
7	"M+H"	"90.05507"	"0.00089047794"	"64234"	"D-(-)-Alanine"	"C_{3}H_{7}NO_{2}"	"C[C@H](C(=O)O)N"	"InChI=1/C3H7NO2/c1-2(4)3(5)6/h2H,4H2,1H3,(H,5,6)/t2-/m1/s1"	"QNAYBMKLOCPYGJ-UWTATZPHBC"	"89.0932"	"89.0932"	"89.047676"	"89"	"0"	"-2.8"	"<img src=\"pngfiles/64234.png\" alt=64234 width=100 height=100>"	"C00133"	"HMDB01310"	"-"	"7311725"	"KOX00008_eu"	"-"	"-"	"DTXCID1025649"	"-"	"-"	"CHEMBL66693"	"CHEBI:57416"	"3383323152"	"-"	"-"	"-"	"338-69-2"
8	"M+H"	"90.05507"	"0.00089047794"	"96991"	"N-(Hydroxymethyl)-N-methylformamide"	"C_{3}H_{7}NO_{2}"	"CN(CO)C=O"	"InChI=1/C3H7NO2/c1-4(2-5)3-6/h2,6H,3H2,1H3"	"KOCFTADHOAAXFC-UHFFFAOYAZ"	"89.0932"	"89.0932"	"89.047676"	"89"	"-1.49"	"-1"	"<img src=\"pngfiles/96991.png\" alt=96991 width=100 height=100>"	"C11488"	"-"	"-"	"107853"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"CHEBI:5593"	"-"	"-"	"-"	"-"	"-"
9	"M+H"	"114.0663"	"0.00113059024"	"568"	"Creatinine"	"C_{4}H_{7}N_{3}O"	"CN1CC(=NC1=N)O"	"InChI=1/C4H7N3O/c1-7-2-3(8)6-4(7)5/h2H2,1H3,(H2,5,6,8)"	"DDRJAANPRJIHGJ-UHFFFAOYAV"	"113.1179"	"113.1179"	"113.058914"	"113"	"0"	"0"	"<img src=\"pngfiles/568.png\" alt=568 width=100 height=100>"	"D03600"	"HMDB00562"	"-"	"588"	"UF412504_jp"	"CREATININE"	"-"	"DTXCID6025987"	"-"	"-"	"CHEMBL65567"	"CHEBI:16737"	"1457839158"	"-"	"-"	"-"	"60-27-5"
10	"M+H"	"114.0663"	"0.00113059024"	"55991"	"3-(METHYLNITROSAMINO)PROPIONITRILE"	"C_{4}H_{7}N_{3}O"	"CN(CCC#N)N=O"	"InChI=1/C4H7N3O/c1-7(6-8)4-2-3-5/h2,4H2,1H3"	"HZDLDFBKYBGNHG-UHFFFAOYAR"	"113.1179"	"113.1179"	"113.058914"	"113"	"0.01"	"-0.6"	"<img src=\"pngfiles/55991.png\" alt=55991 width=100 height=100>"	"C19280"	"-"	"-"	"62163"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"CHEBI:82359"	"-"	"-"	"-"	"-"	"-"
