"Iteration #"	"Inertia"	"Number of features"	"CV best"	"Permuted CV best"	"Global best fitness"	"Current best fitness"	"Number of features in current best agent"	"Number of features in global best"	"Number of features in local best"
1	1.5	40	81.4074074074074	37.2984207092876	2204.78935666805	2204.78935666805	19	40	800
2	1.5	19	95.3703703703704	35.8699913937327	2489.78141761869	2489.78141761869	17	11	11
3	1.5	15	100	37.4385870428314	2568.47150758859	2568.47150758859	22	17	17
4	1.5	15	100	37.4385870428314	2568.47150758859	2436.57748123191	27	17	21
5	1.5	15	100	37.4385870428314	2568.47150758859	2476.75921421742	10	17	12
6	1.5	15	100	37.4385870428314	2568.47150758859	2485.59703542585	22	17	22
7	1.5	15	100	37.4385870428314	2568.47150758859	2480.9103792987	21	17	22
8	1.5	15	100	37.4385870428314	2568.47150758859	2465.31719518252	22	17	21
9	1.5	15	100	37.4385870428314	2568.47150758859	2568.1245462768	20	17	22
10	1.5	15	100	37.4385870428314	2568.47150758859	2505.28517184501	23	17	24
11	1.5	15	100	37.4385870428314	2568.47150758859	2552.8088801371	22	17	23
12	1.5	17	100	36.3701417908935	2575.29885932062	2575.29885932062	22	22	22
13	1.5	17	100	36.3701417908935	2575.29885932062	2575.29885932062	22	22	22
14	1.5	17	100	36.3701417908935	2575.29885932062	2575.29885932062	22	22	22
15	1.5	17	100	36.3701417908935	2575.29885932062	2575.29885932062	22	22	22
16	1.5	17	100	36.3701417908935	2575.29885932062	2575.29885932062	23	22	22
17	1.5	17	100	35.4380444237857	2576.84677178274	2576.84677178274	22	23	23
18	1.5	17	100	35.4380444237857	2576.84677178274	2575.29885932062	22	23	23
19	1.5	17	100	35.4380444237857	2576.84677178274	2575.29885932062	22	23	23
20	1.5	17	100	35.4380444237857	2576.84677178274	2575.29885932062	22	23	23
21	1.5	17	100	35.4380444237857	2576.84677178274	2575.29885932062	22	23	23
22	1.5	17	100	35.4380444237857	2576.84677178274	2575.29885932062	21	23	22
23	1.5	17	100	35.4380444237857	2576.84677178274	2548.03569037729	20	23	20
24	1.5	17	100	35.4380444237857	2576.84677178274	2575.29885932062	22	23	22
25	1.5	17	100	35.4380444237857	2576.84677178274	2575.29885932062	22	23	22
26	1.5	17	100	35.4380444237857	2576.84677178274	2575.29885932062	22	23	22
27	1.5	17	100	35.4380444237857	2576.84677178274	2575.29885932062	22	23	22
28	1.5	17	100	35.4380444237857	2576.84677178274	2575.29885932062	22	23	22
29	1.5	17	100	35.4380444237857	2576.84677178274	2575.29885932062	22	23	22
30	1.5	17	100	35.4380444237857	2576.84677178274	2575.29885932062	22	23	22
31	1.5	17	100	35.4380444237857	2576.84677178274	2575.29885932062	22	23	22
32	1.5	17	100	35.4380444237857	2576.84677178274	2575.29885932062	22	23	22
33	1.5	17	100	35.4380444237857	2576.84677178274	2575.29885932062	22	23	22
34	1.5	17	100	35.4380444237857	2576.84677178274	2575.29885932062	22	23	22
35	1.5	17	100	35.4380444237857	2576.84677178274	2575.29885932062	22	23	22
36	1.5	17	100	35.4380444237857	2576.84677178274	2575.29885932062	22	23	22
37	1.5	17	100	35.4380444237857	2576.84677178274	2575.29885932062	22	23	22
38	1.5	17	100	35.4380444237857	2576.84677178274	2575.29885932062	23	23	22
39	1.5	17	100	35.4380444237857	2576.84677178274	2552.8088801371	22	23	22
40	1.5	17	100	35.4380444237857	2576.84677178274	2575.29885932062	22	23	22
41	1.5	17	100	35.4380444237857	2576.84677178274	2575.29885932062	24	23	22
42	1.5	17	100	35.4380444237857	2576.84677178274	2548.03569037729	20	23	20
43	1.5	17	100	35.4380444237857	2576.84677178274	2575.29885932062	22	23	22
44	1.5	17	100	35.4380444237857	2576.84677178274	2575.29885932062	22	23	22
45	1.5	17	100	35.4380444237857	2576.84677178274	2575.29885932062	22	23	22
46	1.5	17	100	35.4380444237857	2576.84677178274	2575.29885932062	22	23	22
47	1.5	17	100	35.4380444237857	2576.84677178274	2575.29885932062	22	23	22
48	1.5	17	100	35.4380444237857	2576.84677178274	2575.29885932062	22	23	22
49	1.5	17	100	35.4380444237857	2576.84677178274	2575.29885932062	22	23	22
50	1.5	17	100	35.4380444237857	2576.84677178274	2575.29885932062	22	23	22
51	1.5	17	100	35.4380444237857	2576.84677178274	2575.29885932062	22	23	22
52	1.5	17	100	35.4380444237857	2576.84677178274	2575.29885932062	22	23	22
53	1.5	17	100	35.4380444237857	2576.84677178274	2575.29885932062	22	23	22
54	1.5	17	100	35.4380444237857	2576.84677178274	2575.29885932062	23	23	22
55	1.5	17	100	35.4380444237857	2576.84677178274	2548.03569037729	20	23	20
56	1.5	17	100	35.4380444237857	2576.84677178274	2575.29885932062	22	23	22
57	1.5	17	100	35.4380444237857	2576.84677178274	2575.29885932062	22	23	22
58	1.5	17	100	35.4380444237857	2576.84677178274	2575.29885932062	22	23	22
59	1.5	17	100	35.4380444237857	2576.84677178274	2575.29885932062	22	23	22
60	1.5	17	100	35.4380444237857	2576.84677178274	2575.29885932062	22	23	22
61	1.5	17	100	35.4380444237857	2576.84677178274	2575.29885932062	22	23	22
62	1.5	17	100	35.4380444237857	2576.84677178274	2575.29885932062	22	23	22
63	1.5	17	100	35.4380444237857	2576.84677178274	2575.29885932062	22	23	22
64	1.5	17	100	35.4380444237857	2576.84677178274	2575.29885932062	22	23	22
65	1.5	17	100	35.4380444237857	2576.84677178274	2575.29885932062	22	23	22
66	1.5	17	100	35.4380444237857	2576.84677178274	2575.29885932062	22	23	22
67	1.5	17	100	35.4380444237857	2576.84677178274	2575.29885932062	22	23	22
68	1.5	17	100	35.4380444237857	2576.84677178274	2575.29885932062	22	23	22
69	1.5	17	100	35.4380444237857	2576.84677178274	2575.29885932062	22	23	22
70	1.5	17	100	35.4380444237857	2576.84677178274	2575.29885932062	22	23	22
71	1.5	17	100	35.4380444237857	2576.84677178274	2575.29885932062	22	23	22
72	1.5	17	100	35.4380444237857	2576.84677178274	2575.29885932062	21	23	22
73	1.5	21	100	35.0995644156309	2588.02963307325	2588.02963307325	22	21	21
74	1.5	21	100	35.0995644156309	2588.02963307325	2575.29885932062	22	21	21
75	1.5	21	100	35.0995644156309	2588.02963307325	2575.29885932062	22	21	21
76	1.5	21	100	35.0995644156309	2588.02963307325	2575.29885932062	22	21	21
77	1.5	21	100	35.0995644156309	2588.02963307325	2575.29885932062	21	21	21
78	1.5	21	100	35.0995644156309	2588.02963307325	2548.03569037729	20	21	20
79	1.5	21	100	35.0995644156309	2588.02963307325	2575.29885932062	22	21	22
80	1.5	21	100	35.0995644156309	2588.02963307325	2575.29885932062	22	21	22
81	1.5	21	100	35.0995644156309	2588.02963307325	2575.29885932062	22	21	22
82	1.5	21	100	35.0995644156309	2588.02963307325	2575.29885932062	22	21	22
83	1.5	21	100	35.0995644156309	2588.02963307325	2575.29885932062	22	21	22
84	1.5	21	100	35.0995644156309	2588.02963307325	2575.29885932062	22	21	22
85	1.5	21	100	35.0995644156309	2588.02963307325	2575.29885932062	22	21	22
86	1.5	21	100	35.0995644156309	2588.02963307325	2575.29885932062	22	21	22
87	1.5	21	100	35.0995644156309	2588.02963307325	2575.29885932062	22	21	22
88	1.5	21	100	35.0995644156309	2588.02963307325	2575.29885932062	22	21	22
89	1.5	21	100	35.0995644156309	2588.02963307325	2575.29885932062	22	21	22
90	1.5	21	100	35.0995644156309	2588.02963307325	2575.29885932062	22	21	22
91	1.5	21	100	35.0995644156309	2588.02963307325	2575.29885932062	22	21	22
92	1.5	21	100	35.0995644156309	2588.02963307325	2575.29885932062	22	21	22
93	1.5	21	100	35.0995644156309	2588.02963307325	2575.29885932062	22	21	22
94	1.5	21	100	35.0995644156309	2588.02963307325	2575.29885932062	22	21	22
95	1.5	21	100	35.0995644156309	2588.02963307325	2575.29885932062	22	21	22
96	1.5	21	100	35.0995644156309	2588.02963307325	2575.29885932062	22	21	22
97	1.5	21	100	35.0995644156309	2588.02963307325	2575.29885932062	22	21	22
98	1.5	21	100	35.0995644156309	2588.02963307325	2575.29885932062	22	21	22
99	1.5	21	100	35.0995644156309	2588.02963307325	2575.29885932062	22	21	22
100	1.5	21	100	35.0995644156309	2588.02963307325	2575.29885932062	22	21	22
101	1.5	21	100	35.0995644156309	2588.02963307325	2575.29885932062	22	21	22
102	1.5	21	100	35.0995644156309	2588.02963307325	2575.29885932062	22	21	22
103	1.5	21	100	35.0995644156309	2588.02963307325	2575.29885932062	22	21	22
104	1.5	21	100	35.0995644156309	2588.02963307325	2575.29885932062	22	21	22
105	1.5	21	100	35.0995644156309	2588.02963307325	2575.29885932062	22	21	22
106	1.5	21	100	35.0995644156309	2588.02963307325	2575.29885932062	22	21	22
107	1.5	21	100	35.0995644156309	2588.02963307325	2575.29885932062	22	21	22
108	1.5	21	100	35.0995644156309	2588.02963307325	2575.29885932062	22	21	22
109	1.5	21	100	35.0995644156309	2588.02963307325	2575.29885932062	22	21	22
110	1.5	21	100	35.0995644156309	2588.02963307325	2575.29885932062	22	21	22
111	1.5	21	100	35.0995644156309	2588.02963307325	2575.29885932062	22	21	22
112	1.5	21	100	35.0995644156309	2588.02963307325	2575.29885932062	22	21	22
113	1.5	21	100	35.0995644156309	2588.02963307325	2575.29885932062	22	21	22
114	1.5	21	100	35.0995644156309	2588.02963307325	2575.29885932062	22	21	22
115	1.5	21	100	35.0995644156309	2588.02963307325	2575.29885932062	22	21	22
