"k"	"w"	"num_featg"	"fitness_gbest"	"min_fit_x"	""
1	0.98	4	-96.7403305581743	-96.7403305581743	2
2	0.46	4	-96.7403305581743	-95.9510954280211	2
3	0.78	4	-96.7403305581743	-96.108408589103	3
4	0.86	4	-96.7403305581743	-96.5248318599954	3
5	0.9	4	-96.74710049986	-96.74710049986	3
6	0.74	4	-96.74710049986	-96.6941263777323	1
7	0.48	4	-96.74710049986	-96.5206155551844	2
8	0.78	4	-96.74710049986	-96.6026514697414	2
9	0.98	4	-96.74710049986	-96.2201132784303	1
10	0.64	4	-96.74710049986	-96.3560601711194	2
