"V1"	"V2"
"ev:E00001"	"Coptis rhizome (JP16)"
"ev:E00002"	"Evodia fruit (JP16)"
"ev:E00003"	"Saffron (JP16)"
"ev:E00004"	"Agar (JP16/NF)"
"ev:E00005"	"Tragacanth (JP16/NF)"
"ev:E00006"	"Gypsum (JP16)"
"ev:E00007"	"Acacia (JP16/NF)"
"ev:E00008"	"Belladonna extract (JP16) Belladonna (USP)"
"ev:E00009"	"Benzoin (JP16/USP) Benzoin tincture"
"ev:E00010"	"Belladonna root (JP16)"
"ev:E00011"	"Cherry bark extract"
"ev:E00012"	"Senna extract (JAN) Senna (USP)"
"ev:E00013"	"Cascara sagrada (USP) Cascara sagrada fluidextract"
"ev:E00014"	"Capsicum (JP16/USP) Cayenne papper"
"ev:E00015"	"Cardamon (JP16) Cardamom seed (NF)"
"ev:E00016"	"Melilot extract (JAN)"
"ev:E00017"	"Opium (USP)"
"ev:E00018"	"Clove (JP16)"
"ev:E00020"	"Quercus salicina extract (JAN)"
"ev:E00021"	"Ipecac (JP16/USP)"
"ev:E00022"	"Scopolia extract (JP16)"
"ev:E00023"	"Fennel oil (JP16/NF) Fennel oil, bitter"
"ev:E00024"	"Senega (JP16)"
"ev:E00025"	"Apricot kernel water (JP16)"
"ev:E00026"	"Geranium herb (JP16)"
"ev:E00027"	"Glycyrrhiza (JP16) Licorice (NF) Liquorice Glycyrrhizae radix"
"ev:E00028"	"Nux vomica (JP16)"
"ev:E00029"	"Condurango fluidextract (JP16) Condurango extract"
"ev:E00030"	"Swertia herb (JP16)"
"ev:E00031"	"Bitter orange peel (JP16) Orange peel, bitter"
"ev:E00032"	"Cinnamon fruit"
"ev:E00033"	"Mallotus bark (JP16)"
"ev:E00034"	"Forsythia fruit (JP16)"
"ev:E00035"	"Lithospermum root (JP16) Macrotomiae radix"
"ev:E00036"	"Cantharides tincture (JAN)"
"ev:E00037"	"Yellow beewax (JP16) Wax, Yellow (NF)"
"ev:E00038"	"White beeswax (JP16) Wax, white (NF)"
"ev:E00039"	"Orange oil (JP16/NF)"
"ev:E00040"	"Rice starch (JP16) Starch, rice (NF)"
"ev:E00041"	"Malt extract (JAN)"
"ev:E00042"	"Lard (JP16)"
"ev:E00043"	"Poison oak extract (USAN)"
"ev:E00044"	"Eucalyptus oil (JP16)"
"ev:E00045"	"Mentha herb (JP16) Peppermint (NF)"
"ev:E00046"	"Plantago seed (JP16/USP) Ispaghula"
"ev:E00047"	"Capsicum tincture (JP16) Capsicum extract"
"ev:E00048"	"Mentha oil (JP16)"
"ev:E00049"	"Castor oil (JP16/USP)"
"ev:E00050"	"Nux vomica tincture (JP16)"
"ev:E00051"	"Orange peel tincture (JP16) Orange peel tincture, sweet (NF)"
"ev:E00052"	"Cinnamomum obtusifolium bark"
"ev:E00053"	"Gambir (JP16)"
"ev:E00054"	"Sweet hydrangea leaf (JP16)"
"ev:E00055"	"Aloe (JP16)"
"ev:E00056"	"Artemisia capillaris flower (JP16)"
