"V5","V18","V19","V23","V27","V31","V41","Class"
67,67,55,66,64,54,62,1
67,72,75,78,69,69,73,1
64,73,71,74,37,59,55,1
78,60,55,66,60,73,73,1
66,74,75,77,37,46,64,1
75,60,55,70,63,68,77,1
75,71,77,67,57,65,68,1
62,74,70,62,65,59,58,1
68,67,62,76,47,65,79,1
79,62,50,70,36,65,67,1
62,76,75,74,44,68,76,1
77,74,73,70,70,68,61,1
73,76,68,78,76,57,65,1
66,77,76,65,52,61,68,1
74,66,68,71,66,62,62,1
65,68,62,69,55,60,60,1
66,73,59,57,30,59,44,1
72,61,54,67,55,60,67,1
57,66,66,74,72,61,67,1
77,66,68,75,64,66,71,1
55,58,66,74,75,67,69,1
62,71,71,78,65,48,72,1
62,73,76,84,69,43,70,1
58,39,37,52,46,20,30,1
51,73,77,59,60,41,54,1
68,77,74,76,53,70,67,1
79,69,69,68,54,66,61,1
72,65,65,80,44,59,67,1
74,68,62,67,68,63,59,1
67,69,68,75,71,47,52,1
75,69,69,60,71,65,65,1
62,54,52,78,37,35,43,1
63,76,71,71,26,66,74,1
72,74,74,78,38,61,58,1
72,69,76,80,59,68,65,1
74,70,74,78,72,70,60,1
68,71,73,82,47,67,71,1
74,60,56,79,14,71,72,1
78,61,63,74,44,56,64,1
68,73,68,73,59,59,67,1
70,64,74,77,58,69,71,0
70,76,75,73,67,69,77,0
67,71,66,73,65,65,75,0
77,76,70,75,68,74,73,0
77,67,73,67,64,68,76,0
80,67,67,82,60,56,70,0
76,67,66,81,69,65,68,0
68,70,73,79,66,68,71,0
74,65,65,76,65,67,75,0
74,71,68,78,60,74,76,0
69,75,76,78,70,75,74,0
78,63,67,72,56,68,75,0
75,65,69,80,62,69,69,0
76,64,62,74,59,69,74,0
76,74,67,73,64,75,72,0
69,69,70,76,64,71,76,0
78,66,67,80,72,65,67,0
75,67,75,77,58,63,67,0
72,72,77,78,69,63,77,0
78,70,68,68,66,69,72,0
69,70,77,79,58,68,77,0
84,63,67,71,57,64,77,0
76,66,70,72,61,73,72,0
60,72,70,78,71,71,71,0
70,71,69,78,64,71,79,0
68,71,68,66,70,72,72,0
71,74,71,78,66,68,74,0
72,76,73,76,73,75,72,0
78,68,68,80,62,65,72,0
72,63,58,76,77,68,66,0
67,74,68,75,63,61,64,0
78,65,62,78,67,76,77,0
70,65,63,73,68,66,80,0
74,73,72,81,70,72,72,0
80,69,69,77,64,68,78,0
72,67,64,77,61,69,71,0
71,67,64,75,79,77,68,0
75,66,69,75,71,69,75,0
72,68,68,77,48,69,75,0
66,70,69,72,63,68,69,0
