"V14","V38","Class"
70,62,1
72,63,1
68,66,1
71,66,1
71,70,1
73,69,1
71,72,1
74,66,1
68,74,1
62,73,1
68,64,1
73,69,1
79,47,1
79,73,1
66,68,1
70,71,1
67,65,1
73,75,1
71,73,1
73,67,1
76,65,1
69,75,1
56,70,1
54,40,1
43,33,1
72,67,1
67,72,1
65,77,1
75,62,1
66,64,1
70,61,1
55,63,1
75,66,1
69,60,1
70,66,1
59,59,1
73,71,1
47,62,1
67,63,1
70,70,1
73,72,0
71,72,0
74,73,0
68,66,0
74,70,0
78,50,0
57,65,0
75,60,0
66,73,0
58,70,0
68,59,0
67,69,0
70,71,0
60,69,0
70,64,0
66,62,0
74,51,0
74,77,0
61,75,0
71,62,0
69,73,0
71,64,0
71,66,0
71,57,0
70,70,0
74,63,0
76,73,0
76,58,0
68,70,0
76,59,0
62,57,0
72,64,0
73,63,0
70,64,0
73,74,0
71,68,0
67,56,0
65,65,0
69,71,0
68,65,0
