"Iteration #"	"Inertia"	"Number of features"	"CV best"	"Permuted CV best"	"Global best fitness"	"Current best fitness"	"Number of features in current best agent"	"Number of features in global best"	"Number of features in local best"
1	0.99875	44	71.1995749402412	52.5833333333333	-6.91879196546085	-6.91879196546085	18	44	1320
2	0.9975	20	80.2676835626426	41.5833333333333	147.967205692001	147.967205692001	24	20	20
3	0.99625	20	80.2676835626426	41.5833333333333	147.967205692001	116.286651880975	18	20	19
4	0.995	20	78.5232622266545	36.4166666666667	162.805705072666	162.805705072666	23	21	21
5	0.99375	20	78.5232622266545	36.4166666666667	162.805705072666	128.836478499562	20	21	22
6	0.9925	20	78.5232622266545	36.4166666666667	162.805705072666	149.518171151922	21	21	16
7	0.99125	20	78.5232622266545	36.4166666666667	162.805705072666	118.106037705544	13	21	19
8	0.99	24	81.1532710334082	38.9166666666667	168.00120365189	168.00120365189	19	19	19
9	0.98875	24	81.1532710334082	38.9166666666667	168.00120365189	125.470751797662	18	19	21
10	0.9875	27	84.9640076730934	42.8333333333333	169.74428078971	169.74428078971	27	18	18
11	0.98625	27	84.9640076730934	42.8333333333333	169.74428078971	153.281693116163	20	18	12
12	0.985	23	83.9821186445811	42.5833333333333	170.630290192603	170.630290192603	16	16	16
13	0.98375	23	83.9821186445811	42.5833333333333	170.630290192603	168.38270460201	17	16	20
14	0.9825	23	83.9821186445811	42.5833333333333	170.630290192603	146.019056865419	22	16	21
15	0.98125	22	86.7943140281561	42	180.789751958962	180.789751958962	22	19	19
16	0.98	22	86.7943140281561	42	180.789751958962	158.648688071499	23	19	20
17	0.97875	22	86.7943140281561	42	180.789751958962	138.845386417457	28	19	21
18	0.9775	22	86.7943140281561	42	180.789751958962	160.958661754434	18	19	16
19	0.97625	18	83.708201860406	37.8333333333333	188.465251726272	188.465251726272	15	18	18
20	0.975	16	82.4223993063664	36.3333333333333	189.536238956075	189.536238956075	14	18	18
21	0.97375	16	82.4223993063664	36.3333333333333	189.536238956075	184.076055772394	19	18	18
22	0.9725	21	89.2883145904178	41.4166666666667	191.630966891483	191.630966891483	17	21	21
23	0.97125	22	83.3487930814388	35	191.743965407194	191.743965407194	28	22	22
24	0.97	22	83.3487930814388	35	191.743965407194	181.557405436269	19	22	19
25	0.96875	22	83.3487930814388	35	191.743965407194	179.737728981711	25	22	21
26	0.9675	22	83.3487930814388	35	191.743965407194	174.010531339347	25	22	19
27	0.96625	22	83.3487930814388	35	191.743965407194	168.655575442458	22	22	16
28	0.965	22	83.3487930814388	35	191.743965407194	165.298658585662	18	22	16
29	0.96375	23	84.26196157197	34.75	195.287080587123	195.287080587123	23	23	23
30	0.9625	23	84.26196157197	34.75	195.287080587123	179.822887024244	20	23	23
31	0.96125	21	83.7960538482558	32.3333333333333	200.49542075643	200.49542075643	28	25	25
32	0.96	21	83.7960538482558	32.3333333333333	200.49542075643	178.633685752151	20	25	18
33	0.95875	21	83.7960538482558	32.3333333333333	200.49542075643	192.990182476343	26	25	23
34	0.9575	21	83.7960538482558	32.3333333333333	200.49542075643	194.558653336049	24	25	22
35	0.95625	21	83.7960538482558	32.3333333333333	200.49542075643	193.962517056943	28	25	17
36	0.955	21	83.7960538482558	32.3333333333333	200.49542075643	170.004925656418	26	25	24
37	0.95375	21	83.7960538482558	32.3333333333333	200.49542075643	-1e+21	26	25	22
38	0.9525	21	83.7960538482558	32.3333333333333	200.49542075643	190.325564810177	21	25	16
39	0.95125	21	83.7960538482558	32.3333333333333	200.49542075643	176.603280505351	24	25	20
40	0.95	21	83.7960538482558	32.3333333333333	200.49542075643	170.643260464929	27	25	22
41	0.94875	21	83.7960538482558	32.3333333333333	200.49542075643	177.075570497485	26	25	16
42	0.9475	21	83.7960538482558	32.3333333333333	200.49542075643	174.065503300677	24	25	23
43	0.94625	21	83.7960538482558	32.3333333333333	200.49542075643	-1e+21	27	25	21
44	0.945	21	83.7960538482558	32.3333333333333	200.49542075643	194.998590804084	25	25	25
45	0.94375	21	83.7960538482558	32.3333333333333	200.49542075643	181.33665412144	24	25	19
46	0.9425	21	83.7960538482558	32.3333333333333	200.49542075643	152.47090000005	20	25	19
47	0.94125	21	83.7960538482558	32.3333333333333	200.49542075643	159.537234664301	21	25	19
48	0.94	21	83.7960538482558	32.3333333333333	200.49542075643	155.023846719268	25	25	27
49	0.93875	21	83.7960538482558	32.3333333333333	200.49542075643	-1e+21	30	25	24
50	0.9375	21	83.7960538482558	32.3333333333333	200.49542075643	190.427868576044	27	25	22
51	0.93625	21	83.7960538482558	32.3333333333333	200.49542075643	147.537966609684	21	25	22
52	0.935	21	83.7960538482558	32.3333333333333	200.49542075643	171.95841164381	28	25	22
53	0.93375	21	83.7960538482558	32.3333333333333	200.49542075643	175.68500789284	23	25	23
54	0.9325	21	83.7960538482558	32.3333333333333	200.49542075643	162.201491514013	25	25	26
55	0.93125	21	83.7960538482558	32.3333333333333	200.49542075643	-1e+21	30	25	23
56	0.93	21	83.7960538482558	32.3333333333333	200.49542075643	149.431335178872	24	25	21
57	0.92875	21	83.7960538482558	32.3333333333333	200.49542075643	176.134121870282	25	25	24
58	0.9275	21	83.7960538482558	32.3333333333333	200.49542075643	143.701016521999	28	25	22
59	0.92625	21	83.7960538482558	32.3333333333333	200.49542075643	146.340519598253	23	25	21
60	0.925	21	83.7960538482558	32.3333333333333	200.49542075643	156.575260282925	22	25	25
61	0.92375	21	83.7960538482558	32.3333333333333	200.49542075643	-1e+21	28	25	25
62	0.9225	21	83.7960538482558	32.3333333333333	200.49542075643	150.938778449046	25	25	23
63	0.92125	21	83.7960538482558	32.3333333333333	200.49542075643	160.421041799905	23	25	25
64	0.92	21	83.7960538482558	32.3333333333333	200.49542075643	164.788413437809	27	25	26
65	0.91875	21	83.7960538482558	32.3333333333333	200.49542075643	170.926554979783	24	25	17
66	0.9175	21	83.7960538482558	32.3333333333333	200.49542075643	180.888906543182	21	25	18
67	0.91625	21	83.7960538482558	32.3333333333333	200.49542075643	-1e+21	27	25	22
68	0.915	21	83.7960538482558	32.3333333333333	200.49542075643	157.572099245423	25	25	24
69	0.91375	21	83.7960538482558	32.3333333333333	200.49542075643	164.906332917349	19	25	25
70	0.9125	21	83.7960538482558	32.3333333333333	200.49542075643	167.633327736182	23	25	20
71	0.91125	21	83.7960538482558	32.3333333333333	200.49542075643	152.565705010943	20	25	19
72	0.91	21	83.7960538482558	32.3333333333333	200.49542075643	125.372343778324	16	25	19
73	0.90875	21	83.7960538482558	32.3333333333333	200.49542075643	-1e+21	23	25	24
74	0.9075	21	83.7960538482558	32.3333333333333	200.49542075643	171.370058262831	28	25	19
75	0.90625	21	83.7960538482558	32.3333333333333	200.49542075643	155.510535546901	21	25	23
76	0.905	21	83.7960538482558	32.3333333333333	200.49542075643	131.978072637617	29	25	24
77	0.90375	21	83.7960538482558	32.3333333333333	200.49542075643	144.842443172938	20	25	18
78	0.9025	21	83.7960538482558	32.3333333333333	200.49542075643	147.422432848589	27	25	26
79	0.90125	21	83.7960538482558	32.3333333333333	200.49542075643	-1e+21	20	25	21
80	0.9	21	83.7960538482558	32.3333333333333	200.49542075643	136.818143167193	25	25	28
81	0.89875	21	83.7960538482558	32.3333333333333	200.49542075643	142.838667324828	22	25	26
82	0.8975	21	83.7960538482558	32.3333333333333	200.49542075643	129.840264967332	20	25	24
83	0.89625	21	83.7960538482558	32.3333333333333	200.49542075643	186.343298737518	25	25	16
84	0.895	21	83.7960538482558	32.3333333333333	200.49542075643	169.888255923577	24	25	20
