"V2","V5","V10","V13","V24","V25","V26","V30","V31","V41","V42","V43","V44","Class"
59,67,58,71,72,74,63,67,54,62,74,74,64,1
72,67,69,70,74,79,74,71,69,73,67,71,56,1
71,64,70,71,54,47,53,72,59,55,61,41,51,1
69,78,59,69,74,74,64,70,73,73,68,68,59,1
70,66,72,71,73,70,41,58,46,64,60,55,49,1
57,75,57,74,77,71,65,61,68,77,72,70,61,1
69,75,69,69,71,69,65,68,65,68,70,73,63,1
61,62,74,70,65,60,66,64,59,58,60,67,49,1
65,68,64,72,80,78,53,68,65,79,68,70,59,1
74,79,65,74,61,57,52,55,65,67,60,56,53,1
70,62,69,68,56,60,54,68,68,76,64,61,54,1
67,77,72,72,76,73,70,70,68,61,73,73,64,1
76,73,77,73,75,76,66,67,57,65,74,70,51,1
70,66,70,71,72,67,59,67,61,68,77,69,65,1
78,74,68,73,60,62,64,66,62,62,69,67,61,1
67,65,64,67,68,59,64,70,60,60,76,65,62,1
70,66,68,58,76,54,58,59,59,44,73,36,51,1
63,72,68,71,72,68,57,66,60,67,78,68,64,1
62,57,65,66,71,63,62,66,61,67,77,71,62,1
80,77,64,73,70,75,59,66,66,71,66,71,59,1
63,55,44,60,70,72,77,71,67,69,71,70,58,1
70,62,62,61,69,70,67,49,48,72,73,70,65,1
61,62,61,71,69,71,69,49,43,70,65,68,65,1
70,58,26,55,66,72,23,17,20,30,57,67,41,1
75,51,46,12,65,73,54,54,41,54,36,46,45,1
77,68,77,77,69,68,56,69,70,67,60,60,53,1
75,79,69,77,69,65,58,67,66,61,52,44,34,1
78,72,70,76,68,66,59,62,59,67,44,42,44,1
69,74,61,71,74,78,64,64,63,59,74,75,63,1
72,67,61,76,69,67,68,48,47,52,69,83,59,1
64,75,59,68,62,66,69,67,65,65,71,73,57,1
72,62,57,75,57,55,35,41,35,43,38,35,32,1
79,63,72,78,52,48,23,66,66,74,34,33,11,1
66,72,67,75,55,50,37,61,61,58,35,37,24,1
65,72,70,76,69,68,57,62,68,65,65,67,53,1
71,74,69,74,69,72,69,59,70,60,72,61,55,1
70,68,68,53,67,71,52,66,67,71,67,64,52,1
73,74,54,78,47,53,19,67,71,72,31,30,15,1
68,78,64,77,53,72,36,49,56,64,52,57,49,1
68,68,75,77,69,69,48,66,59,67,51,48,45,1
62,70,60,68,69,73,59,65,69,71,71,69,66,0
62,70,69,73,70,74,63,66,69,77,72,76,64,0
59,67,66,73,80,79,69,68,65,75,74,65,69,0
75,77,67,73,72,68,69,71,74,73,66,68,58,0
77,77,65,66,76,69,68,69,68,76,79,73,65,0
68,80,67,80,70,68,63,54,56,70,69,65,42,0
76,76,68,79,58,68,75,58,65,68,75,68,62,0
61,68,64,81,64,65,62,71,68,71,69,68,63,0
67,74,65,78,74,81,66,63,67,75,72,74,65,0
71,74,68,78,67,68,63,76,74,76,74,73,54,0
64,69,61,68,79,81,74,73,75,74,68,67,58,0
76,78,61,70,74,73,56,67,68,75,74,70,63,0
74,75,73,79,71,73,60,69,69,69,62,65,55,0
65,76,65,73,69,69,66,69,69,74,69,70,62,0
59,76,65,76,70,68,67,70,75,72,61,61,51,0
76,69,60,66,69,75,65,74,71,76,62,69,52,0
71,78,67,75,73,75,67,67,65,67,78,76,60,0
80,75,77,78,68,67,61,61,63,67,65,66,61,0
68,72,61,62,74,77,69,64,63,77,69,77,65,0
67,78,61,76,71,75,62,68,69,72,70,68,60,0
72,69,66,78,64,68,56,68,68,77,71,72,63,0
62,84,53,70,70,74,54,62,64,77,62,62,61,0
69,76,68,76,56,62,56,67,73,72,64,68,60,0
59,60,64,65,72,71,71,67,71,71,70,69,53,0
66,70,61,68,71,70,65,70,71,79,79,79,66,0
62,68,62,68,65,76,64,70,72,72,75,79,62,0
71,71,67,79,78,74,68,68,68,74,68,70,57,0
63,72,64,75,68,76,66,72,75,72,68,71,57,0
74,78,69,76,68,74,57,61,65,72,68,70,61,0
69,72,57,62,78,80,75,74,68,66,74,75,62,0
70,67,67,65,64,69,63,56,61,64,79,74,59,0
65,78,64,73,72,76,66,68,76,77,66,66,59,0
64,70,57,64,79,76,75,69,66,80,74,67,71,0
70,74,66,72,76,75,71,69,72,72,66,63,54,0
72,80,66,70,80,79,67,69,68,78,79,75,65,0
70,72,63,76,70,72,61,63,69,71,64,67,56,0
59,71,56,61,71,72,76,71,77,68,64,63,56,0
67,75,65,75,62,64,66,64,69,75,74,80,67,0
68,72,67,69,73,60,49,70,69,75,68,56,58,0
66,66,63,66,65,73,67,70,68,69,71,68,59,0
