"Iteration #"	"Inertia"	"Number of features"	"CV best"	"Permuted CV best"	"Global best fitness"	"Current best fitness"	"Number of features in current best agent"	"Number of features in global best"	"Number of features in local best"
1	0.8	44	71.1995749402412	52.5833333333333	-33.7265755301665	-33.7265755301665	26	44	1320
2	0.6	26	83.0921674838075	49.3333333333333	90.2547350644642	90.2547350644642	19	22	22
3	0.4	26	83.0921674838075	49.3333333333333	90.2547350644642	81.3221282223062	23	22	21
4	0.2	24	82.8276254078026	48	94.234475556037	94.234475556037	33	22	22
5	0	24	82.8276254078026	48	94.234475556037	73.1478356381177	26	22	24
6	-0.2	24	82.8276254078026	48	94.234475556037	91.7756855333127	27	22	23
7	-0.4	16	81.6397425930464	44.6666666666667	103.196347347867	103.196347347867	17	21	21
8	-0.6	15	83.7079525928514	45.75	106.596397535478	106.596397535478	27	23	23
9	-0.8	15	83.7079525928514	45.75	106.596397535478	90.2073141725053	17	23	21
10	-1	15	83.7079525928514	45.75	106.596397535478	88.5330640181157	25	23	17
11	-1.2	15	83.7079525928514	45.75	106.596397535478	71.9249651620305	31	23	17
12	-0.2	15	83.7079525928514	45.75	106.596397535478	75.3354097909989	17	23	23
13	-0.3	15	83.7079525928514	45.75	106.596397535478	81.8925182461986	26	23	17
14	-0.4	18	82.0551902438804	43.75	127.611529094027	127.611529094027	26	13	13
15	-0.5	18	82.0551902438804	43.75	127.611529094027	79.9012024739093	31	13	18
16	-0.6	18	82.0551902438804	43.75	127.611529094027	105.791736918155	25	13	13
17	-0.7	18	82.0551902438804	43.75	127.611529094027	76.1989233784116	27	13	17
18	-0.8	18	82.0551902438804	43.75	127.611529094027	88.2551429288912	30	13	18
19	-0.9	18	82.0551902438804	43.75	127.611529094027	53.80129770389	13	13	21
20	-1	18	82.0551902438804	43.75	127.611529094027	-1e+21	22	13	20
21	-1.1	18	82.0551902438804	43.75	127.611529094027	99.3677290675237	28	13	15
22	-0.1	18	82.0551902438804	43.75	127.611529094027	100.564778119053	21	13	22
23	-0.15	18	82.0551902438804	43.75	127.611529094027	57.6454459902619	26	13	19
24	-0.2	18	82.0551902438804	43.75	127.611529094027	110.872201749871	28	13	15
25	-0.25	18	82.0551902438804	43.75	127.611529094027	85.0433782173223	26	13	11
26	-0.3	18	82.0551902438804	43.75	127.611529094027	-1e+21	25	13	13
27	-0.35	18	82.0551902438804	43.75	127.611529094027	94.6556940364384	17	13	21
28	-0.4	18	82.0551902438804	43.75	127.611529094027	70.8223933501236	31	13	18
29	-0.45	18	82.0551902438804	43.75	127.611529094027	97.52002481027	24	13	15
30	-0.5	18	82.0551902438804	43.75	127.611529094027	91.7613579429474	18	13	24
31	-0.55	18	82.0551902438804	43.75	127.611529094027	69.9359786271088	20	13	22
32	-0.6	18	82.0551902438804	43.75	127.611529094027	-1e+21	23	13	19
33	-0.65	18	82.0551902438804	43.75	127.611529094027	100.853417006561	25	13	17
34	-0.7	18	82.0551902438804	43.75	127.611529094027	76.762006576615	21	13	20
35	-0.75	18	82.0551902438804	43.75	127.611529094027	106.499192051041	32	13	18
36	-0.8	18	82.0551902438804	43.75	127.611529094027	105.453442363801	23	13	16
37	-0.85	18	82.0551902438804	43.75	127.611529094027	121.670966261251	31	13	14
