"V5","V27","V29","V31","V41"
78,70,67,67,77
71,60,66,64,66
67,57,53,60,54
65,60,69,69,72
61,67,69,71,73
67,59,65,70,71
76,62,66,40,45
58,44,74,66,74
69,44,25,18,16
74,38,59,67,73
71,43,62,70,59
75,36,51,43,43
80,59,61,46,60
46,43,78,49,56
65,34,78,68,71
50,44,74,19,12
61,63,67,66,66
68,65,70,66,68
48,33,50,50,48
58,70,55,52,52
74,39,72,64,63
61,14,41,41,47
79,38,49,42,43
74,45,64,60,74
67,39,50,63,67
75,57,62,38,50
75,50,43,49,69
78,57,51,68,67
65,76,73,73,73
72,59,58,65,70
73,69,59,68,66
72,65,65,66,75
74,37,54,15,35
70,49,52,72,70
82,63,67,70,75
68,65,63,63,71
72,60,59,66,64
68,23,60,41,55
54,47,57,26,13
73,59,70,40,39
43,63,77,7,6
71,55,68,74,73
61,39,75,64,63
78,6,23,48,57
72,42,51,48,51
82,50,53,60,70
71,56,61,62,74
74,35,65,56,61
76,63,63,66,63
73,48,66,68,70
70,66,62,69,76
68,52,45,36,35
74,38,69,65,67
75,44,65,69,62
70,73,71,69,69
71,38,48,68,81
69,19,46,43,57
73,28,52,68,73
61,60,65,70,73
68,51,57,68,64
65,35,67,64,66
66,61,73,64,74
67,55,71,70,77
77,43,68,67,58
74,59,69,73,75
65,31,17,43,47
65,51,56,63,64
72,68,68,40,47
69,65,59,62,62
55,19,77,56,62
54,50,66,47,59
58,42,59,66,69
68,61,67,72,70
60,38,36,22,28
71,57,67,69,77
80,54,58,64,65
74,38,72,68,59
73,57,70,59,63
61,63,62,63,64
76,29,56,63,62
74,35,79,64,61
63,55,59,48,67
53,41,45,61,52
69,56,63,65,64
51,65,61,25,40
44,20,38,25,12
63,61,58,40,57
71,14,41,36,58
54,57,62,60,67
48,62,78,59,61
83,58,57,53,65
70,16,44,19,44
73,55,70,67,68
70,56,69,66,63
65,78,83,70,76
84,47,54,64,58
66,52,63,61,68
84,63,62,57,49
74,59,67,66,51
79,63,70,60,62
75,54,68,64,78
75,68,78,67,71
51,44,53,61,77
77,45,54,65,60
67,64,64,63,47
74,60,61,65,66
68,67,55,72,75
70,57,60,61,77
74,64,73,70,80
78,75,64,75,75
77,63,68,65,71
75,51,53,63,59
67,57,68,68,71
72,62,67,68,64
72,76,61,68,68
70,66,56,68,75
62,77,74,72,67
72,75,79,78,68
65,59,68,74,68
74,75,69,69,76
65,71,64,70,69
57,60,60,63,77
68,56,65,70,70
71,62,67,67,70
78,55,57,66,73
72,75,58,58,58
59,64,67,66,57
74,62,69,75,75
72,71,69,66,76
67,63,57,52,62
74,57,67,42,52
73,61,69,72,66
71,73,62,70,68
56,47,68,45,54
70,59,58,66,61
75,51,67,64,59
35,56,59,25,39
72,54,53,38,46
66,35,71,67,61
60,32,26,44,59
62,49,86,52,58
67,76,59,15,22
72,43,51,65,66
74,53,69,62,69
75,46,65,36,48
74,64,71,69,76
44,64,68,40,48
71,74,64,40,43
82,17,61,67,74
72,63,70,63,69
62,75,73,67,66
54,71,64,63,70
69,67,58,70,66
51,67,66,63,71
67,63,70,65,65
79,59,56,67,72
71,80,69,67,67
34,19,42,30,31
40,23,77,32,39
60,47,80,48,53
69,59,40,53,65
76,48,27,67,69
79,48,50,63,65
75,60,58,67,66
70,46,80,73,66
64,44,48,68,73
74,65,75,71,71
76,48,70,35,49
68,78,67,61,61
69,67,53,64,59
59,55,56,64,65
74,63,69,66,66
70,68,64,68,65
66,61,60,60,75
74,63,61,66,62
78,53,58,61,72
71,71,47,39,73
70,67,61,68,66
78,60,63,58,64
66,64,60,74,73
66,63,66,70,76
74,69,61,75,71
70,61,63,69,68
66,68,68,64,68
77,69,69,68,75
74,69,66,65,78
71,62,72,67,72
