"V5","V27","V29","V31","V41"
67,64,54,54,62
67,69,70,69,73
64,37,68,59,55
78,60,54,73,73
66,37,40,46,64
75,63,55,68,77
75,57,65,65,68
62,65,59,59,58
68,47,36,65,79
79,36,49,65,67
62,44,69,68,76
77,70,51,68,61
73,76,67,57,65
66,52,50,61,68
74,66,67,62,62
65,55,60,60,60
66,30,41,59,44
72,55,53,60,67
57,72,66,61,67
77,64,69,66,71
55,75,71,67,69
62,65,70,48,72
62,69,71,43,70
58,46,31,20,30
51,60,66,41,54
68,53,54,70,67
79,54,60,66,61
72,44,63,59,67
74,68,62,63,59
67,71,68,47,52
75,71,63,65,65
62,37,57,35,43
63,26,59,66,74
72,38,73,61,58
72,59,56,68,65
74,72,61,70,60
68,47,64,67,71
74,14,50,71,72
78,44,54,56,64
68,59,44,59,67
70,58,67,69,71
70,67,68,69,77
67,65,66,65,75
77,68,69,74,73
77,64,61,68,76
80,60,60,56,70
76,69,70,65,68
68,66,65,68,71
74,65,63,67,75
74,60,67,74,76
69,70,79,75,74
78,56,52,68,75
75,62,67,69,69
76,59,59,69,74
76,64,68,75,72
69,64,60,71,76
78,72,67,65,67
75,58,67,63,67
72,69,74,63,77
78,66,78,69,72
69,58,64,68,77
84,57,57,64,77
76,61,62,73,72
60,71,64,71,71
70,64,71,71,79
68,70,60,72,72
71,66,68,68,74
72,73,68,75,72
78,62,65,65,72
72,77,62,68,66
67,63,64,61,64
78,67,61,76,77
70,68,58,66,80
74,70,82,72,72
80,64,66,68,78
72,61,58,69,71
71,79,70,77,68
75,71,61,69,75
72,48,69,69,75
66,63,57,68,69
