"V2","V7","V9","V12","V13","V17","V18","V20","V23","V28","V29","V34","V38","V39","V40","V41","Class"
59,66,61,72,71,65,67,61,66,56,54,65,62,56,72,62,1
72,82,65,70,70,71,72,66,78,69,70,62,63,60,69,73,1
71,64,65,72,71,61,73,75,74,77,68,60,66,65,64,55,1
69,63,65,66,69,58,60,62,66,57,54,62,66,65,72,73,1
70,58,69,62,71,59,74,70,77,39,40,65,70,66,70,64,1
57,74,71,72,74,58,60,71,70,69,55,63,69,67,79,77,1
69,71,76,66,69,64,71,65,67,69,65,63,72,72,69,68,1
61,72,67,76,70,74,74,75,62,68,59,55,66,60,60,58,1
65,67,71,73,72,57,67,74,76,48,36,60,74,63,77,79,1
74,61,66,78,74,36,62,67,70,69,49,58,73,69,62,67,1
70,60,77,73,68,65,76,63,74,68,69,61,64,68,64,76,1
67,70,72,76,72,71,74,69,70,62,51,75,69,63,65,61,1
76,67,70,79,73,71,76,81,78,65,67,50,47,49,75,65,1
70,60,77,71,71,64,77,63,65,56,50,67,73,68,74,68,1
78,69,74,73,73,67,66,61,71,65,67,61,68,65,71,62,1
67,56,63,68,67,58,68,65,69,65,60,58,71,62,74,60,1
70,46,58,81,58,32,73,76,57,69,41,62,65,56,65,44,1
63,62,57,68,71,58,61,70,67,61,53,73,75,70,77,67,1
62,75,59,74,66,69,66,71,74,62,66,59,73,73,76,67,1
80,74,77,73,73,66,66,63,75,63,69,62,67,66,74,71,1
63,58,74,63,60,73,58,68,74,70,71,60,65,62,70,69,1
70,67,74,66,61,62,71,74,78,67,70,65,75,71,73,72,1
61,60,75,64,71,62,73,71,84,69,71,56,70,73,69,70,1
70,89,72,46,55,40,39,35,52,8,31,61,40,23,31,30,1
75,50,69,11,12,60,73,46,59,55,66,58,33,23,64,54,1
77,58,68,76,77,57,77,61,76,57,54,65,67,66,71,67,1
75,68,77,73,77,58,69,67,68,68,60,63,72,69,73,61,1
78,71,74,65,76,57,65,73,80,62,63,59,77,76,62,67,1
69,72,72,72,71,68,68,62,67,62,62,66,62,63,64,59,1
72,59,63,75,76,56,69,68,75,70,68,63,64,67,56,52,1
64,71,71,62,68,72,69,61,60,62,63,52,61,56,64,65,1
72,63,61,76,75,37,54,57,78,57,57,75,63,62,53,43,1
79,62,70,73,78,62,76,68,71,66,59,56,66,69,70,74,1
66,67,81,76,75,57,74,56,78,65,73,61,60,71,46,58,1
65,75,83,70,76,71,69,72,80,59,56,65,66,70,63,65,1
71,68,68,75,74,69,70,74,78,63,61,61,59,64,64,60,1
70,69,61,50,53,63,71,80,82,67,64,58,71,67,70,71,1
73,59,76,75,78,19,60,56,79,58,50,49,62,58,57,72,1
68,73,78,73,77,57,61,52,74,52,54,65,63,70,58,64,1
68,64,73,80,77,61,73,63,73,62,44,64,70,69,74,67,1
62,58,74,68,68,63,64,64,77,58,67,61,72,74,71,71,0
62,70,77,69,73,71,76,66,73,58,68,69,72,71,73,77,0
59,59,73,77,73,55,71,69,73,69,66,59,73,71,81,75,0
75,75,75,74,73,70,76,67,75,75,69,63,66,63,70,73,0
77,76,81,66,66,68,67,63,67,64,61,70,70,70,73,76,0
68,72,75,75,80,64,67,70,82,64,60,59,50,51,73,70,0
76,69,76,78,79,69,67,73,81,73,70,74,65,62,78,68,0
61,69,69,71,81,69,70,61,79,61,65,59,60,68,74,71,0
67,66,70,75,78,60,65,73,76,65,63,63,73,72,76,75,0
71,74,56,71,78,72,71,72,78,67,67,67,70,74,83,76,0
64,70,78,69,68,70,75,73,78,72,79,65,59,62,71,74,0
76,72,75,67,70,58,63,59,72,52,52,65,69,74,77,75,0
74,62,67,75,79,67,65,79,80,69,67,66,71,73,66,69,0
65,68,66,74,73,63,64,73,74,68,59,65,69,64,69,74,0
59,70,74,75,76,61,74,78,73,79,68,59,64,64,65,72,0
76,73,72,73,66,67,69,60,76,63,60,61,62,63,73,76,0
71,67,72,72,75,66,66,66,80,67,67,61,51,57,77,67,0
80,68,75,76,78,65,67,74,77,60,67,66,77,74,69,67,0
68,71,82,61,62,62,72,69,78,77,74,58,75,77,77,77,0
67,68,73,59,76,66,70,65,68,70,78,65,62,72,69,72,0
72,70,81,73,78,65,70,69,79,67,64,62,73,77,74,77,0
62,68,74,71,70,53,63,54,71,54,57,62,64,67,72,77,0
69,67,73,75,76,61,66,67,72,57,62,58,66,76,70,72,0
59,74,69,64,65,71,72,70,78,67,64,62,57,57,64,71,0
66,70,72,68,68,67,71,65,78,68,71,58,70,72,77,79,0
62,76,71,63,68,68,71,58,66,63,60,67,63,63,70,72,0
71,65,73,69,79,62,74,58,78,69,68,59,73,71,78,74,0
63,71,70,70,75,72,76,68,76,58,68,65,58,57,72,72,0
74,69,77,73,76,61,68,67,80,57,65,63,70,74,63,72,0
69,70,71,64,62,62,63,63,76,51,62,70,59,58,69,66,0
70,68,69,69,65,67,74,65,75,64,64,66,57,48,75,64,0
65,72,74,71,73,62,65,72,78,62,61,65,64,67,67,77,0
64,63,70,64,64,59,65,63,73,60,58,64,63,65,75,80,0
70,66,70,74,72,66,73,75,81,74,82,60,64,64,73,72,0
72,70,73,72,70,65,69,73,77,64,66,63,74,77,81,78,0
70,71,78,73,76,61,67,74,77,62,58,64,68,70,70,71,0
59,68,70,77,61,71,67,62,75,75,70,56,56,53,71,68,0
67,77,70,74,75,70,66,67,75,62,61,64,65,60,68,75,0
68,74,74,71,69,64,68,70,77,42,69,63,71,73,73,75,0
66,69,72,68,66,68,70,66,72,60,57,65,65,64,67,69,0
