"Iteration #"	"Inertia"	"Number of features"	"Global best fitness"	"Current best fitness"	"Number of features in current best agent"	"Number of features in global best"	"Number of features in local best"
1	-0.810638779890724	44	7.57534941245525	7.57534941245525	19	40	40
2	-0.587756844703108	44	21.8716761348505	21.8716761348505	26	13	13
3	-0.578015445149504	44	21.8716761348505	20.5651247139313	21	13	18
4	-0.549522306653671	44	29.4365324772191	29.4365324772191	29	14	14
5	-0.906401406042278	44	29.4365324772191	26.354733449277	26	14	17
6	-0.981015754630789	44	29.4365324772191	21.3451399071735	26	14	17
7	-0.597845559474081	44	29.4365324772191	25.4145593408751	17	14	24
8	-0.979082711506635	44	29.4365324772191	25.416816531156	26	14	14
9	-0.840008612140082	44	29.4365324772191	27.1390218482699	15	14	23
10	-0.746553690521978	44	29.4365324772191	24.5182711489171	21	14	22
11	-0.641425271285698	44	29.4365324772191	24.010618287943	19	14	20
12	-0.938774552661926	44	29.4365324772191	24.8626121043691	29	14	18
13	-0.806204750551842	44	29.4365324772191	21.6993503428246	17	14	24
14	-0.530424250639044	44	29.4365324772191	27.6747952049243	29	14	19
15	-0.931100156391039	44	29.4365324772191	-1e+21	25	14	18
16	-0.819916646927595	44	29.4365324772191	21.5960849812209	19	14	25
17	-0.519354148069397	44	29.4365324772191	21.6187502742335	27	14	21
18	-0.659952291287482	44	29.4365324772191	20.5191583983687	27	14	20
19	-0.796518257586285	44	29.4365324772191	24.8584123678698	21	14	23
20	-0.563822927535512	44	29.4365324772191	20.1995111219056	16	14	26
21	-0.895623151911423	44	29.4365324772191	29.2551561895025	23	14	20
22	-0.64879454660695	44	29.4365324772191	22.8662150079439	23	14	14
23	-0.925112448632717	44	29.4365324772191	19.5416452082887	26	14	20
24	-0.848493617377244	44	29.4365324772191	24.641003725062	25	14	19
25	-0.955062015447766	44	29.4365324772191	22.3673260251187	26	14	20
26	-0.867358910385519	44	29.4365324772191	-1e+21	25	14	15
27	-0.700553907547146	44	29.4365324772191	22.2504830319297	20	14	27
28	-0.847946105059236	44	29.4365324772191	23.5497527806033	21	14	24
29	-0.50014371087309	44	29.4365324772191	23.2285957796259	21	14	25
30	-0.51512385008391	44	30.1401567927421	30.1401567927421	21	26	26
31	-0.786749991122633	44	30.1401567927421	29.5506157057072	22	26	22
32	-0.670317267999053	44	30.1401567927421	22.1315073300565	27	26	21
33	-0.591264711343683	44	30.1401567927421	26.7012690798403	23	26	21
34	-0.615357329486869	44	32.3491145400486	32.3491145400486	32	21	21
35	-0.81352040974889	44	32.9083754874152	32.9083754874152	21	21	21
36	-0.692494045710191	44	32.9083754874152	22.1994803484459	27	21	21
37	-0.63302582281176	44	32.9083754874152	30.5555207277128	20	21	21
38	-0.796052398043685	44	33.0762862459797	33.0762862459797	25	18	18
39	-0.831918201991357	44	33.0762862459797	30.5555207277128	22	18	21
40	-0.513300823746249	44	33.0762862459797	27.5715227546972	27	18	16
41	-0.868248648243025	44	33.0762862459797	30.5555207277128	21	18	21
42	-0.606550213880837	44	33.0762862459797	25.8037598385684	15	18	26
43	-0.885020053363405	44	33.0762862459797	30.5555207277128	22	18	21
44	-0.572365521686152	44	33.0762862459797	26.3888627588815	22	18	18
45	-0.819236842682585	44	33.0762862459797	30.5555207277128	21	18	21
46	-0.72873673052527	44	33.0762862459797	24.3479635300439	20	18	21
47	-0.755180198233575	44	33.0762862459797	27.8103114092379	22	18	21
48	-0.699120913282968	44	33.0762862459797	27.0148062206735	22	18	18
49	-0.696639321860857	44	33.0762862459797	-1e+21	25	18	15
50	-0.536074192845263	44	33.0762862459797	25.1576069321499	16	18	29
51	-0.885137783945538	44	33.0762862459797	22.5138498826341	22	18	22
