"V2","V4","V5","V7","V9","V11","V23","V25","V26","V27","V29","V30","V31","V33","V34","V40","V41"
59,70,67,66,61,52,66,74,63,64,54,67,54,74,65,72,62
72,69,67,82,65,63,78,79,74,69,70,71,69,70,62,69,73
71,70,64,64,65,69,74,47,53,37,68,72,59,68,60,64,55
69,70,78,63,65,59,66,74,64,60,54,70,73,76,62,72,73
70,61,66,58,69,68,77,70,41,37,40,58,46,73,65,70,64
57,68,75,74,71,61,70,71,65,63,55,61,68,74,63,79,77
69,62,75,71,76,70,67,69,65,57,65,68,65,73,63,69,68
61,60,62,72,67,68,62,60,66,65,59,64,59,65,55,60,58
65,67,68,67,71,56,76,78,53,47,36,68,65,73,60,77,79
74,72,79,61,66,64,70,57,52,36,49,55,65,73,58,62,67
70,60,62,60,77,69,74,60,54,44,69,68,68,73,61,64,76
67,65,77,70,72,67,70,73,70,70,51,70,68,77,75,65,61
76,78,73,67,70,70,78,76,66,76,67,67,57,75,50,75,65
70,67,66,60,77,67,65,67,59,52,50,67,61,72,67,74,68
78,68,74,69,74,67,71,62,64,66,67,66,62,75,61,71,62
67,73,65,56,63,56,69,59,64,55,60,70,60,65,58,74,60
70,66,66,46,58,52,57,54,58,30,41,59,59,73,62,65,44
63,69,72,62,57,53,67,68,57,55,53,66,60,77,73,77,67
62,66,57,75,59,59,74,63,62,72,66,66,61,68,59,76,67
80,82,77,74,77,61,75,75,59,64,69,66,66,77,62,74,71
63,66,55,58,74,48,74,72,77,75,71,71,67,73,60,70,69
70,65,62,67,74,61,78,70,67,65,70,49,48,71,65,73,72
61,58,62,60,75,57,84,71,69,69,71,49,43,64,56,69,70
70,52,58,89,72,30,52,72,23,46,31,17,20,72,61,31,30
75,54,51,50,69,55,59,73,54,60,66,54,41,52,58,64,54
77,62,68,58,68,71,76,68,56,53,54,69,70,79,65,71,67
75,75,79,68,77,66,68,65,58,54,60,67,66,78,63,73,61
78,71,72,71,74,64,80,66,59,44,63,62,59,74,59,62,67
69,75,74,72,72,57,67,78,64,68,62,64,63,77,66,64,59
72,75,67,59,63,67,75,67,68,71,68,48,47,79,63,56,52
64,70,75,71,71,60,60,66,69,71,63,67,65,58,52,64,65
72,68,62,63,61,49,78,55,35,37,57,41,35,70,75,53,43
79,66,63,62,70,71,71,48,23,26,59,66,66,74,56,70,74
66,75,72,67,81,73,78,50,37,38,73,61,61,73,61,46,58
65,71,72,75,83,74,80,68,57,59,56,62,68,73,65,63,65
71,76,74,68,68,75,78,72,69,72,61,59,70,75,61,64,60
70,66,68,69,61,67,82,71,52,47,64,66,67,75,58,70,71
73,68,74,59,76,48,79,53,19,14,50,67,71,54,49,57,72
68,79,78,73,78,71,74,72,36,44,54,49,56,81,65,58,64
68,65,68,64,73,72,73,69,48,59,44,66,59,74,64,74,67
62,64,70,58,74,66,77,73,59,58,67,65,69,76,61,71,71
62,68,70,70,77,70,73,74,63,67,68,66,69,79,69,73,77
59,69,67,59,73,65,73,79,69,65,66,68,65,71,59,81,75
75,70,77,75,75,66,75,68,69,68,69,71,74,76,63,70,73
77,79,77,76,81,68,67,69,68,64,61,69,68,75,70,73,76
68,74,80,72,75,64,82,68,63,60,60,54,56,73,59,73,70
76,74,76,69,76,69,81,68,75,69,70,58,65,76,74,78,68
61,71,68,69,69,75,79,65,62,66,65,71,68,71,59,74,71
67,77,74,66,70,64,76,81,66,65,63,63,67,80,63,76,75
71,74,74,74,56,78,78,68,63,60,67,76,74,79,67,83,76
64,71,69,70,78,66,78,81,74,70,79,73,75,73,65,71,74
76,68,78,72,75,65,72,73,56,56,52,67,68,78,65,77,75
74,72,75,62,67,74,80,73,60,62,67,69,69,75,66,66,69
65,69,76,68,66,64,74,69,66,59,59,69,69,79,65,69,74
59,70,76,70,74,67,73,68,67,64,68,70,75,77,59,65,72
76,73,69,73,72,65,76,75,65,64,60,74,71,79,61,73,76
71,78,78,67,72,68,80,75,67,72,67,67,65,78,61,77,67
80,75,75,68,75,77,77,67,61,58,67,61,63,75,66,69,67
68,66,72,71,82,63,78,77,69,69,74,64,63,70,58,77,77
67,73,78,68,73,59,68,75,62,66,78,68,69,76,65,69,72
72,67,69,70,81,70,79,68,56,58,64,68,68,74,62,74,77
62,78,84,68,74,57,71,74,54,57,57,62,64,72,62,72,77
69,74,76,67,73,75,72,62,56,61,62,67,73,74,58,70,72
59,53,60,74,69,67,78,71,71,71,64,67,71,74,62,64,71
66,63,70,70,72,62,78,70,65,64,71,70,71,74,58,77,79
62,66,68,76,71,62,66,76,64,70,60,70,72,77,67,70,72
71,69,71,65,73,66,78,74,68,66,68,68,68,74,59,78,74
63,75,72,71,70,56,76,76,66,73,68,72,75,75,65,72,72
74,80,78,69,77,71,80,74,57,62,65,61,65,76,63,63,72
69,73,72,70,71,56,76,80,75,77,62,74,68,77,70,69,66
70,68,67,68,69,64,75,69,63,63,64,56,61,68,66,75,64
65,70,78,72,74,69,78,76,66,67,61,68,76,78,65,67,77
64,74,70,63,70,57,73,76,75,68,58,69,66,76,64,75,80
70,71,74,66,70,69,81,75,71,70,82,69,72,74,60,73,72
72,75,80,70,73,56,77,79,67,64,66,69,68,75,63,81,78
70,72,72,71,78,67,77,72,61,61,58,63,69,75,64,70,71
59,67,71,68,70,62,75,72,76,79,70,71,77,69,56,71,68
67,73,75,77,70,62,75,64,66,71,61,64,69,76,64,68,75
68,72,72,74,74,66,77,60,49,48,69,70,69,79,63,73,75
66,69,66,69,72,62,72,73,67,63,57,70,68,75,65,67,69
