"V2","V7","V9","V11","V25","V27","V29","V34","V41","Class"
67,63,60,62,79,70,67,63,77,"1"
75,58,64,68,72,60,66,64,66,"1"
83,74,72,68,69,57,53,69,54,"1"
72,61,78,69,65,60,69,61,72,"1"
62,63,68,65,75,67,69,54,73,"1"
68,72,72,71,67,59,65,63,71,"1"
80,68,76,66,66,62,66,67,45,"1"
68,57,78,53,49,44,74,52,74,"1"
77,66,55,67,71,44,25,57,16,"1"
69,67,73,65,69,38,59,65,73,"1"
65,63,70,51,48,43,62,71,59,"1"
65,61,65,62,50,36,51,56,43,"1"
71,67,77,68,77,59,61,67,60,"1"
64,54,78,68,32,43,78,31,56,"1"
62,31,66,54,47,34,78,60,71,"1"
57,57,44,24,71,44,74,65,12,"1"
67,62,74,68,70,63,67,64,66,"1"
62,71,76,52,55,65,70,61,68,"1"
67,67,78,61,50,33,50,38,48,"1"
65,79,71,50,62,70,55,59,52,"1"
71,69,73,63,60,39,72,56,63,"1"
73,52,46,59,58,14,41,77,47,"1"
77,59,68,54,63,38,49,62,43,"1"
66,61,65,58,72,45,64,58,74,"1"
69,61,67,71,72,39,50,59,67,"1"
74,57,68,62,66,57,62,71,50,"1"
66,64,66,69,63,50,43,67,69,"1"
79,65,71,54,67,57,51,66,67,"1"
61,66,67,62,80,76,73,53,73,"1"
63,70,72,67,66,59,58,63,70,"1"
73,75,77,60,80,69,59,68,66,"1"
66,71,71,67,69,65,65,59,75,"1"
55,25,27,64,58,37,54,66,35,"1"
70,54,67,70,61,49,52,62,70,"1"
71,63,71,64,65,63,67,60,75,"1"
57,76,62,67,71,65,63,73,71,"1"
72,69,73,71,67,60,59,57,64,"1"
60,48,60,48,42,23,60,64,55,"1"
33,52,50,29,67,47,57,52,13,"1"
58,41,54,77,58,59,70,52,39,"1"
58,57,53,58,56,63,77,54,6,"1"
77,66,75,72,64,55,68,65,73,"1"
65,57,74,69,70,39,75,53,63,"1"
77,34,63,26,47,6,23,63,57,"1"
64,52,66,63,67,42,51,76,51,"1"
57,67,70,64,63,50,53,72,70,"1"
58,60,59,39,57,56,61,59,74,"1"
61,55,63,67,62,35,65,59,61,"1"
67,69,81,68,69,63,63,61,63,"1"
69,64,66,75,74,48,66,60,70,"1"
77,70,79,57,77,66,62,62,76,"1"
46,48,45,47,60,52,45,63,35,"1"
67,63,72,71,67,38,69,54,67,"1"
73,62,70,76,69,44,65,57,62,"1"
68,62,80,64,74,73,71,64,69,"1"
57,69,81,72,72,38,48,62,81,"1"
47,52,52,46,70,19,46,43,57,"1"
64,61,70,72,77,28,52,59,73,"1"
58,68,79,63,72,60,65,59,73,"1"
73,60,76,70,58,51,57,72,64,"1"
67,65,70,68,49,35,67,62,66,"1"
78,71,75,67,43,61,73,28,74,"1"
70,68,73,71,72,55,71,56,77,"1"
65,68,72,65,72,43,68,57,58,"1"
66,67,71,63,72,59,69,62,75,"1"
59,45,25,41,77,31,17,61,47,"1"
72,67,78,70,67,51,56,61,64,"1"
65,59,66,55,67,68,68,56,47,"1"
63,66,66,53,71,65,59,66,62,"1"
54,54,74,58,40,19,77,44,62,"1"
67,65,75,61,76,50,66,54,59,"1"
60,60,79,75,56,42,59,59,69,"1"
62,70,69,70,74,61,67,61,70,"1"
54,44,54,22,60,38,36,72,28,"1"
65,59,75,63,82,57,67,60,77,"1"
59,64,67,68,65,54,58,67,65,"1"
71,53,64,68,53,38,72,60,59,"1"
72,60,71,69,58,57,70,63,63,"1"
68,72,69,69,80,63,62,55,64,"1"
58,58,70,57,66,29,56,61,62,"1"
60,63,70,65,46,35,79,59,61,"1"
51,56,75,63,69,55,59,63,67,"1"
57,44,56,66,62,41,45,68,52,"1"
68,63,74,70,71,56,63,59,64,"1"
57,41,45,39,66,65,61,55,40,"1"
49,26,32,57,35,20,38,59,12,"1"
75,58,77,74,66,61,58,58,57,"1"
71,41,60,58,61,14,41,44,58,"1"
73,63,72,54,68,57,62,61,67,"1"
67,60,75,52,64,62,78,59,61,"1"
68,71,74,61,79,58,57,58,65,"1"
62,28,23,54,75,16,44,62,44,"1"
75,61,71,58,80,55,70,61,68,"1"
79,65,75,66,53,56,69,65,63,"1"
68,69,75,59,69,78,83,54,76,"1"
68,72,75,70,64,47,54,65,58,"1"
70,67,80,65,76,52,63,60,68,"1"
73,71,75,58,76,63,62,57,49,"1"
71,61,71,69,70,59,67,64,51,"1"
73,59,66,66,62,63,70,56,62,"1"
63,61,63,63,73,54,68,64,78,"1"
75,69,72,66,71,68,78,60,71,"1"
64,59,79,59,73,44,53,55,77,"1"
74,64,76,68,61,45,54,61,60,"1"
69,78,69,62,63,64,64,69,47,"1"
75,64,73,71,70,60,61,62,66,"1"
69,71,78,62,75,67,55,62,75,"1"
70,76,72,57,60,57,60,59,77,"1"
61,64,73,65,76,64,73,53,80,"1"
70,69,71,59,79,75,64,63,75,"1"
76,72,75,75,72,63,68,58,71,"1"
75,58,71,61,66,51,53,57,59,"1"
56,61,76,61,67,57,68,55,71,"1"
63,64,69,70,66,62,67,58,64,"1"
65,72,72,55,79,76,61,63,68,"1"
68,67,74,70,68,66,56,63,75,"1"
65,72,69,59,79,77,74,61,67,"1"
52,76,77,66,70,75,79,63,68,"1"
65,62,69,74,65,59,68,64,68,"1"
61,68,71,42,79,75,69,52,76,"1"
67,69,70,63,74,71,64,63,69,"1"
64,63,76,55,67,60,60,62,77,"1"
66,63,77,68,63,56,65,64,70,"1"
61,70,74,63,68,62,67,63,70,"1"
67,57,62,63,72,55,57,64,73,"1"
71,72,65,65,73,75,58,66,58,"1"
68,64,67,62,64,64,67,61,57,"1"
74,71,77,73,73,62,69,60,75,"1"
67,72,76,71,75,71,69,57,76,"1"
70,72,76,59,63,63,57,66,62,"1"
58,44,49,62,59,57,67,68,52,"1"
65,60,68,70,70,61,69,60,66,"1"
57,69,71,60,73,73,62,65,68,"1"
42,67,54,56,44,47,68,47,54,"1"
73,67,77,66,66,59,58,66,61,"1"
61,60,75,67,65,51,67,62,59,"1"
