"V2","V7","V9","V11","V25","V27","V29","V34","V41","Class"
59,66,61,52,74,64,54,65,62,"1"
72,82,65,63,79,69,70,62,73,"1"
71,64,65,69,47,37,68,60,55,"1"
69,63,65,59,74,60,54,62,73,"1"
70,58,69,68,70,37,40,65,64,"1"
57,74,71,61,71,63,55,63,77,"1"
69,71,76,70,69,57,65,63,68,"1"
61,72,67,68,60,65,59,55,58,"1"
65,67,71,56,78,47,36,60,79,"1"
74,61,66,64,57,36,49,58,67,"1"
70,60,77,69,60,44,69,61,76,"1"
67,70,72,67,73,70,51,75,61,"1"
76,67,70,70,76,76,67,50,65,"1"
70,60,77,67,67,52,50,67,68,"1"
78,69,74,67,62,66,67,61,62,"1"
67,56,63,56,59,55,60,58,60,"1"
70,46,58,52,54,30,41,62,44,"1"
63,62,57,53,68,55,53,73,67,"1"
62,75,59,59,63,72,66,59,67,"1"
80,74,77,61,75,64,69,62,71,"1"
63,58,74,48,72,75,71,60,69,"1"
70,67,74,61,70,65,70,65,72,"1"
61,60,75,57,71,69,71,56,70,"1"
70,89,72,30,72,46,31,61,30,"1"
75,50,69,55,73,60,66,58,54,"1"
77,58,68,71,68,53,54,65,67,"1"
75,68,77,66,65,54,60,63,61,"1"
78,71,74,64,66,44,63,59,67,"1"
69,72,72,57,78,68,62,66,59,"1"
72,59,63,67,67,71,68,63,52,"1"
64,71,71,60,66,71,63,52,65,"1"
72,63,61,49,55,37,57,75,43,"1"
79,62,70,71,48,26,59,56,74,"1"
66,67,81,73,50,38,73,61,58,"1"
65,75,83,74,68,59,56,65,65,"1"
71,68,68,75,72,72,61,61,60,"1"
70,69,61,67,71,47,64,58,71,"1"
73,59,76,48,53,14,50,49,72,"1"
68,73,78,71,72,44,54,65,64,"1"
68,64,73,72,69,59,44,64,67,"1"
62,58,74,66,73,58,67,61,71,"0"
62,70,77,70,74,67,68,69,77,"0"
59,59,73,65,79,65,66,59,75,"0"
75,75,75,66,68,68,69,63,73,"0"
77,76,81,68,69,64,61,70,76,"0"
68,72,75,64,68,60,60,59,70,"0"
76,69,76,69,68,69,70,74,68,"0"
61,69,69,75,65,66,65,59,71,"0"
67,66,70,64,81,65,63,63,75,"0"
71,74,56,78,68,60,67,67,76,"0"
64,70,78,66,81,70,79,65,74,"0"
76,72,75,65,73,56,52,65,75,"0"
74,62,67,74,73,62,67,66,69,"0"
65,68,66,64,69,59,59,65,74,"0"
59,70,74,67,68,64,68,59,72,"0"
76,73,72,65,75,64,60,61,76,"0"
71,67,72,68,75,72,67,61,67,"0"
80,68,75,77,67,58,67,66,67,"0"
68,71,82,63,77,69,74,58,77,"0"
67,68,73,59,75,66,78,65,72,"0"
72,70,81,70,68,58,64,62,77,"0"
62,68,74,57,74,57,57,62,77,"0"
69,67,73,75,62,61,62,58,72,"0"
59,74,69,67,71,71,64,62,71,"0"
66,70,72,62,70,64,71,58,79,"0"
62,76,71,62,76,70,60,67,72,"0"
71,65,73,66,74,66,68,59,74,"0"
63,71,70,56,76,73,68,65,72,"0"
74,69,77,71,74,62,65,63,72,"0"
69,70,71,56,80,77,62,70,66,"0"
70,68,69,64,69,63,64,66,64,"0"
65,72,74,69,76,67,61,65,77,"0"
64,63,70,57,76,68,58,64,80,"0"
70,66,70,69,75,70,82,60,72,"0"
72,70,73,56,79,64,66,63,78,"0"
70,71,78,67,72,61,58,64,71,"0"
59,68,70,62,72,79,70,56,68,"0"
67,77,70,62,64,71,61,64,75,"0"
68,74,74,66,60,48,69,63,75,"0"
66,69,72,62,73,63,57,65,69,"0"
