"V7","V15","V31","V41","Class"
63,73,67,77,"1"
58,71,64,66,"1"
74,73,60,54,"1"
61,65,69,72,"1"
63,65,71,73,"1"
72,67,70,71,"1"
68,71,40,45,"1"
57,50,66,74,"1"
66,71,18,16,"1"
67,68,67,73,"1"
63,49,70,59,"1"
61,70,43,43,"1"
67,74,46,60,"1"
54,28,49,56,"1"
31,50,68,71,"1"
57,69,19,12,"1"
62,75,66,66,"1"
71,65,66,68,"1"
67,50,50,48,"1"
79,64,52,52,"1"
69,74,64,63,"1"
52,75,41,47,"1"
59,66,42,43,"1"
61,67,60,74,"1"
61,77,63,67,"1"
57,70,38,50,"1"
64,65,49,69,"1"
65,69,68,67,"1"
66,70,73,73,"1"
70,71,65,70,"1"
75,77,68,66,"1"
71,72,66,75,"1"
25,70,15,35,"1"
54,59,72,70,"1"
63,59,70,75,"1"
76,70,63,71,"1"
69,71,66,64,"1"
48,43,41,55,"1"
52,71,26,13,"1"
41,65,40,39,"1"
57,50,7,6,"1"
66,65,74,73,"1"
57,71,64,63,"1"
34,46,48,57,"1"
52,64,48,51,"1"
67,73,60,70,"1"
60,75,62,74,"1"
55,67,56,61,"1"
69,77,66,63,"1"
64,76,68,70,"1"
70,66,69,76,"1"
48,63,36,35,"1"
63,77,65,67,"1"
62,77,69,62,"1"
62,64,69,69,"1"
69,71,68,81,"1"
52,59,43,57,"1"
61,77,68,73,"1"
68,66,70,73,"1"
60,67,68,64,"1"
65,65,64,66,"1"
71,47,64,74,"1"
68,69,70,77,"1"
68,65,67,58,"1"
67,74,73,75,"1"
45,77,43,47,"1"
67,67,63,64,"1"
59,72,40,47,"1"
66,74,62,62,"1"
54,50,56,62,"1"
65,61,47,59,"1"
60,66,66,69,"1"
70,58,72,70,"1"
44,63,22,28,"1"
59,74,69,77,"1"
64,64,64,65,"1"
53,68,68,59,"1"
60,56,59,63,"1"
72,76,63,64,"1"
58,59,63,62,"1"
63,68,64,61,"1"
56,65,48,67,"1"
44,68,61,52,"1"
63,74,65,64,"1"
41,67,25,40,"1"
26,31,25,12,"1"
58,65,40,57,"1"
41,61,36,58,"1"
63,66,60,67,"1"
60,52,59,61,"1"
71,69,53,65,"1"
28,70,19,44,"1"
61,68,67,68,"1"
65,59,66,63,"1"
69,66,70,76,"1"
72,66,64,58,"1"
67,72,61,68,"1"
71,62,57,49,"1"
61,66,66,51,"1"
59,59,60,62,"1"
61,63,64,78,"1"
69,73,67,71,"1"
59,61,61,77,"1"
64,69,65,60,"1"
78,66,63,47,"1"
64,69,65,66,"1"
71,78,72,75,"1"
76,65,61,77,"1"
64,72,70,80,"1"
69,71,75,75,"1"
72,65,65,71,"1"
58,64,63,59,"1"
61,70,68,71,"1"
64,64,68,64,"1"
72,75,68,68,"1"
67,70,68,75,"1"
72,69,72,67,"1"
76,70,78,68,"1"
62,64,74,68,"1"
68,75,69,76,"1"
69,76,70,69,"1"
63,69,63,77,"1"
63,67,70,70,"1"
70,66,67,70,"1"
57,66,66,73,"1"
72,72,58,58,"1"
64,62,66,57,"1"
71,75,75,75,"1"
72,76,66,76,"1"
72,58,52,62,"1"
44,59,42,52,"1"
60,71,72,66,"1"
69,69,70,68,"1"
67,58,45,54,"1"
67,69,66,61,"1"
60,64,64,59,"1"
64,64,25,39,"1"
44,66,38,46,"1"
64,70,67,61,"1"
36,51,44,59,"1"
66,62,52,58,"1"
49,72,15,22,"1"
58,74,65,66,"1"
56,67,62,69,"1"
59,61,36,48,"1"
71,69,69,76,"1"
66,59,40,48,"1"
71,66,40,43,"1"
43,63,67,74,"1"
63,74,63,69,"1"
74,64,67,66,"1"
71,67,63,70,"1"
56,62,70,66,"1"
63,62,63,71,"1"
60,68,65,65,"1"
66,73,67,72,"1"
70,71,67,67,"1"
53,70,30,31,"1"
34,31,32,39,"1"
45,50,48,53,"1"
65,64,53,65,"1"
67,62,67,69,"1"
69,70,63,65,"1"
77,69,67,66,"1"
69,55,73,66,"1"
69,74,68,73,"1"
70,71,71,71,"1"
56,68,35,49,"1"
65,75,61,61,"1"
64,74,64,59,"1"
61,66,64,65,"1"
67,61,66,66,"1"
69,71,68,65,"0"
72,61,60,75,"0"
70,74,66,62,"0"
66,65,61,72,"0"
70,75,39,73,"0"
79,73,68,66,"0"
73,71,58,64,"0"
76,65,74,73,"0"
69,68,70,76,"0"
73,75,75,71,"0"
74,73,69,68,"0"
59,72,64,68,"0"
67,74,68,75,"0"
66,74,65,78,"0"
64,74,67,72,"0"
