"V27","V29","V30","V41","Class"
64,54,67,62,"1"
69,70,71,73,"1"
37,68,72,55,"1"
60,54,70,73,"1"
37,40,58,64,"1"
63,55,61,77,"1"
57,65,68,68,"1"
65,59,64,58,"1"
47,36,68,79,"1"
36,49,55,67,"1"
44,69,68,76,"1"
70,51,70,61,"1"
76,67,67,65,"1"
52,50,67,68,"1"
66,67,66,62,"1"
55,60,70,60,"1"
30,41,59,44,"1"
55,53,66,67,"1"
72,66,66,67,"1"
64,69,66,71,"1"
75,71,71,69,"1"
65,70,49,72,"1"
69,71,49,70,"1"
46,31,17,30,"1"
60,66,54,54,"1"
53,54,69,67,"1"
54,60,67,61,"1"
44,63,62,67,"1"
68,62,64,59,"1"
71,68,48,52,"1"
71,63,67,65,"1"
37,57,41,43,"1"
26,59,66,74,"1"
38,73,61,58,"1"
59,56,62,65,"1"
72,61,59,60,"1"
47,64,66,71,"1"
14,50,67,72,"1"
44,54,49,64,"1"
59,44,66,67,"1"
58,67,65,71,"0"
67,68,66,77,"0"
65,66,68,75,"0"
68,69,71,73,"0"
64,61,69,76,"0"
60,60,54,70,"0"
69,70,58,68,"0"
66,65,71,71,"0"
65,63,63,75,"0"
60,67,76,76,"0"
70,79,73,74,"0"
56,52,67,75,"0"
62,67,69,69,"0"
59,59,69,74,"0"
64,68,70,72,"0"
64,60,74,76,"0"
72,67,67,67,"0"
58,67,61,67,"0"
69,74,64,77,"0"
66,78,68,72,"0"
58,64,68,77,"0"
57,57,62,77,"0"
61,62,67,72,"0"
71,64,67,71,"0"
64,71,70,79,"0"
70,60,70,72,"0"
66,68,68,74,"0"
73,68,72,72,"0"
62,65,61,72,"0"
77,62,74,66,"0"
63,64,56,64,"0"
67,61,68,77,"0"
68,58,69,80,"0"
70,82,69,72,"0"
64,66,69,78,"0"
61,58,63,71,"0"
79,70,71,68,"0"
71,61,64,75,"0"
48,69,70,75,"0"
63,57,70,69,"0"
