"V4","V31","V41","Class"
73,67,77,"1"
71,64,66,"1"
66,60,54,"1"
65,69,72,"1"
69,71,73,"1"
67,70,71,"1"
77,40,45,"1"
62,66,74,"1"
71,18,16,"1"
73,67,73,"1"
70,70,59,"1"
73,43,43,"1"
65,46,60,"1"
52,49,56,"1"
65,68,71,"1"
62,19,12,"1"
61,66,66,"1"
73,66,68,"1"
54,50,48,"1"
67,52,52,"1"
75,64,63,"1"
76,41,47,"1"
77,42,43,"1"
72,60,74,"1"
67,63,67,"1"
69,38,50,"1"
78,49,69,"1"
73,68,67,"1"
64,73,73,"1"
70,65,70,"1"
74,68,66,"1"
67,66,75,"1"
71,15,35,"1"
68,72,70,"1"
77,70,75,"1"
74,63,71,"1"
70,66,64,"1"
74,41,55,"1"
38,26,13,"1"
62,40,39,"1"
57,7,6,"1"
70,74,73,"1"
67,64,63,"1"
76,48,57,"1"
76,48,51,"1"
67,60,70,"1"
74,62,74,"1"
64,56,61,"1"
73,66,63,"1"
75,68,70,"1"
68,69,76,"1"
65,36,35,"1"
73,65,67,"1"
69,69,62,"1"
67,69,69,"1"
65,68,81,"1"
48,43,57,"1"
74,68,73,"1"
63,70,73,"1"
71,68,64,"1"
67,64,66,"1"
69,64,74,"1"
69,70,77,"1"
71,67,58,"1"
75,73,75,"1"
51,43,47,"1"
65,63,64,"1"
74,40,47,"1"
76,62,62,"1"
58,56,62,"1"
59,47,59,"1"
67,66,69,"1"
54,72,70,"1"
57,22,28,"1"
68,69,77,"1"
77,64,65,"1"
71,68,59,"1"
74,59,63,"1"
63,63,64,"1"
78,63,62,"1"
61,64,61,"1"
66,48,67,"1"
56,61,52,"1"
70,65,64,"1"
71,25,40,"1"
59,25,12,"1"
64,40,57,"1"
66,36,58,"1"
68,60,67,"1"
63,59,61,"1"
78,53,65,"1"
68,19,44,"1"
69,67,68,"1"
78,66,63,"1"
64,70,76,"1"
76,64,58,"1"
66,61,68,"1"
82,57,49,"1"
77,66,51,"1"
77,60,62,"1"
72,64,78,"1"
74,67,71,"1"
55,61,77,"1"
80,65,60,"1"
67,63,47,"1"
65,65,66,"1"
72,72,75,"1"
72,61,77,"1"
70,70,80,"1"
75,75,75,"1"
75,65,71,"1"
73,63,59,"1"
58,68,71,"1"
64,68,64,"1"
71,68,68,"1"
70,68,75,"1"
69,72,67,"1"
74,78,68,"1"
64,74,68,"1"
66,69,76,"1"
60,70,69,"1"
65,63,77,"1"
69,70,70,"1"
71,67,70,"1"
73,66,73,"1"
71,58,58,"1"
62,66,57,"1"
72,75,75,"1"
70,66,76,"1"
62,52,62,"1"
69,42,52,"1"
72,72,66,"1"
64,70,68,"1"
72,45,54,"1"
69,66,61,"1"
70,64,59,"1"
54,25,39,"1"
70,38,46,"1"
62,67,61,"1"
63,44,59,"1"
66,52,58,"1"
70,15,22,"1"
79,65,66,"1"
68,62,69,"1"
69,36,48,"1"
70,69,76,"1"
46,40,48,"1"
64,40,43,"1"
72,67,74,"1"
73,63,69,"1"
64,67,66,"1"
64,63,70,"1"
72,70,66,"1"
58,63,71,"1"
65,65,65,"1"
75,67,72,"1"
76,67,67,"1"
76,30,31,"1"
60,32,39,"1"
75,48,53,"1"
71,53,65,"1"
66,67,69,"1"
74,63,65,"1"
58,67,66,"1"
69,73,66,"1"
65,68,73,"1"
70,71,71,"1"
82,35,49,"1"
73,61,61,"1"
77,64,59,"1"
62,64,65,"1"
61,66,66,"1"
70,68,65,"0"
64,60,75,"0"
69,66,62,"0"
70,61,72,"0"
80,39,73,"0"
62,68,66,"0"
78,58,64,"0"
63,74,73,"0"
65,70,76,"0"
69,75,71,"0"
75,69,68,"0"
64,64,68,"0"
72,68,75,"0"
72,65,78,"0"
68,67,72,"0"
