"V4","V31","V41","Class"
70,54,62,"1"
69,69,73,"1"
70,59,55,"1"
70,73,73,"1"
61,46,64,"1"
68,68,77,"1"
62,65,68,"1"
60,59,58,"1"
67,65,79,"1"
72,65,67,"1"
60,68,76,"1"
65,68,61,"1"
78,57,65,"1"
67,61,68,"1"
68,62,62,"1"
73,60,60,"1"
66,59,44,"1"
69,60,67,"1"
66,61,67,"1"
82,66,71,"1"
66,67,69,"1"
65,48,72,"1"
58,43,70,"1"
52,20,30,"1"
54,41,54,"1"
62,70,67,"1"
75,66,61,"1"
71,59,67,"1"
75,63,59,"1"
75,47,52,"1"
70,65,65,"1"
68,35,43,"1"
66,66,74,"1"
75,61,58,"1"
71,68,65,"1"
76,70,60,"1"
66,67,71,"1"
68,71,72,"1"
79,56,64,"1"
65,59,67,"1"
64,69,71,"0"
68,69,77,"0"
69,65,75,"0"
70,74,73,"0"
79,68,76,"0"
74,56,70,"0"
74,65,68,"0"
71,68,71,"0"
77,67,75,"0"
74,74,76,"0"
71,75,74,"0"
68,68,75,"0"
72,69,69,"0"
69,69,74,"0"
70,75,72,"0"
73,71,76,"0"
78,65,67,"0"
75,63,67,"0"
66,63,77,"0"
73,69,72,"0"
67,68,77,"0"
78,64,77,"0"
74,73,72,"0"
53,71,71,"0"
63,71,79,"0"
66,72,72,"0"
69,68,74,"0"
75,75,72,"0"
80,65,72,"0"
73,68,66,"0"
68,61,64,"0"
70,76,77,"0"
74,66,80,"0"
71,72,72,"0"
75,68,78,"0"
72,69,71,"0"
67,77,68,"0"
73,69,75,"0"
72,69,75,"0"
69,68,69,"0"
