"Iteration #"	"Inertia"	"Number of features"	"CV best"	"Permuted CV best"	"Global best fitness"	"Current best fitness"	"Number of features in current best agent"	"Number of features in global best"	"Number of features in local best"
1	1	20	82.4026740699436	44.606898618049	180.980439759473	180.980439759473	12	20	20
2	1	20	82.4026740699436	44.606898618049	180.980439759473	165.739193527849	7	20	20
3	1	20	82.4026740699436	44.606898618049	180.980439759473	133.974003747588	12	20	11
4	1	20	82.4026740699436	44.606898618049	180.980439759473	141.400009990514	12	20	10
5	1	20	82.4026740699436	44.606898618049	180.980439759473	159.471977954238	12	20	13
6	1	20	82.4026740699436	44.606898618049	180.980439759473	159.51781013797	12	20	11
7	1	20	82.4026740699436	44.606898618049	180.980439759473	141.467297449287	8	20	11
8	1	20	82.4026740699436	44.606898618049	180.980439759473	153.818437029661	17	20	20
9	1	20	82.4026740699436	44.606898618049	180.980439759473	156.651435395966	14	20	13
10	1	20	82.4026740699436	44.606898618049	180.980439759473	140.406542218156	14	20	13
11	1	20	82.4026740699436	44.606898618049	180.980439759473	151.088202532036	15	20	14
12	1	20	82.4026740699436	44.606898618049	180.980439759473	173.141989403	9	20	10
13	1	20	82.4026740699436	44.606898618049	180.980439759473	140.457339261874	7	20	9
14	1	20	82.4026740699436	44.606898618049	180.980439759473	147.20135372884	10	20	13
15	1	20	82.4026740699436	44.606898618049	180.980439759473	161.972081117483	13	20	9
16	1	20	82.4026740699436	44.606898618049	180.980439759473	137.661513866776	9	20	17
17	1	20	82.4026740699436	44.606898618049	180.980439759473	170.633697884391	10	20	13
18	1	20	82.4026740699436	44.606898618049	180.980439759473	168.37052018749	14	20	14
19	1	20	82.4026740699436	44.606898618049	180.980439759473	158.672020363488	9	20	13
20	1	20	82.4026740699436	44.606898618049	180.980439759473	166.993168855499	9	20	7
21	1	20	82.4026740699436	44.606898618049	180.980439759473	168.017282987344	12	20	9
22	1	20	82.4026740699436	44.606898618049	180.980439759473	144.633012695315	11	20	13
23	1	20	82.4026740699436	44.606898618049	180.980439759473	137.886610033089	13	20	13
24	1	20	82.4026740699436	44.606898618049	180.980439759473	158.34359614657	12	20	10
25	1	20	82.4026740699436	44.606898618049	180.980439759473	153.060864678469	11	20	14
26	1	20	82.4026740699436	44.606898618049	180.980439759473	150.451617580999	8	20	14
27	1	20	82.4026740699436	44.606898618049	180.980439759473	160.235413196365	10	20	8
28	1	20	82.4026740699436	44.606898618049	180.980439759473	152.628526450281	17	20	16
29	1	20	82.4026740699436	44.606898618049	180.980439759473	149.074505504559	16	20	15
30	1	20	82.4026740699436	44.606898618049	180.980439759473	143.951071900895	11	20	16
31	1	20	82.4026740699436	44.606898618049	180.980439759473	156.639895413861	11	20	12
32	1	20	82.4026740699436	44.606898618049	180.980439759473	174.36568873524	16	20	14
33	1	16	81.5628402867978	41.7195509968417	192.46027457478	192.46027457478	10	17	17
34	1	16	81.5628402867978	41.7195509968417	192.46027457478	171.5565243847	12	17	14
35	1	16	81.5628402867978	41.7195509968417	192.46027457478	168.227158237602	10	17	14
36	1	16	81.5628402867978	41.7195509968417	192.46027457478	170.051562622326	10	17	12
37	1	16	81.5628402867978	41.7195509968417	192.46027457478	168.365457085389	13	17	11
38	1	16	81.5628402867978	41.7195509968417	192.46027457478	153.748502893572	9	17	14
39	1	16	81.5628402867978	41.7195509968417	192.46027457478	174.442131742451	9	17	9
40	1	12	81.3902270216905	40.6248276077838	199.064497069534	199.064497069534	6	12	12
41	1	12	81.3902270216905	40.6248276077838	199.064497069534	154.952094314753	16	12	17
42	1	12	81.3902270216905	40.6248276077838	199.064497069534	158.34312995939	10	12	12
43	1	12	81.3902270216905	40.6248276077838	199.064497069534	160.796154650517	10	12	14
44	1	12	81.3902270216905	40.6248276077838	199.064497069534	144.648982380726	12	12	11
45	1	12	81.3902270216905	40.6248276077838	199.064497069534	153.164288738823	9	12	12
46	1	12	81.3902270216905	40.6248276077838	199.064497069534	169.783727523341	8	12	7
47	1	12	81.3902270216905	40.6248276077838	199.064497069534	144.376413267643	13	12	14
48	1	12	81.3902270216905	40.6248276077838	199.064497069534	141.808193403374	6	12	7
49	1	12	81.3902270216905	40.6248276077838	199.064497069534	178.257658234064	13	12	13
50	1	12	81.3902270216905	40.6248276077838	199.064497069534	152.755523534959	10	12	12
51	1	12	81.3902270216905	40.6248276077838	199.064497069534	134.421396987269	17	12	17
52	1	12	81.3902270216905	40.6248276077838	199.064497069534	154.34633377551	12	12	9
53	1	12	81.3902270216905	40.6248276077838	199.064497069534	164.675356077224	6	12	15
54	1	12	81.3902270216905	40.6248276077838	199.064497069534	179.732982460897	14	12	14
55	1	12	81.3902270216905	40.6248276077838	199.064497069534	191.244046256683	15	12	9
56	1	12	81.3902270216905	40.6248276077838	199.064497069534	140.218409070143	10	12	11
57	1	12	81.3902270216905	40.6248276077838	199.064497069534	183.847940796421	9	12	10
58	1	12	81.3902270216905	40.6248276077838	199.064497069534	144.459508899543	9	12	14
59	1	12	81.3902270216905	40.6248276077838	199.064497069534	166.053265646857	7	12	8
