"V4","V10","V31","V33","V41","Class"
73,63,67,75,77,"1"
71,71,64,70,66,"1"
66,64,60,74,54,"1"
65,73,69,72,72,"1"
69,70,71,61,73,"1"
67,70,70,69,71,"1"
77,69,40,71,45,"1"
62,59,66,63,74,"1"
71,67,18,79,16,"1"
73,67,67,78,73,"1"
70,44,70,73,59,"1"
73,62,43,70,43,"1"
65,66,46,75,60,"1"
52,61,49,39,56,"1"
65,53,68,68,71,"1"
62,44,19,77,12,"1"
61,68,66,77,66,"1"
73,62,66,66,68,"1"
54,71,50,41,48,"1"
67,59,52,60,52,"1"
75,65,64,71,63,"1"
76,70,41,66,47,"1"
77,57,42,73,43,"1"
72,59,60,74,74,"1"
67,62,63,70,67,"1"
69,70,38,66,50,"1"
78,66,49,74,69,"1"
73,64,68,75,67,"1"
64,60,73,63,73,"1"
70,71,65,75,70,"1"
74,61,68,79,66,"1"
67,60,66,76,75,"1"
71,69,15,73,35,"1"
68,68,72,65,70,"1"
77,66,70,77,75,"1"
74,66,63,74,71,"1"
70,71,66,75,64,"1"
74,56,41,70,55,"1"
38,26,26,74,13,"1"
62,65,40,74,39,"1"
57,68,7,52,6,"1"
70,73,74,75,73,"1"
67,64,64,66,63,"1"
76,65,48,55,57,"1"
76,68,48,73,51,"1"
67,74,60,74,70,"1"
74,33,62,76,74,"1"
64,67,56,73,61,"1"
73,67,66,73,63,"1"
75,61,68,71,70,"1"
68,60,69,75,76,"1"
65,54,36,71,35,"1"
73,59,65,72,67,"1"
69,70,69,71,62,"1"
67,64,69,73,69,"1"
65,67,68,77,81,"1"
48,58,43,57,57,"1"
74,63,68,73,73,"1"
63,61,70,68,73,"1"
71,75,68,77,64,"1"
67,71,64,66,66,"1"
69,67,64,37,74,"1"
69,63,70,69,77,"1"
71,68,67,66,58,"1"
75,72,73,74,75,"1"
51,45,43,73,47,"1"
65,72,63,77,64,"1"
74,67,40,74,47,"1"
76,61,62,77,62,"1"
58,61,56,68,62,"1"
59,63,47,51,59,"1"
67,74,66,73,69,"1"
54,68,72,72,70,"1"
57,12,22,54,28,"1"
68,65,69,75,77,"1"
77,54,64,74,65,"1"
71,69,68,71,59,"1"
74,72,59,60,63,"1"
63,73,63,75,64,"1"
78,63,63,72,62,"1"
61,59,64,75,61,"1"
66,65,48,66,67,"1"
56,68,61,51,52,"1"
70,73,65,75,64,"1"
71,63,25,72,40,"1"
59,69,25,51,12,"1"
64,73,40,63,57,"1"
66,57,36,65,58,"1"
68,60,60,66,67,"1"
63,65,59,49,61,"1"
78,65,53,75,65,"1"
68,54,19,72,44,"1"
69,61,67,77,68,"1"
78,69,66,71,63,"1"
64,63,70,63,76,"1"
76,73,64,76,58,"1"
66,70,61,71,68,"1"
82,61,57,77,49,"1"
77,74,66,70,51,"1"
77,65,60,65,62,"1"
72,61,64,77,78,"1"
74,67,67,68,71,"1"
55,66,61,64,77,"1"
80,70,65,78,60,"1"
67,60,63,72,47,"1"
65,73,65,71,66,"1"
72,64,72,75,75,"1"
72,62,61,76,77,"1"
70,64,70,72,80,"1"
75,68,75,74,75,"1"
75,68,65,76,71,"1"
73,65,63,76,59,"1"
58,44,68,75,71,"1"
64,68,68,75,64,"1"
71,54,68,75,68,"1"
70,69,68,75,75,"1"
69,68,72,67,67,"1"
74,67,78,71,68,"1"
64,71,74,78,68,"1"
66,40,69,69,76,"1"
60,66,70,70,69,"1"
65,59,63,66,77,"1"
69,68,70,74,70,"1"
71,66,67,75,70,"1"
73,63,66,74,73,"1"
71,69,58,69,58,"1"
62,71,66,67,57,"1"
72,70,75,76,75,"1"
70,68,66,63,76,"1"
62,55,52,64,62,"1"
69,57,42,68,52,"1"
72,65,72,74,66,"1"
64,61,70,77,68,"1"
72,56,45,62,54,"1"
69,72,66,71,61,"1"
70,64,64,78,59,"1"
54,29,25,67,39,"1"
70,53,38,67,46,"1"
62,62,67,73,61,"1"
63,50,44,64,59,"1"
66,55,52,74,58,"1"
70,36,15,72,22,"1"
79,60,65,77,66,"1"
68,65,62,76,69,"1"
69,68,36,73,48,"1"
70,66,69,72,76,"1"
46,56,40,64,48,"1"
64,39,40,75,43,"1"
72,57,67,74,74,"1"
73,69,63,75,69,"1"
64,63,67,72,66,"1"
64,64,63,62,70,"1"
72,67,70,72,66,"1"
58,58,63,54,71,"1"
65,70,65,69,65,"1"
75,71,67,73,72,"1"
76,61,67,74,67,"1"
76,16,30,9,31,"1"
60,53,32,32,39,"1"
75,55,48,59,53,"1"
71,68,53,63,65,"1"
66,66,67,72,69,"1"
74,64,63,75,65,"1"
58,63,67,84,66,"1"
69,50,73,65,66,"1"
65,65,68,72,73,"1"
70,61,71,74,71,"1"
82,67,35,60,49,"1"
73,60,61,71,61,"1"
77,64,64,77,59,"1"
62,68,64,71,65,"1"
61,64,66,71,66,"1"
70,69,68,75,65,"0"
64,65,60,65,75,"0"
69,71,66,80,62,"0"
70,66,61,72,72,"0"
80,64,39,70,73,"0"
62,73,68,71,66,"0"
78,70,58,77,64,"0"
63,62,74,75,73,"0"
65,65,70,70,76,"0"
69,57,75,77,71,"0"
75,65,69,75,68,"0"
64,76,64,73,68,"0"
72,67,68,74,75,"0"
72,63,65,72,78,"0"
68,63,67,75,72,"0"
