"V4","V10","V31","V33","V41","Class"
70,58,54,74,62,"1"
69,69,69,70,73,"1"
70,70,59,68,55,"1"
70,59,73,76,73,"1"
61,72,46,73,64,"1"
68,57,68,74,77,"1"
62,69,65,73,68,"1"
60,74,59,65,58,"1"
67,64,65,73,79,"1"
72,65,65,73,67,"1"
60,69,68,73,76,"1"
65,72,68,77,61,"1"
78,77,57,75,65,"1"
67,70,61,72,68,"1"
68,68,62,75,62,"1"
73,64,60,65,60,"1"
66,68,59,73,44,"1"
69,68,60,77,67,"1"
66,65,61,68,67,"1"
82,64,66,77,71,"1"
66,44,67,73,69,"1"
65,62,48,71,72,"1"
58,61,43,64,70,"1"
52,26,20,72,30,"1"
54,46,41,52,54,"1"
62,77,70,79,67,"1"
75,69,66,78,61,"1"
71,70,59,74,67,"1"
75,61,63,77,59,"1"
75,61,47,79,52,"1"
70,59,65,58,65,"1"
68,57,35,70,43,"1"
66,72,66,74,74,"1"
75,67,61,73,58,"1"
71,70,68,73,65,"1"
76,69,70,75,60,"1"
66,68,67,75,71,"1"
68,54,71,54,72,"1"
79,64,56,81,64,"1"
65,75,59,74,67,"1"
64,60,69,76,71,"0"
68,69,69,79,77,"0"
69,66,65,71,75,"0"
70,67,74,76,73,"0"
79,65,68,75,76,"0"
74,67,56,73,70,"0"
74,68,65,76,68,"0"
71,64,68,71,71,"0"
77,65,67,80,75,"0"
74,68,74,79,76,"0"
71,61,75,73,74,"0"
68,61,68,78,75,"0"
72,73,69,75,69,"0"
69,65,69,79,74,"0"
70,65,75,77,72,"0"
73,60,71,79,76,"0"
78,67,65,78,67,"0"
75,77,63,75,67,"0"
66,61,63,70,77,"0"
73,61,69,76,72,"0"
67,66,68,74,77,"0"
78,53,64,72,77,"0"
74,68,73,74,72,"0"
53,64,71,74,71,"0"
63,61,71,74,79,"0"
66,62,72,77,72,"0"
69,67,68,74,74,"0"
75,64,75,75,72,"0"
80,69,65,76,72,"0"
73,57,68,77,66,"0"
68,67,61,68,64,"0"
70,64,76,78,77,"0"
74,57,66,76,80,"0"
71,66,72,74,72,"0"
75,66,68,75,78,"0"
72,63,69,75,71,"0"
67,56,77,69,68,"0"
73,65,69,76,75,"0"
72,67,69,79,75,"0"
69,63,68,75,69,"0"
