"Iteration #"	"Inertia"	"Number of features"	"CV best"	"Permuted CV best"	"Global best fitness"	"Current best fitness"	"Number of features in current best agent"	"Number of features in global best"	"Number of features in local best"
1	1	20	82.0233002252285	44.5110499304997	179.564376473644	179.564376473644	12	20	20
2	1	20	82.0233002252285	44.5110499304997	179.564376473644	167.467882940094	11	20	9
3	1	20	82.0233002252285	44.5110499304997	179.564376473644	137.167811842925	11	20	20
4	1	20	82.0233002252285	44.5110499304997	179.564376473644	175.200305852208	8	20	11
5	1	8	84.3757419620114	46.5069864697238	184.553152461438	184.553152461438	8	12	12
6	1	8	84.3757419620114	46.5069864697238	184.553152461438	146.832483945207	15	12	12
7	1	8	84.3757419620114	46.5069864697238	184.553152461438	164.108968446688	9	12	12
8	1	8	84.3757419620114	46.5069864697238	184.553152461438	156.445060930073	10	12	10
9	1	8	84.3757419620114	46.5069864697238	184.553152461438	179.553227291781	10	12	10
10	1	8	84.3757419620114	46.5069864697238	184.553152461438	159.398852296577	9	12	8
11	1	8	84.3757419620114	46.5069864697238	184.553152461438	160.009723820576	13	12	20
12	1	8	84.3757419620114	46.5069864697238	184.553152461438	163.081792089461	11	12	12
13	1	8	84.3757419620114	46.5069864697238	184.553152461438	161.169805090298	12	12	11
14	1	8	84.3757419620114	46.5069864697238	184.553152461438	163.258253253558	11	12	20
15	1	8	84.3757419620114	46.5069864697238	184.553152461438	159.314542469495	12	12	13
16	1	8	84.3757419620114	46.5069864697238	184.553152461438	161.482913565422	12	12	20
17	1	8	84.3757419620114	46.5069864697238	184.553152461438	150.231752409526	16	12	14
18	1	8	84.3757419620114	46.5069864697238	184.553152461438	180.388716690205	12	12	16
19	1	12	83.9573399953968	45.8332118136756	185.856265908606	185.856265908606	11	12	12
20	1	12	83.9573399953968	45.8332118136756	185.856265908606	151.64830294205	9	12	12
21	1	12	83.9573399953968	45.8332118136756	185.856265908606	151.319582575808	8	12	12
22	1	12	83.9573399953968	45.8332118136756	185.856265908606	167.274789059533	10	12	12
23	1	12	83.9573399953968	45.8332118136756	185.856265908606	176.065397183534	10	12	12
24	1	12	83.9573399953968	45.8332118136756	185.856265908606	151.234516341955	11	12	12
25	1	12	83.9573399953968	45.8332118136756	185.856265908606	157.315562739788	11	12	13
26	1	12	83.9573399953968	45.8332118136756	185.856265908606	156.962577239504	11	12	20
27	1	12	83.9573399953968	45.8332118136756	185.856265908606	157.759690828735	14	12	16
28	1	12	83.9573399953968	45.8332118136756	185.856265908606	156.237950390153	10	12	12
29	1	10	81.7670568937403	40.3143692058474	207.263438439465	207.263438439465	10	10	10
30	1	10	81.7670568937403	40.3143692058474	207.263438439465	171.521646457659	8	10	14
31	1	10	81.7670568937403	40.3143692058474	207.263438439465	155.216461205333	12	10	12
32	1	10	81.7670568937403	40.3143692058474	207.263438439465	157.70453451479	13	10	16
33	1	10	81.7670568937403	40.3143692058474	207.263438439465	155.755768437586	9	10	14
34	1	10	81.7670568937403	40.3143692058474	207.263438439465	194.098667965266	13	10	13
