"V4","V5","V26","V30","V31","V33","V41","V44","Class"
70,67,63,67,54,74,62,64,"1"
69,67,74,71,69,70,73,56,"1"
70,64,53,72,59,68,55,51,"1"
70,78,64,70,73,76,73,59,"1"
61,66,41,58,46,73,64,49,"1"
68,75,65,61,68,74,77,61,"1"
62,75,65,68,65,73,68,63,"1"
60,62,66,64,59,65,58,49,"1"
67,68,53,68,65,73,79,59,"1"
72,79,52,55,65,73,67,53,"1"
60,62,54,68,68,73,76,54,"1"
65,77,70,70,68,77,61,64,"1"
78,73,66,67,57,75,65,51,"1"
67,66,59,67,61,72,68,65,"1"
68,74,64,66,62,75,62,61,"1"
73,65,64,70,60,65,60,62,"1"
66,66,58,59,59,73,44,51,"1"
69,72,57,66,60,77,67,64,"1"
66,57,62,66,61,68,67,62,"1"
82,77,59,66,66,77,71,59,"1"
66,55,77,71,67,73,69,58,"1"
65,62,67,49,48,71,72,65,"1"
58,62,69,49,43,64,70,65,"1"
52,58,23,17,20,72,30,41,"1"
54,51,54,54,41,52,54,45,"1"
62,68,56,69,70,79,67,53,"1"
75,79,58,67,66,78,61,34,"1"
71,72,59,62,59,74,67,44,"1"
75,74,64,64,63,77,59,63,"1"
75,67,68,48,47,79,52,59,"1"
70,75,69,67,65,58,65,57,"1"
68,62,35,41,35,70,43,32,"1"
66,63,23,66,66,74,74,11,"1"
75,72,37,61,61,73,58,24,"1"
71,72,57,62,68,73,65,53,"1"
76,74,69,59,70,75,60,55,"1"
66,68,52,66,67,75,71,52,"1"
68,74,19,67,71,54,72,15,"1"
79,78,36,49,56,81,64,49,"1"
65,68,48,66,59,74,67,45,"1"
64,70,59,65,69,76,71,66,"0"
68,70,63,66,69,79,77,64,"0"
69,67,69,68,65,71,75,69,"0"
70,77,69,71,74,76,73,58,"0"
79,77,68,69,68,75,76,65,"0"
74,80,63,54,56,73,70,42,"0"
74,76,75,58,65,76,68,62,"0"
71,68,62,71,68,71,71,63,"0"
77,74,66,63,67,80,75,65,"0"
74,74,63,76,74,79,76,54,"0"
71,69,74,73,75,73,74,58,"0"
68,78,56,67,68,78,75,63,"0"
72,75,60,69,69,75,69,55,"0"
69,76,66,69,69,79,74,62,"0"
70,76,67,70,75,77,72,51,"0"
73,69,65,74,71,79,76,52,"0"
78,78,67,67,65,78,67,60,"0"
75,75,61,61,63,75,67,61,"0"
66,72,69,64,63,70,77,65,"0"
73,78,62,68,69,76,72,60,"0"
67,69,56,68,68,74,77,63,"0"
78,84,54,62,64,72,77,61,"0"
74,76,56,67,73,74,72,60,"0"
53,60,71,67,71,74,71,53,"0"
63,70,65,70,71,74,79,66,"0"
66,68,64,70,72,77,72,62,"0"
69,71,68,68,68,74,74,57,"0"
75,72,66,72,75,75,72,57,"0"
80,78,57,61,65,76,72,61,"0"
73,72,75,74,68,77,66,62,"0"
68,67,63,56,61,68,64,59,"0"
70,78,66,68,76,78,77,59,"0"
74,70,75,69,66,76,80,71,"0"
71,74,71,69,72,74,72,54,"0"
75,80,67,69,68,75,78,65,"0"
72,72,61,63,69,75,71,56,"0"
67,71,76,71,77,69,68,56,"0"
73,75,66,64,69,76,75,67,"0"
72,72,49,70,69,79,75,58,"0"
69,66,67,70,68,75,69,59,"0"
