"V5","V27","V29","V30","V33","V41","Class"
78,70,67,65,75,77,"1"
71,60,66,70,70,66,"1"
67,57,53,67,74,54,"1"
65,60,69,70,72,72,"1"
61,67,69,66,61,73,"1"
67,59,65,73,69,71,"1"
76,62,66,55,71,45,"1"
58,44,74,64,63,74,"1"
69,44,25,21,79,16,"1"
74,38,59,67,78,73,"1"
71,43,62,71,73,59,"1"
75,36,51,41,70,43,"1"
80,59,61,53,75,60,"1"
46,43,78,49,39,56,"1"
65,34,78,68,68,71,"1"
50,44,74,29,77,12,"1"
61,63,67,69,77,66,"1"
68,65,70,69,66,68,"1"
48,33,50,57,41,48,"1"
58,70,55,59,60,52,"1"
74,39,72,58,71,63,"1"
61,14,41,54,66,47,"1"
79,38,49,53,73,43,"1"
74,45,64,61,74,74,"1"
67,39,50,64,70,67,"1"
75,57,62,59,66,50,"1"
75,50,43,41,74,69,"1"
78,57,51,65,75,67,"1"
65,76,73,65,63,73,"1"
72,59,58,61,75,70,"1"
73,69,59,71,79,66,"1"
72,65,65,62,76,75,"1"
74,37,54,20,73,35,"1"
70,49,52,66,65,70,"1"
82,63,67,68,77,75,"1"
68,65,63,54,74,71,"1"
72,60,59,69,75,64,"1"
68,23,60,38,70,55,"1"
54,47,57,23,74,13,"1"
73,59,70,45,74,39,"1"
43,63,77,13,52,6,"1"
71,55,68,76,75,73,"1"
61,39,75,67,66,63,"1"
78,6,23,56,55,57,"1"
72,42,51,58,73,51,"1"
82,50,53,59,74,70,"1"
71,56,61,60,76,74,"1"
74,35,65,61,73,61,"1"
76,63,63,67,73,63,"1"
73,48,66,64,71,70,"1"
70,66,62,57,75,76,"1"
68,52,45,31,71,35,"1"
74,38,69,62,72,67,"1"
75,44,65,68,71,62,"1"
70,73,71,67,73,69,"1"
71,38,48,63,77,81,"1"
69,19,46,44,57,57,"1"
73,28,52,64,73,73,"1"
61,60,65,64,68,73,"1"
68,51,57,71,77,64,"1"
65,35,67,67,66,66,"1"
66,61,73,62,37,74,"1"
67,55,71,69,69,77,"1"
77,43,68,67,66,58,"1"
74,59,69,70,74,75,"1"
65,31,17,39,73,47,"1"
65,51,56,68,77,64,"1"
72,68,68,48,74,47,"1"
69,65,59,69,77,62,"1"
55,19,77,55,68,62,"1"
54,50,66,57,51,59,"1"
58,42,59,62,73,69,"1"
68,61,67,68,72,70,"1"
60,38,36,29,54,28,"1"
71,57,67,62,75,77,"1"
80,54,58,61,74,65,"1"
74,38,72,68,71,59,"1"
73,57,70,72,60,63,"1"
61,63,62,67,75,64,"1"
76,29,56,57,72,62,"1"
74,35,79,58,75,61,"1"
63,55,59,61,66,67,"1"
53,41,45,42,51,52,"1"
69,56,63,65,75,64,"1"
51,65,61,51,72,40,"1"
44,20,38,35,51,12,"1"
63,61,58,47,63,57,"1"
71,14,41,38,65,58,"1"
54,57,62,66,66,67,"1"
48,62,78,70,49,61,"1"
83,58,57,65,75,65,"1"
70,16,44,36,72,44,"1"
73,55,70,65,77,68,"1"
70,56,69,75,71,63,"1"
65,78,83,71,63,76,"1"
84,47,54,62,76,58,"1"
66,52,63,63,71,68,"1"
84,63,62,58,77,49,"1"
74,59,67,69,70,51,"1"
79,63,70,63,65,62,"1"
75,54,68,63,77,78,"1"
75,68,78,71,68,71,"1"
51,44,53,65,64,77,"1"
77,45,54,66,78,60,"1"
67,64,64,62,72,47,"1"
74,60,61,70,71,66,"1"
68,67,55,71,75,75,"1"
70,57,60,61,76,77,"1"
74,64,73,65,72,80,"1"
78,75,64,73,74,75,"1"
77,63,68,69,76,71,"1"
75,51,53,69,76,59,"1"
67,57,68,58,75,71,"1"
72,62,67,64,75,64,"1"
72,76,61,71,75,68,"1"
70,66,56,71,75,75,"1"
62,77,74,67,67,67,"1"
72,75,79,79,71,68,"1"
65,59,68,65,78,68,"1"
74,75,69,67,69,76,"1"
65,71,64,71,70,69,"1"
57,60,60,64,66,77,"1"
68,56,65,72,74,70,"1"
71,62,67,64,75,70,"1"
78,55,57,65,74,73,"1"
72,75,58,58,69,58,"1"
59,64,67,65,67,57,"1"
74,62,69,73,76,75,"1"
72,71,69,67,63,76,"1"
67,63,57,47,64,62,"1"
74,57,67,46,68,52,"1"
73,61,69,65,74,66,"1"
71,73,62,64,77,68,"1"
56,47,68,42,62,54,"1"
70,59,58,67,71,61,"1"
75,51,67,61,78,59,"1"
35,56,59,28,67,39,"1"
72,54,53,51,67,46,"1"
66,35,71,66,73,61,"1"
60,32,26,39,64,59,"1"
62,49,86,59,74,58,"1"
67,76,59,22,72,22,"1"
72,43,51,71,77,66,"1"
74,53,69,59,76,69,"1"
75,46,65,52,73,48,"1"
74,64,71,68,72,76,"1"
44,64,68,38,64,48,"1"
71,74,64,37,75,43,"1"
82,17,61,63,74,74,"1"
72,63,70,60,75,69,"1"
62,75,73,65,72,66,"1"
54,71,64,68,62,70,"1"
69,67,58,73,72,66,"1"
51,67,66,67,54,71,"1"
67,63,70,67,69,65,"1"
79,59,56,63,73,72,"1"
71,80,69,67,74,67,"1"
34,19,42,53,9,31,"1"
40,23,77,48,32,39,"1"
60,47,80,69,59,53,"1"
69,59,40,55,63,65,"1"
76,48,27,65,72,69,"1"
79,48,50,65,75,65,"1"
75,60,58,46,84,66,"1"
70,46,80,73,65,66,"1"
64,44,48,65,72,73,"1"
74,65,75,67,74,71,"1"
76,48,70,64,60,49,"1"
68,78,67,69,71,61,"1"
69,67,53,72,77,59,"1"
59,55,56,65,71,65,"1"
74,63,69,60,71,66,"1"
70,68,64,66,75,65,"0"
66,61,60,59,65,75,"0"
74,63,61,66,80,62,"0"
78,53,58,62,72,72,"0"
71,71,47,42,70,73,"0"
70,67,61,66,71,66,"0"
78,60,63,62,77,64,"0"
66,64,60,66,75,73,"0"
66,63,66,70,70,76,"0"
74,69,61,71,77,71,"0"
70,61,63,74,75,68,"0"
66,68,68,69,73,68,"0"
77,69,69,68,74,75,"0"
74,69,66,64,72,78,"0"
71,62,72,67,75,72,"0"
