"V5","V27","V29","V30","V33","V41","Class"
67,64,54,67,74,62,"1"
67,69,70,71,70,73,"1"
64,37,68,72,68,55,"1"
78,60,54,70,76,73,"1"
66,37,40,58,73,64,"1"
75,63,55,61,74,77,"1"
75,57,65,68,73,68,"1"
62,65,59,64,65,58,"1"
68,47,36,68,73,79,"1"
79,36,49,55,73,67,"1"
62,44,69,68,73,76,"1"
77,70,51,70,77,61,"1"
73,76,67,67,75,65,"1"
66,52,50,67,72,68,"1"
74,66,67,66,75,62,"1"
65,55,60,70,65,60,"1"
66,30,41,59,73,44,"1"
72,55,53,66,77,67,"1"
57,72,66,66,68,67,"1"
77,64,69,66,77,71,"1"
55,75,71,71,73,69,"1"
62,65,70,49,71,72,"1"
62,69,71,49,64,70,"1"
58,46,31,17,72,30,"1"
51,60,66,54,52,54,"1"
68,53,54,69,79,67,"1"
79,54,60,67,78,61,"1"
72,44,63,62,74,67,"1"
74,68,62,64,77,59,"1"
67,71,68,48,79,52,"1"
75,71,63,67,58,65,"1"
62,37,57,41,70,43,"1"
63,26,59,66,74,74,"1"
72,38,73,61,73,58,"1"
72,59,56,62,73,65,"1"
74,72,61,59,75,60,"1"
68,47,64,66,75,71,"1"
74,14,50,67,54,72,"1"
78,44,54,49,81,64,"1"
68,59,44,66,74,67,"1"
70,58,67,65,76,71,"0"
70,67,68,66,79,77,"0"
67,65,66,68,71,75,"0"
77,68,69,71,76,73,"0"
77,64,61,69,75,76,"0"
80,60,60,54,73,70,"0"
76,69,70,58,76,68,"0"
68,66,65,71,71,71,"0"
74,65,63,63,80,75,"0"
74,60,67,76,79,76,"0"
69,70,79,73,73,74,"0"
78,56,52,67,78,75,"0"
75,62,67,69,75,69,"0"
76,59,59,69,79,74,"0"
76,64,68,70,77,72,"0"
69,64,60,74,79,76,"0"
78,72,67,67,78,67,"0"
75,58,67,61,75,67,"0"
72,69,74,64,70,77,"0"
78,66,78,68,76,72,"0"
69,58,64,68,74,77,"0"
84,57,57,62,72,77,"0"
76,61,62,67,74,72,"0"
60,71,64,67,74,71,"0"
70,64,71,70,74,79,"0"
68,70,60,70,77,72,"0"
71,66,68,68,74,74,"0"
72,73,68,72,75,72,"0"
78,62,65,61,76,72,"0"
72,77,62,74,77,66,"0"
67,63,64,56,68,64,"0"
78,67,61,68,78,77,"0"
70,68,58,69,76,80,"0"
74,70,82,69,74,72,"0"
80,64,66,69,75,78,"0"
72,61,58,63,75,71,"0"
71,79,70,71,69,68,"0"
75,71,61,64,76,75,"0"
72,48,69,70,79,75,"0"
66,63,57,70,75,69,"0"
