"V4","V7","V25","V29","V30","V31","V41","Class"
73,63,79,67,65,67,77,"1"
71,58,72,66,70,64,66,"1"
66,74,69,53,67,60,54,"1"
65,61,65,69,70,69,72,"1"
69,63,75,69,66,71,73,"1"
67,72,67,65,73,70,71,"1"
77,68,66,66,55,40,45,"1"
62,57,49,74,64,66,74,"1"
71,66,71,25,21,18,16,"1"
73,67,69,59,67,67,73,"1"
70,63,48,62,71,70,59,"1"
73,61,50,51,41,43,43,"1"
65,67,77,61,53,46,60,"1"
52,54,32,78,49,49,56,"1"
65,31,47,78,68,68,71,"1"
62,57,71,74,29,19,12,"1"
61,62,70,67,69,66,66,"1"
73,71,55,70,69,66,68,"1"
54,67,50,50,57,50,48,"1"
67,79,62,55,59,52,52,"1"
75,69,60,72,58,64,63,"1"
76,52,58,41,54,41,47,"1"
77,59,63,49,53,42,43,"1"
72,61,72,64,61,60,74,"1"
67,61,72,50,64,63,67,"1"
69,57,66,62,59,38,50,"1"
78,64,63,43,41,49,69,"1"
73,65,67,51,65,68,67,"1"
64,66,80,73,65,73,73,"1"
70,70,66,58,61,65,70,"1"
74,75,80,59,71,68,66,"1"
67,71,69,65,62,66,75,"1"
71,25,58,54,20,15,35,"1"
68,54,61,52,66,72,70,"1"
77,63,65,67,68,70,75,"1"
74,76,71,63,54,63,71,"1"
70,69,67,59,69,66,64,"1"
74,48,42,60,38,41,55,"1"
38,52,67,57,23,26,13,"1"
62,41,58,70,45,40,39,"1"
57,57,56,77,13,7,6,"1"
70,66,64,68,76,74,73,"1"
67,57,70,75,67,64,63,"1"
76,34,47,23,56,48,57,"1"
76,52,67,51,58,48,51,"1"
67,67,63,53,59,60,70,"1"
74,60,57,61,60,62,74,"1"
64,55,62,65,61,56,61,"1"
73,69,69,63,67,66,63,"1"
75,64,74,66,64,68,70,"1"
68,70,77,62,57,69,76,"1"
65,48,60,45,31,36,35,"1"
73,63,67,69,62,65,67,"1"
69,62,69,65,68,69,62,"1"
67,62,74,71,67,69,69,"1"
65,69,72,48,63,68,81,"1"
48,52,70,46,44,43,57,"1"
74,61,77,52,64,68,73,"1"
63,68,72,65,64,70,73,"1"
71,60,58,57,71,68,64,"1"
67,65,49,67,67,64,66,"1"
69,71,43,73,62,64,74,"1"
69,68,72,71,69,70,77,"1"
71,68,72,68,67,67,58,"1"
75,67,72,69,70,73,75,"1"
51,45,77,17,39,43,47,"1"
65,67,67,56,68,63,64,"1"
74,59,67,68,48,40,47,"1"
76,66,71,59,69,62,62,"1"
58,54,40,77,55,56,62,"1"
59,65,76,66,57,47,59,"1"
67,60,56,59,62,66,69,"1"
54,70,74,67,68,72,70,"1"
57,44,60,36,29,22,28,"1"
68,59,82,67,62,69,77,"1"
77,64,65,58,61,64,65,"1"
71,53,53,72,68,68,59,"1"
74,60,58,70,72,59,63,"1"
63,72,80,62,67,63,64,"1"
78,58,66,56,57,63,62,"1"
61,63,46,79,58,64,61,"1"
66,56,69,59,61,48,67,"1"
56,44,62,45,42,61,52,"1"
70,63,71,63,65,65,64,"1"
71,41,66,61,51,25,40,"1"
59,26,35,38,35,25,12,"1"
64,58,66,58,47,40,57,"1"
66,41,61,41,38,36,58,"1"
68,63,68,62,66,60,67,"1"
63,60,64,78,70,59,61,"1"
78,71,79,57,65,53,65,"1"
68,28,75,44,36,19,44,"1"
69,61,80,70,65,67,68,"1"
78,65,53,69,75,66,63,"1"
64,69,69,83,71,70,76,"1"
76,72,64,54,62,64,58,"1"
66,67,76,63,63,61,68,"1"
82,71,76,62,58,57,49,"1"
77,61,70,67,69,66,51,"1"
77,59,62,70,63,60,62,"1"
72,61,73,68,63,64,78,"1"
74,69,71,78,71,67,71,"1"
55,59,73,53,65,61,77,"1"
80,64,61,54,66,65,60,"1"
67,78,63,64,62,63,47,"1"
65,64,70,61,70,65,66,"1"
72,71,75,55,71,72,75,"1"
