"V2","V5","V7","V9","V29","V34","V41","Class"
59,67,66,61,54,65,62,"1"
72,67,82,65,70,62,73,"1"
71,64,64,65,68,60,55,"1"
69,78,63,65,54,62,73,"1"
70,66,58,69,40,65,64,"1"
57,75,74,71,55,63,77,"1"
69,75,71,76,65,63,68,"1"
61,62,72,67,59,55,58,"1"
65,68,67,71,36,60,79,"1"
74,79,61,66,49,58,67,"1"
70,62,60,77,69,61,76,"1"
67,77,70,72,51,75,61,"1"
76,73,67,70,67,50,65,"1"
70,66,60,77,50,67,68,"1"
78,74,69,74,67,61,62,"1"
67,65,56,63,60,58,60,"1"
70,66,46,58,41,62,44,"1"
63,72,62,57,53,73,67,"1"
62,57,75,59,66,59,67,"1"
80,77,74,77,69,62,71,"1"
63,55,58,74,71,60,69,"1"
70,62,67,74,70,65,72,"1"
61,62,60,75,71,56,70,"1"
70,58,89,72,31,61,30,"1"
75,51,50,69,66,58,54,"1"
77,68,58,68,54,65,67,"1"
75,79,68,77,60,63,61,"1"
78,72,71,74,63,59,67,"1"
69,74,72,72,62,66,59,"1"
72,67,59,63,68,63,52,"1"
64,75,71,71,63,52,65,"1"
72,62,63,61,57,75,43,"1"
79,63,62,70,59,56,74,"1"
66,72,67,81,73,61,58,"1"
65,72,75,83,56,65,65,"1"
71,74,68,68,61,61,60,"1"
70,68,69,61,64,58,71,"1"
73,74,59,76,50,49,72,"1"
68,78,73,78,54,65,64,"1"
68,68,64,73,44,64,67,"1"
62,70,58,74,67,61,71,"0"
62,70,70,77,68,69,77,"0"
59,67,59,73,66,59,75,"0"
75,77,75,75,69,63,73,"0"
77,77,76,81,61,70,76,"0"
68,80,72,75,60,59,70,"0"
76,76,69,76,70,74,68,"0"
61,68,69,69,65,59,71,"0"
67,74,66,70,63,63,75,"0"
71,74,74,56,67,67,76,"0"
64,69,70,78,79,65,74,"0"
76,78,72,75,52,65,75,"0"
74,75,62,67,67,66,69,"0"
65,76,68,66,59,65,74,"0"
59,76,70,74,68,59,72,"0"
76,69,73,72,60,61,76,"0"
71,78,67,72,67,61,67,"0"
80,75,68,75,67,66,67,"0"
68,72,71,82,74,58,77,"0"
67,78,68,73,78,65,72,"0"
72,69,70,81,64,62,77,"0"
62,84,68,74,57,62,77,"0"
69,76,67,73,62,58,72,"0"
59,60,74,69,64,62,71,"0"
66,70,70,72,71,58,79,"0"
62,68,76,71,60,67,72,"0"
71,71,65,73,68,59,74,"0"
63,72,71,70,68,65,72,"0"
74,78,69,77,65,63,72,"0"
69,72,70,71,62,70,66,"0"
70,67,68,69,64,66,64,"0"
65,78,72,74,61,65,77,"0"
64,70,63,70,58,64,80,"0"
70,74,66,70,82,60,72,"0"
72,80,70,73,66,63,78,"0"
70,72,71,78,58,64,71,"0"
59,71,68,70,70,56,68,"0"
67,75,77,70,61,64,75,"0"
68,72,74,74,69,63,75,"0"
66,66,69,72,57,65,69,"0"
