"V4","V11","V25","V26","V27","V30","V40","V41","Class"
73,62,79,70,70,65,74,77,"1"
71,68,72,66,60,70,69,66,"1"
66,68,69,63,57,67,68,54,"1"
65,69,65,64,60,70,71,72,"1"
69,65,75,76,67,66,72,73,"1"
67,71,67,64,59,73,77,71,"1"
77,66,66,58,62,55,59,45,"1"
62,53,49,53,44,64,77,74,"1"
71,67,71,63,44,21,19,16,"1"
73,65,69,40,38,67,74,73,"1"
70,51,48,58,43,71,62,59,"1"
73,62,50,39,36,41,49,43,"1"
65,68,77,60,59,53,62,60,"1"
52,68,32,40,43,49,60,56,"1"
65,54,47,27,34,68,68,71,"1"
62,24,71,42,44,29,27,12,"1"
61,68,70,67,63,69,75,66,"1"
73,52,55,72,65,69,74,68,"1"
54,61,50,39,33,57,61,48,"1"
67,50,62,63,70,59,57,52,"1"
75,63,60,39,39,58,57,63,"1"
76,59,58,30,14,54,58,47,"1"
77,54,63,43,38,53,55,43,"1"
72,58,72,54,45,61,75,74,"1"
67,71,72,51,39,64,66,67,"1"
69,62,66,60,57,59,70,50,"1"
78,69,63,51,50,41,65,69,"1"
73,54,67,60,57,65,71,67,"1"
64,62,80,76,76,65,73,73,"1"
70,67,66,62,59,61,68,70,"1"
74,60,80,72,69,71,68,66,"1"
67,67,69,70,65,62,70,75,"1"
71,64,58,42,37,20,24,35,"1"
68,70,61,46,49,66,67,70,"1"
77,64,65,63,63,68,71,75,"1"
74,67,71,69,65,54,71,71,"1"
70,71,67,62,60,69,69,64,"1"
74,48,42,20,23,38,65,55,"1"
38,29,67,62,47,23,11,13,"1"
62,77,58,60,59,45,36,39,"1"
57,58,56,48,63,13,17,6,"1"
70,72,64,60,55,76,73,73,"1"
67,69,70,47,39,67,74,63,"1"
76,26,47,12,6,56,56,57,"1"
76,63,67,49,42,58,72,51,"1"
67,64,63,54,50,59,73,70,"1"
74,39,57,56,56,60,61,74,"1"
64,67,62,43,35,61,55,61,"1"
73,68,69,59,63,67,69,63,"1"
75,75,74,48,48,64,65,70,"1"
68,57,77,62,66,57,74,76,"1"
65,47,60,49,52,31,26,35,"1"
73,71,67,33,38,62,58,67,"1"
69,76,69,56,44,68,66,62,"1"
67,64,74,72,73,67,77,69,"1"
65,72,72,41,38,63,77,81,"1"
48,46,70,33,19,44,47,57,"1"
74,72,77,29,28,64,56,73,"1"
63,63,72,60,60,64,58,73,"1"
71,70,58,56,51,71,72,64,"1"
67,68,49,45,35,67,72,66,"1"
69,67,43,61,61,62,72,74,"1"
69,71,72,56,55,69,80,77,"1"
71,65,72,57,43,67,63,58,"1"
75,63,72,66,59,70,78,75,"1"
51,41,77,33,31,39,36,47,"1"
65,70,67,57,51,68,76,64,"1"
74,55,67,60,68,48,62,47,"1"
76,53,71,62,65,69,71,62,"1"
58,58,40,40,19,55,61,62,"1"
59,61,76,74,50,57,68,59,"1"
67,75,56,42,42,62,70,69,"1"
54,70,74,53,61,68,68,70,"1"
57,22,60,48,38,29,23,28,"1"
68,63,82,71,57,62,71,77,"1"
77,68,65,54,54,61,60,65,"1"
71,68,53,51,38,68,66,59,"1"
74,69,58,63,57,72,68,63,"1"
63,69,80,68,63,67,70,64,"1"
78,57,66,32,29,57,72,62,"1"
61,65,46,31,35,58,69,61,"1"
66,63,69,62,55,61,78,67,"1"
56,66,62,44,41,42,57,52,"1"
70,70,71,62,56,65,62,64,"1"
71,39,66,62,65,51,74,40,"1"
59,57,35,33,20,35,37,12,"1"
64,74,66,60,61,47,60,57,"1"
66,58,61,30,14,38,56,58,"1"
68,54,68,66,57,66,79,67,"1"
63,52,64,54,62,70,72,61,"1"
78,61,79,72,58,65,69,65,"1"
68,54,75,17,16,36,48,44,"1"
69,58,80,55,55,65,67,68,"1"
78,66,53,61,56,75,68,63,"1"
64,59,69,73,78,71,77,76,"1"
76,70,64,48,47,62,67,58,"1"
66,65,76,60,52,63,73,68,"1"
82,58,76,58,63,58,55,49,"1"
77,69,70,61,59,69,66,51,"1"
77,66,62,66,63,63,53,62,"1"
72,63,73,55,54,63,72,78,"1"
74,66,71,74,68,71,79,71,"1"
55,59,73,53,44,65,73,77,"1"
80,68,61,48,45,66,55,60,"1"
67,62,63,65,64,62,62,47,"1"
65,71,70,60,60,70,72,66,"1"
72,62,75,65,67,71,79,75,"1"
72,57,60,56,57,61,76,77,"1"
70,65,76,65,64,65,75,80,"1"
75,59,79,75,75,73,72,75,"1"
75,75,72,66,63,69,73,71,"1"
73,61,66,51,51,69,61,59,"1"
58,61,67,48,57,58,63,71,"1"
64,70,66,65,62,64,53,64,"1"
71,55,79,72,76,71,73,68,"1"
70,70,68,66,66,71,81,75,"1"
69,59,79,74,77,67,73,67,"1"
74,66,70,79,75,79,66,68,"1"
64,74,65,54,59,65,59,68,"1"
66,42,79,69,75,67,75,76,"1"
60,63,74,73,71,71,66,69,"1"
65,55,67,64,60,64,79,77,"1"
69,68,63,65,56,72,77,70,"1"
71,63,68,65,62,64,72,70,"1"
73,63,72,55,55,65,69,73,"1"
71,65,73,67,75,58,65,58,"1"
62,62,64,62,64,65,69,57,"1"
72,73,73,67,62,73,71,75,"1"
70,71,75,70,71,67,76,76,"1"
62,59,63,69,63,47,60,62,"1"
69,62,59,57,57,46,47,52,"1"
72,70,70,58,61,65,45,66,"1"
64,60,73,74,73,64,66,68,"1"
72,56,44,38,47,42,51,54,"1"
69,66,66,70,59,67,70,61,"1"
70,67,65,55,51,61,50,59,"1"
54,28,60,53,56,28,39,39,"1"
70,56,58,56,54,51,68,46,"1"
62,67,53,47,35,66,70,61,"1"
63,56,61,18,32,39,63,59,"1"
66,55,58,42,49,59,67,58,"1"
70,32,71,75,76,22,21,22,"1"
79,62,70,46,43,71,73,66,"1"
68,63,77,61,53,59,67,69,"1"
69,56,73,62,46,52,65,48,"1"
70,67,69,66,64,68,68,76,"1"
46,56,68,64,64,38,47,48,"1"
64,39,73,75,74,37,41,43,"1"
72,63,61,24,17,63,48,74,"1"
73,66,76,65,63,60,73,69,"1"
64,66,68,67,75,65,63,66,"1"
64,52,64,76,71,68,72,70,"1"
72,61,66,72,67,73,76,66,"1"
58,58,63,76,67,67,75,71,"1"
65,68,68,61,63,67,68,65,"1"
75,68,75,65,59,63,70,72,"1"
