"V4","V7","V15","V41","V44","Class"
73,63,73,77,59,"1"
71,58,71,66,57,"1"
66,74,73,54,43,"1"
65,61,65,72,58,"1"
69,63,65,73,49,"1"
67,72,67,71,68,"1"
77,68,71,45,54,"1"
62,57,50,74,59,"1"
71,66,71,16,56,"1"
73,67,68,73,53,"1"
70,63,49,59,53,"1"
73,61,70,43,41,"1"
65,67,74,60,43,"1"
52,54,28,56,33,"1"
65,31,50,71,27,"1"
62,57,69,12,42,"1"
61,62,75,66,57,"1"
73,71,65,68,56,"1"
54,67,50,48,37,"1"
67,79,64,52,59,"1"
75,69,74,63,34,"1"
76,52,75,47,28,"1"
77,59,66,43,39,"1"
72,61,67,74,63,"1"
67,61,77,67,54,"1"
69,57,70,50,36,"1"
78,64,65,69,58,"1"
73,65,69,67,62,"1"
64,66,70,73,58,"1"
70,70,71,70,56,"1"
74,75,77,66,59,"1"
67,71,72,75,62,"1"
71,25,70,35,29,"1"
68,54,59,70,56,"1"
77,63,59,75,62,"1"
74,76,70,71,66,"1"
70,69,71,64,52,"1"
74,48,43,55,18,"1"
38,52,71,13,46,"1"
62,41,65,39,29,"1"
57,57,50,6,30,"1"
70,66,65,73,52,"1"
67,57,71,63,50,"1"
76,34,46,57,13,"1"
76,52,64,51,61,"1"
67,67,73,70,60,"1"
74,60,75,74,66,"1"
64,55,67,61,37,"1"
73,69,77,63,58,"1"
75,64,76,70,50,"1"
68,70,66,76,64,"1"
65,48,63,35,52,"1"
73,63,77,67,27,"1"
69,62,77,62,44,"1"
67,62,64,69,65,"1"
65,69,71,81,55,"1"
48,52,59,57,21,"1"
74,61,77,73,24,"1"
63,68,66,73,39,"1"
71,60,67,64,53,"1"
67,65,65,66,58,"1"
69,71,47,74,56,"1"
69,68,69,77,52,"1"
71,68,65,58,34,"1"
75,67,74,75,50,"1"
51,45,77,47,52,"1"
65,67,67,64,41,"1"
74,59,72,47,54,"1"
76,66,74,62,54,"1"
58,54,50,62,37,"1"
59,65,61,59,61,"1"
67,60,66,69,60,"1"
54,70,58,70,55,"1"
57,44,63,28,76,"1"
68,59,74,77,61,"1"
77,64,64,65,51,"1"
71,53,68,59,34,"1"
74,60,56,63,49,"1"
63,72,76,64,54,"1"
78,58,59,62,30,"1"
61,63,68,61,24,"1"
66,56,65,67,70,"1"
56,44,68,52,39,"1"
70,63,74,64,56,"1"
71,41,67,40,57,"1"
59,26,31,12,46,"1"
64,58,65,57,42,"1"
66,41,61,58,23,"1"
68,63,66,67,62,"1"
63,60,52,61,54,"1"
78,71,69,65,58,"1"
68,28,70,44,15,"1"
69,61,68,68,50,"1"
78,65,59,63,25,"1"
64,69,66,76,49,"1"
76,72,66,58,51,"1"
66,67,72,68,56,"1"
82,71,62,49,56,"1"
77,61,66,51,44,"1"
77,59,59,62,55,"1"
72,61,63,78,82,"1"
74,69,73,71,58,"1"
55,59,61,77,62,"1"
80,64,69,60,36,"1"
67,78,66,47,56,"1"
65,64,69,66,55,"1"
72,71,78,75,63,"1"
72,76,65,77,65,"1"
70,64,72,80,61,"1"
75,69,71,75,64,"1"
75,72,65,71,50,"1"
73,58,64,59,43,"1"
58,61,70,71,52,"1"
64,64,64,64,43,"1"
71,72,75,68,66,"1"
70,67,70,75,65,"1"
69,72,69,67,58,"1"
74,76,70,68,37,"1"
64,62,64,68,50,"1"
66,68,75,76,58,"1"
60,69,76,69,66,"1"
65,63,69,77,63,"1"
69,63,67,70,57,"1"
71,70,66,70,67,"1"
73,57,66,73,62,"1"
71,72,72,58,68,"1"
62,64,62,57,59,"1"
72,71,75,75,49,"1"
70,72,76,76,55,"1"
62,72,58,62,60,"1"
69,44,59,52,46,"1"
72,60,71,66,40,"1"
64,69,69,68,55,"1"
72,67,58,54,39,"1"
69,67,69,61,58,"1"
70,60,64,59,47,"1"
54,64,64,39,62,"1"
70,44,66,46,66,"1"
62,64,70,61,50,"1"
63,36,51,59,13,"1"
66,66,62,58,46,"1"
70,49,72,22,56,"1"
79,58,74,66,55,"1"
68,56,67,69,50,"1"
69,59,61,48,35,"1"
70,71,69,76,63,"1"
46,66,59,48,35,"1"
64,71,66,43,59,"1"
72,43,63,74,13,"1"
73,63,74,69,57,"1"
64,74,64,66,54,"1"
64,71,67,70,56,"1"
72,56,62,66,63,"1"
58,63,62,71,60,"1"
65,60,68,65,53,"1"
75,66,73,72,64,"1"
76,70,71,67,53,"1"
76,53,70,31,18,"1"
60,34,31,39,24,"1"
75,45,50,53,46,"1"
71,65,64,65,61,"1"
66,67,62,69,63,"1"
74,69,70,65,51,"1"
58,77,69,66,53,"1"
69,69,55,66,28,"1"
65,69,74,73,50,"1"
70,70,71,71,56,"1"
82,56,68,49,29,"1"
73,65,75,61,61,"1"
77,64,74,59,70,"1"
62,61,66,65,60,"1"
61,67,61,66,51,"1"
70,69,71,65,66,"0"
64,72,61,75,62,"0"
69,70,74,62,50,"0"
70,66,65,72,70,"0"
80,70,75,73,65,"0"
62,79,73,66,58,"0"
78,73,71,64,56,"0"
63,76,65,73,59,"0"
65,69,68,76,67,"0"
69,73,75,71,62,"0"
75,74,73,68,54,"0"
64,59,72,68,56,"0"
72,67,74,75,67,"0"
72,66,74,78,70,"0"
68,64,74,72,57,"0"
