"V4","V7","V15","V41","V44","Class"
70,66,77,62,64,"1"
69,82,74,73,56,"1"
70,64,65,55,51,"1"
70,63,75,73,59,"1"
61,58,71,64,49,"1"
68,74,69,77,61,"1"
62,71,80,68,63,"1"
60,72,71,58,49,"1"
67,67,69,79,59,"1"
72,61,57,67,53,"1"
60,60,70,76,54,"1"
65,70,76,61,64,"1"
78,67,75,65,51,"1"
67,60,79,68,65,"1"
68,69,71,62,61,"1"
73,56,62,60,62,"1"
66,46,58,44,51,"1"
69,62,78,67,64,"1"
66,75,65,67,62,"1"
82,74,72,71,59,"1"
66,58,67,69,58,"1"
65,67,74,72,65,"1"
58,60,59,70,65,"1"
52,89,59,30,41,"1"
54,50,48,54,45,"1"
62,58,75,67,53,"1"
75,68,73,61,34,"1"
71,71,73,67,44,"1"
75,72,72,59,63,"1"
75,59,48,52,59,"1"
70,71,66,65,57,"1"
68,63,57,43,32,"1"
66,62,65,74,11,"1"
75,67,64,58,24,"1"
71,75,68,65,53,"1"
76,68,58,60,55,"1"
66,69,71,71,52,"1"
68,59,53,72,15,"1"
79,73,71,64,49,"1"
65,64,71,67,45,"1"
64,58,71,71,66,"0"
68,70,74,77,64,"0"
69,59,66,75,69,"0"
70,75,72,73,58,"0"
79,76,73,76,65,"0"
74,72,77,70,42,"0"
74,69,62,68,62,"0"
71,69,72,71,63,"0"
77,66,74,75,65,"0"
74,74,64,76,54,"0"
71,70,70,74,58,"0"
68,72,75,75,63,"0"
72,62,71,69,55,"0"
69,68,75,74,62,"0"
70,70,73,72,51,"0"
73,73,73,76,52,"0"
78,67,74,67,60,"0"
75,68,70,67,61,"0"
66,71,65,77,65,"0"
73,68,72,72,60,"0"
67,70,80,77,63,"0"
78,68,72,77,61,"0"
74,67,77,72,60,"0"
53,74,70,71,53,"0"
63,70,71,79,66,"0"
66,76,75,72,62,"0"
69,65,76,74,57,"0"
75,71,73,72,57,"0"
80,69,68,72,61,"0"
73,70,74,66,62,"0"
68,68,65,64,59,"0"
70,72,68,77,59,"0"
74,63,74,80,71,"0"
71,66,69,72,54,"0"
75,70,75,78,65,"0"
72,71,74,71,56,"0"
67,68,71,68,56,"0"
73,77,67,75,67,"0"
72,74,67,75,58,"0"
69,69,70,69,59,"0"
