"V4","V5","V10","V17","V23","V26","V27","V29","V30","V31","V33","V41","V42","V44","V45","Class"
73,78,63,61,76,70,70,67,65,67,75,77,76,59,68,"1"
71,71,71,58,73,66,60,66,70,64,70,66,64,57,52,"1"
66,67,64,57,73,63,57,53,67,60,74,54,65,43,42,"1"
65,65,73,66,71,64,60,69,70,69,72,72,65,58,60,"1"
69,61,70,68,73,76,67,69,66,71,61,73,71,49,42,"1"
67,67,70,69,69,64,59,65,73,70,69,71,77,68,59,"1"
77,76,69,61,75,58,62,66,55,40,71,45,53,54,55,"1"
62,58,59,50,77,53,44,74,64,66,63,74,66,59,56,"1"
71,69,67,54,76,63,44,25,21,18,79,16,68,56,65,"1"
73,74,67,57,71,40,38,59,67,67,78,73,64,53,45,"1"
70,71,44,52,65,58,43,62,71,70,73,59,59,53,55,"1"
73,75,62,52,72,39,36,51,41,43,70,43,43,41,43,"1"
65,80,66,62,78,60,59,61,53,46,75,60,61,43,56,"1"
52,46,61,58,78,40,43,78,49,49,39,56,41,33,22,"1"
65,65,53,25,78,27,34,78,68,68,68,71,31,27,18,"1"
62,50,44,61,72,42,44,74,29,19,77,12,41,42,49,"1"
61,61,68,68,75,67,63,67,69,66,77,66,71,57,63,"1"
73,68,62,70,59,72,65,70,69,66,66,68,73,56,52,"1"
54,48,71,72,67,39,33,50,57,50,41,48,63,37,36,"1"
67,58,59,73,65,63,70,55,59,52,60,52,71,59,65,"1"
75,74,65,64,81,39,39,72,58,64,71,63,41,34,40,"1"
76,61,70,33,66,30,14,41,54,41,66,47,40,28,19,"1"
77,79,57,36,71,43,38,49,53,42,73,43,41,39,26,"1"
72,74,59,52,59,54,45,64,61,60,74,74,70,63,61,"1"
67,67,62,54,69,51,39,50,64,63,70,67,67,54,54,"1"
69,75,70,56,72,60,57,62,59,38,66,50,45,36,35,"1"
78,75,66,52,69,51,50,43,41,49,74,69,69,58,56,"1"
73,78,64,64,64,60,57,51,65,68,75,67,71,62,60,"1"
