"V4","V5","V10","V17","V23","V26","V27","V29","V30","V31","V33","V41","V42","V44","V45","Class"
70,67,58,65,66,63,64,54,67,54,74,62,74,64,67,"1"
69,67,69,71,78,74,69,70,71,69,70,73,67,56,58,"1"
70,64,70,61,74,53,37,68,72,59,68,55,61,51,46,"1"
70,78,59,58,66,64,60,54,70,73,76,73,68,59,63,"1"
61,66,72,59,77,41,37,40,58,46,73,64,60,49,41,"1"
68,75,57,58,70,65,63,55,61,68,74,77,72,61,65,"1"
62,75,69,64,67,65,57,65,68,65,73,68,70,63,59,"1"
60,62,74,74,62,66,65,59,64,59,65,58,60,49,52,"1"
67,68,64,57,76,53,47,36,68,65,73,79,68,59,56,"1"
72,79,65,36,70,52,36,49,55,65,73,67,60,53,46,"1"
60,62,69,65,74,54,44,69,68,68,73,76,64,54,49,"1"
65,77,72,71,70,70,70,51,70,68,77,61,73,64,67,"1"
78,73,77,71,78,66,76,67,67,57,75,65,74,51,48,"1"
67,66,70,64,65,59,52,50,67,61,72,68,77,65,62,"1"
68,74,68,67,71,64,66,67,66,62,75,62,69,61,59,"1"
73,65,64,58,69,64,55,60,70,60,65,60,76,62,56,"1"
66,66,68,32,57,58,30,41,59,59,73,44,73,51,28,"1"
69,72,68,58,67,57,55,53,66,60,77,67,78,64,58,"1"
66,57,65,69,74,62,72,66,66,61,68,67,77,62,58,"1"
82,77,64,66,75,59,64,69,66,66,77,71,66,59,62,"1"
66,55,44,73,74,77,75,71,71,67,73,69,71,58,61,"1"
65,62,62,62,78,67,65,70,49,48,71,72,73,65,64,"1"
58,62,61,62,84,69,69,71,49,43,64,70,65,65,62,"1"
52,58,26,40,52,23,46,31,17,20,72,30,57,41,57,"1"
54,51,46,60,59,54,60,66,54,41,52,54,36,45,52,"1"
62,68,77,57,76,56,53,54,69,70,79,67,60,53,57,"1"
75,79,69,58,68,58,54,60,67,66,78,61,52,34,37,"1"
71,72,70,57,80,59,44,63,62,59,74,67,44,44,30,"1"
75,74,61,68,67,64,68,62,64,63,77,59,74,63,67,"1"
75,67,61,56,75,68,71,68,48,47,79,52,69,59,73,"1"
70,75,59,72,60,69,71,63,67,65,58,65,71,57,63,"1"
68,62,57,37,78,35,37,57,41,35,70,43,38,32,26,"1"
66,63,72,62,71,23,26,59,66,66,74,74,34,11,12,"1"
75,72,67,57,78,37,38,73,61,61,73,58,35,24,20,"1"
71,72,70,71,80,57,59,56,62,68,73,65,65,53,42,"1"
76,74,69,69,78,69,72,61,59,70,75,60,72,55,63,"1"
66,68,68,63,82,52,47,64,66,67,75,71,67,52,53,"1"
68,74,54,19,79,19,14,50,67,71,54,72,31,15,11,"1"
79,78,64,57,74,36,44,54,49,56,81,64,52,49,50,"1"
65,68,75,61,73,48,59,44,66,59,74,67,51,45,45,"1"
64,70,60,63,77,59,58,67,65,69,76,71,71,66,61,"0"
68,70,69,71,73,63,67,68,66,69,79,77,72,64,66,"0"
69,67,66,55,73,69,65,66,68,65,71,75,74,69,66,"0"
70,77,67,70,75,69,68,69,71,74,76,73,66,58,59,"0"
79,77,65,68,67,68,64,61,69,68,75,76,79,65,63,"0"
74,80,67,64,82,63,60,60,54,56,73,70,69,42,41,"0"
74,76,68,69,81,75,69,70,58,65,76,68,75,62,60,"0"
71,68,64,69,79,62,66,65,71,68,71,71,69,63,59,"0"
77,74,65,60,76,66,65,63,63,67,80,75,72,65,64,"0"
74,74,68,72,78,63,60,67,76,74,79,76,74,54,54,"0"
71,69,61,70,78,74,70,79,73,75,73,74,68,58,57,"0"
68,78,61,58,72,56,56,52,67,68,78,75,74,63,61,"0"
72,75,73,67,80,60,62,67,69,69,75,69,62,55,56,"0"
69,76,65,63,74,66,59,59,69,69,79,74,69,62,57,"0"
70,76,65,61,73,67,64,68,70,75,77,72,61,51,55,"0"
73,69,60,67,76,65,64,60,74,71,79,76,62,52,59,"0"
78,78,67,66,80,67,72,67,67,65,78,67,78,60,59,"0"
75,75,77,65,77,61,58,67,61,63,75,67,65,61,58,"0"
66,72,61,62,78,69,69,74,64,63,70,77,69,65,64,"0"
73,78,61,66,68,62,66,78,68,69,76,72,70,60,59,"0"
67,69,66,65,79,56,58,64,68,68,74,77,71,63,65,"0"
78,84,53,53,71,54,57,57,62,64,72,77,62,61,65,"0"
74,76,68,61,72,56,61,62,67,73,74,72,64,60,56,"0"
53,60,64,71,78,71,71,64,67,71,74,71,70,53,49,"0"
63,70,61,67,78,65,64,71,70,71,74,79,79,66,66,"0"
66,68,62,68,66,64,70,60,70,72,77,72,75,62,59,"0"
69,71,67,62,78,68,66,68,68,68,74,74,68,57,55,"0"
75,72,64,72,76,66,73,68,72,75,75,72,68,57,58,"0"
80,78,69,61,80,57,62,65,61,65,76,72,68,61,64,"0"
73,72,57,62,76,75,77,62,74,68,77,66,74,62,59,"0"
68,67,67,67,75,63,63,64,56,61,68,64,79,59,58,"0"
70,78,64,62,78,66,67,61,68,76,78,77,66,59,57,"0"
74,70,57,59,73,75,68,58,69,66,76,80,74,71,67,"0"
71,74,66,66,81,71,70,82,69,72,74,72,66,54,58,"0"
75,80,66,65,77,67,64,66,69,68,75,78,79,65,66,"0"
72,72,63,61,77,61,61,58,63,69,75,71,64,56,54,"0"
67,71,56,71,75,76,79,70,71,77,69,68,64,56,56,"0"
73,75,65,70,75,66,71,61,64,69,76,75,74,67,68,"0"
72,72,67,64,77,49,48,69,70,69,79,75,68,58,44,"0"
69,66,63,68,72,67,63,57,70,68,75,69,71,59,59,"0"
