"V4","V5","V23","V27","V30","V40","V41","V43","Class"
73,78,76,70,65,74,77,74,"1"
71,71,73,60,70,69,66,58,"1"
66,67,73,57,67,68,54,64,"1"
65,65,71,60,70,71,72,63,"1"
69,61,73,67,66,72,73,64,"1"
67,67,69,59,73,77,71,72,"1"
77,76,75,62,55,59,45,58,"1"
62,58,77,44,64,77,74,60,"1"
71,69,76,44,21,19,16,72,"1"
73,74,71,38,67,74,73,56,"1"
70,71,65,43,71,62,59,64,"1"
73,75,72,36,41,49,43,43,"1"
65,80,78,59,53,62,60,68,"1"
52,46,78,43,49,60,56,21,"1"
65,65,78,34,68,68,71,29,"1"
62,50,72,44,29,27,12,52,"1"
61,61,75,63,69,75,66,70,"1"
73,68,59,65,69,74,68,67,"1"
54,48,67,33,57,61,48,61,"1"
67,58,65,70,59,57,52,74,"1"
75,74,81,39,58,57,63,61,"1"
76,61,66,14,54,58,47,9,"1"
77,79,71,38,53,55,43,37,"1"
72,74,59,45,61,75,74,66,"1"
67,67,69,39,64,66,67,68,"1"
69,75,72,57,59,70,50,31,"1"
78,75,69,50,41,65,69,64,"1"
73,78,64,57,65,71,67,68,"1"
64,65,78,76,65,73,73,63,"1"
70,72,77,59,61,68,70,72,"1"
74,73,76,69,71,68,66,71,"1"
67,72,80,65,62,70,75,76,"1"
71,74,75,37,20,24,35,27,"1"
68,70,55,49,66,67,70,57,"1"
77,82,79,63,68,71,75,67,"1"
74,68,71,65,54,71,71,68,"1"
70,72,78,60,69,69,64,62,"1"
74,68,52,23,38,65,55,47,"1"
38,54,78,47,23,11,13,64,"1"
62,73,64,59,45,36,39,19,"1"
57,43,61,63,13,17,6,69,"1"
70,71,79,55,76,73,73,62,"1"
67,61,73,39,67,74,63,58,"1"
76,78,56,6,56,56,57,10,"1"
76,72,73,42,58,72,51,42,"1"
67,82,69,50,59,73,70,58,"1"
74,71,78,56,60,61,74,82,"1"
64,74,66,35,61,55,61,42,"1"
73,76,81,63,67,69,63,67,"1"
75,73,69,48,64,65,70,64,"1"
68,70,47,66,57,74,76,73,"1"
65,68,79,52,31,26,35,43,"1"
73,74,84,38,62,58,67,56,"1"
69,75,74,44,68,66,62,56,"1"
67,70,77,73,67,77,69,71,"1"
65,71,78,38,63,77,81,69,"1"
48,69,63,19,44,47,57,20,"1"
74,73,63,28,64,56,73,38,"1"
63,61,76,60,64,58,73,59,"1"
71,68,73,51,71,72,64,61,"1"
67,65,72,35,67,72,66,71,"1"
69,66,42,61,62,72,74,68,"1"
69,67,70,55,69,80,77,69,"1"
71,77,75,43,67,63,58,54,"1"
75,74,67,59,70,78,75,63,"1"
51,65,75,31,39,36,47,28,"1"
65,65,79,51,68,76,64,57,"1"
74,72,80,68,48,62,47,68,"1"
76,69,70,65,69,71,62,69,"1"
58,55,71,19,55,61,62,20,"1"
59,54,81,50,57,68,59,47,"1"
67,58,81,42,62,70,69,59,"1"
54,68,65,61,68,68,70,60,"1"
57,60,60,38,29,23,28,40,"1"
68,71,81,57,62,71,77,64,"1"
77,80,77,54,61,60,65,60,"1"
71,74,71,38,68,66,59,38,"1"
74,73,79,57,72,68,63,54,"1"
63,61,79,63,67,70,64,63,"1"
78,76,70,29,57,72,62,35,"1"
61,74,85,35,58,69,61,31,"1"
66,63,74,55,61,78,67,65,"1"
56,53,63,41,42,57,52,27,"1"
70,69,73,56,65,62,64,60,"1"
71,51,82,65,51,74,40,69,"1"
59,44,40,20,35,37,12,18,"1"
64,63,74,61,47,60,57,47,"1"
66,71,63,14,38,56,58,25,"1"
68,54,76,57,66,79,67,73,"1"
63,48,62,62,70,72,61,61,"1"
78,83,86,58,65,69,65,62,"1"
68,70,67,16,36,48,44,10,"1"
69,73,82,55,65,67,68,56,"1"
78,70,69,56,75,68,63,36,"1"
64,65,83,78,71,77,76,67,"1"
76,84,76,47,62,67,58,58,"1"
66,66,74,52,63,73,68,67,"1"
82,84,76,63,58,55,49,63,"1"
77,74,68,59,69,66,51,43,"1"
77,79,74,63,63,53,62,43,"1"
72,75,78,54,63,72,78,68,"1"
74,75,75,68,71,79,71,65,"1"
55,51,67,44,65,73,77,67,"1"
80,77,77,45,66,55,60,39,"1"
67,67,67,64,62,62,47,46,"1"
65,74,78,60,70,72,66,64,"1"
72,68,66,67,71,79,75,75,"1"
72,70,74,57,61,76,77,73,"1"
70,74,75,64,65,75,80,75,"1"
75,78,72,75,73,72,75,72,"1"
75,77,77,63,69,73,71,63,"1"
73,75,72,51,69,61,59,56,"1"
58,67,70,57,58,63,71,64,"1"
64,72,75,62,64,53,64,54,"1"
71,72,71,76,71,73,68,74,"1"
70,70,75,66,71,81,75,70,"1"
69,62,77,77,67,73,67,66,"1"
74,72,78,75,79,66,68,58,"1"
64,65,74,59,65,59,68,63,"1"
66,74,78,75,67,75,76,69,"1"
60,65,75,71,71,66,69,74,"1"
65,57,56,60,64,79,77,75,"1"
69,68,71,56,72,77,70,62,"1"
71,71,80,62,64,72,70,78,"1"
73,78,81,55,65,69,73,66,"1"
71,72,67,75,58,65,58,76,"1"
62,59,75,64,65,69,57,66,"1"
72,74,74,62,73,71,75,62,"1"
70,72,74,71,67,76,76,74,"1"
62,67,69,63,47,60,62,67,"1"
69,74,75,57,46,47,52,47,"1"
72,73,80,61,65,45,66,52,"1"
64,71,69,73,64,66,68,72,"1"
72,56,61,47,42,51,54,55,"1"
69,70,73,59,67,70,61,67,"1"
70,75,75,51,61,50,59,55,"1"
54,35,74,56,28,39,39,60,"1"
70,72,69,54,51,68,46,51,"1"
62,66,64,35,66,70,61,53,"1"
63,60,48,32,39,63,59,9,"1"
66,62,66,49,59,67,58,65,"1"
70,67,72,76,22,21,22,78,"1"
79,72,70,43,71,73,66,67,"1"
68,74,77,53,59,67,69,68,"1"
69,75,74,46,52,65,48,42,"1"
70,74,82,64,68,68,76,75,"1"
46,44,77,64,38,47,48,44,"1"
64,71,64,74,37,41,43,74,"1"
72,82,78,17,63,48,74,38,"1"
73,72,76,63,60,73,69,71,"1"
64,62,77,75,65,63,66,78,"1"
64,54,64,71,68,72,70,66,"1"
72,69,72,67,73,76,66,63,"1"
58,51,63,67,67,75,71,70,"1"
65,67,78,63,67,68,65,50,"1"
75,79,79,59,63,70,72,67,"1"
76,71,78,80,67,70,67,78,"1"
76,34,66,19,53,29,31,8,"1"
60,40,65,23,48,43,39,30,"1"
75,60,69,47,69,62,53,31,"1"
71,69,68,59,55,65,65,64,"1"
66,76,45,48,65,72,69,65,"1"
74,79,65,48,65,61,65,58,"1"
58,75,80,60,46,67,66,61,"1"
69,70,73,46,73,64,66,42,"1"
65,64,69,44,65,76,73,69,"1"
70,74,81,65,67,69,71,65,"1"
82,76,79,48,64,71,49,45,"1"
73,68,67,78,69,70,61,70,"1"
77,69,66,67,72,70,59,71,"1"
62,59,72,55,65,77,65,62,"1"
61,74,63,63,60,59,66,62,"1"
70,70,74,68,66,69,65,75,"0"
64,66,75,61,59,73,75,72,"0"
69,74,70,63,66,69,62,75,"0"
70,78,74,53,62,74,72,73,"0"
80,71,71,71,42,76,73,77,"0"
62,70,80,67,66,67,66,71,"0"
78,78,76,60,62,64,64,63,"0"
63,66,56,64,66,61,73,68,"0"
65,66,61,63,70,74,76,72,"0"
69,74,75,69,71,74,71,69,"0"
75,70,74,61,74,71,68,65,"0"
64,66,81,68,69,69,68,73,"0"
72,77,74,69,68,79,75,75,"0"
72,74,72,69,64,77,78,76,"0"
68,71,81,62,67,75,72,64,"0"
