"V5","V23","V29","V41","Class"
78,76,67,77,"1"
71,73,66,66,"1"
67,73,53,54,"1"
65,71,69,72,"1"
61,73,69,73,"1"
67,69,65,71,"1"
76,75,66,45,"1"
58,77,74,74,"1"
69,76,25,16,"1"
74,71,59,73,"1"
71,65,62,59,"1"
75,72,51,43,"1"
80,78,61,60,"1"
46,78,78,56,"1"
65,78,78,71,"1"
50,72,74,12,"1"
61,75,67,66,"1"
68,59,70,68,"1"
48,67,50,48,"1"
58,65,55,52,"1"
74,81,72,63,"1"
61,66,41,47,"1"
79,71,49,43,"1"
74,59,64,74,"1"
67,69,50,67,"1"
75,72,62,50,"1"
75,69,43,69,"1"
78,64,51,67,"1"
65,78,73,73,"1"
72,77,58,70,"1"
73,76,59,66,"1"
72,80,65,75,"1"
74,75,54,35,"1"
70,55,52,70,"1"
82,79,67,75,"1"
68,71,63,71,"1"
72,78,59,64,"1"
68,52,60,55,"1"
54,78,57,13,"1"
73,64,70,39,"1"
43,61,77,6,"1"
71,79,68,73,"1"
61,73,75,63,"1"
78,56,23,57,"1"
72,73,51,51,"1"
82,69,53,70,"1"
71,78,61,74,"1"
74,66,65,61,"1"
76,81,63,63,"1"
73,69,66,70,"1"
70,47,62,76,"1"
68,79,45,35,"1"
74,84,69,67,"1"
75,74,65,62,"1"
70,77,71,69,"1"
71,78,48,81,"1"
69,63,46,57,"1"
73,63,52,73,"1"
61,76,65,73,"1"
68,73,57,64,"1"
65,72,67,66,"1"
66,42,73,74,"1"
67,70,71,77,"1"
77,75,68,58,"1"
74,67,69,75,"1"
65,75,17,47,"1"
65,79,56,64,"1"
72,80,68,47,"1"
69,70,59,62,"1"
55,71,77,62,"1"
54,81,66,59,"1"
58,81,59,69,"1"
68,65,67,70,"1"
60,60,36,28,"1"
71,81,67,77,"1"
80,77,58,65,"1"
74,71,72,59,"1"
73,79,70,63,"1"
61,79,62,64,"1"
76,70,56,62,"1"
74,85,79,61,"1"
63,74,59,67,"1"
53,63,45,52,"1"
69,73,63,64,"1"
51,82,61,40,"1"
44,40,38,12,"1"
63,74,58,57,"1"
71,63,41,58,"1"
54,76,62,67,"1"
48,62,78,61,"1"
83,86,57,65,"1"
70,67,44,44,"1"
73,82,70,68,"1"
70,69,69,63,"1"
65,83,83,76,"1"
84,76,54,58,"1"
66,74,63,68,"1"
84,76,62,49,"1"
74,68,67,51,"1"
79,74,70,62,"1"
75,78,68,78,"1"
75,75,78,71,"1"
51,67,53,77,"1"
77,77,54,60,"1"
67,67,64,47,"1"
74,78,61,66,"1"
68,66,55,75,"1"
70,74,60,77,"1"
74,75,73,80,"1"
78,72,64,75,"1"
77,77,68,71,"1"
75,72,53,59,"1"
67,70,68,71,"1"
72,75,67,64,"1"
72,71,61,68,"1"
70,75,56,75,"1"
62,77,74,67,"1"
72,78,79,68,"1"
65,74,68,68,"1"
74,78,69,76,"1"
65,75,64,69,"1"
57,56,60,77,"1"
68,71,65,70,"1"
71,80,67,70,"1"
78,81,57,73,"1"
72,67,58,58,"1"
59,75,67,57,"1"
74,74,69,75,"1"
72,74,69,76,"1"
67,69,57,62,"1"
74,75,67,52,"1"
73,80,69,66,"1"
71,69,62,68,"1"
56,61,68,54,"1"
70,73,58,61,"1"
75,75,67,59,"1"
35,74,59,39,"1"
72,69,53,46,"1"
66,64,71,61,"1"
60,48,26,59,"1"
62,66,86,58,"1"
67,72,59,22,"1"
72,70,51,66,"1"
74,77,69,69,"1"
75,74,65,48,"1"
74,82,71,76,"1"
44,77,68,48,"1"
71,64,64,43,"1"
82,78,61,74,"1"
72,76,70,69,"1"
62,77,73,66,"1"
54,64,64,70,"1"
69,72,58,66,"1"
51,63,66,71,"1"
67,78,70,65,"1"
79,79,56,72,"1"
71,78,69,67,"1"
34,66,42,31,"1"
40,65,77,39,"1"
60,69,80,53,"1"
69,68,40,65,"1"
76,45,27,69,"1"
79,65,50,65,"1"
75,80,58,66,"1"
70,73,80,66,"1"
64,69,48,73,"1"
74,81,75,71,"1"
76,79,70,49,"1"
68,67,67,61,"1"
69,66,53,59,"1"
59,72,56,65,"1"
74,63,69,66,"1"
70,74,64,65,"0"
66,75,60,75,"0"
74,70,61,62,"0"
78,74,58,72,"0"
71,71,47,73,"0"
70,80,61,66,"0"
78,76,63,64,"0"
66,56,60,73,"0"
66,61,66,76,"0"
74,75,61,71,"0"
70,74,63,68,"0"
66,81,68,68,"0"
77,74,69,75,"0"
74,72,66,78,"0"
71,81,72,72,"0"
