"V5","V23","V29","V41","Class"
67,66,54,62,"1"
67,78,70,73,"1"
64,74,68,55,"1"
78,66,54,73,"1"
66,77,40,64,"1"
75,70,55,77,"1"
75,67,65,68,"1"
62,62,59,58,"1"
68,76,36,79,"1"
79,70,49,67,"1"
62,74,69,76,"1"
77,70,51,61,"1"
73,78,67,65,"1"
66,65,50,68,"1"
74,71,67,62,"1"
65,69,60,60,"1"
66,57,41,44,"1"
72,67,53,67,"1"
57,74,66,67,"1"
77,75,69,71,"1"
55,74,71,69,"1"
62,78,70,72,"1"
62,84,71,70,"1"
58,52,31,30,"1"
51,59,66,54,"1"
68,76,54,67,"1"
79,68,60,61,"1"
72,80,63,67,"1"
74,67,62,59,"1"
67,75,68,52,"1"
75,60,63,65,"1"
62,78,57,43,"1"
63,71,59,74,"1"
72,78,73,58,"1"
72,80,56,65,"1"
74,78,61,60,"1"
68,82,64,71,"1"
74,79,50,72,"1"
78,74,54,64,"1"
68,73,44,67,"1"
70,77,67,71,"0"
70,73,68,77,"0"
67,73,66,75,"0"
77,75,69,73,"0"
77,67,61,76,"0"
80,82,60,70,"0"
76,81,70,68,"0"
68,79,65,71,"0"
74,76,63,75,"0"
74,78,67,76,"0"
69,78,79,74,"0"
78,72,52,75,"0"
75,80,67,69,"0"
76,74,59,74,"0"
76,73,68,72,"0"
69,76,60,76,"0"
78,80,67,67,"0"
75,77,67,67,"0"
72,78,74,77,"0"
78,68,78,72,"0"
69,79,64,77,"0"
84,71,57,77,"0"
76,72,62,72,"0"
60,78,64,71,"0"
70,78,71,79,"0"
68,66,60,72,"0"
71,78,68,74,"0"
72,76,68,72,"0"
78,80,65,72,"0"
72,76,62,66,"0"
67,75,64,64,"0"
78,78,61,77,"0"
70,73,58,80,"0"
74,81,82,72,"0"
80,77,66,78,"0"
72,77,58,71,"0"
71,75,70,68,"0"
75,75,61,75,"0"
72,77,69,75,"0"
66,72,57,69,"0"
