"V5","V41","Class"
78,77,"1"
71,66,"1"
67,54,"1"
65,72,"1"
61,73,"1"
67,71,"1"
76,45,"1"
58,74,"1"
69,16,"1"
74,73,"1"
71,59,"1"
75,43,"1"
80,60,"1"
46,56,"1"
65,71,"1"
50,12,"1"
61,66,"1"
68,68,"1"
48,48,"1"
58,52,"1"
74,63,"1"
61,47,"1"
79,43,"1"
74,74,"1"
67,67,"1"
75,50,"1"
75,69,"1"
78,67,"1"
65,73,"1"
72,70,"1"
73,66,"1"
72,75,"1"
74,35,"1"
70,70,"1"
82,75,"1"
68,71,"1"
72,64,"1"
68,55,"1"
54,13,"1"
73,39,"1"
43,6,"1"
71,73,"1"
61,63,"1"
78,57,"1"
72,51,"1"
82,70,"1"
71,74,"1"
74,61,"1"
76,63,"1"
73,70,"1"
70,76,"1"
68,35,"1"
74,67,"1"
75,62,"1"
70,69,"1"
71,81,"1"
69,57,"1"
73,73,"1"
61,73,"1"
68,64,"1"
65,66,"1"
66,74,"1"
67,77,"1"
77,58,"1"
74,75,"1"
65,47,"1"
65,64,"1"
72,47,"1"
69,62,"1"
55,62,"1"
54,59,"1"
58,69,"1"
68,70,"1"
60,28,"1"
71,77,"1"
80,65,"1"
74,59,"1"
73,63,"1"
61,64,"1"
76,62,"1"
74,61,"1"
63,67,"1"
53,52,"1"
69,64,"1"
51,40,"1"
44,12,"1"
63,57,"1"
71,58,"1"
54,67,"1"
48,61,"1"
83,65,"1"
70,44,"1"
73,68,"1"
70,63,"1"
65,76,"1"
84,58,"1"
66,68,"1"
84,49,"1"
74,51,"1"
79,62,"1"
75,78,"1"
75,71,"1"
51,77,"1"
77,60,"1"
67,47,"1"
74,66,"1"
68,75,"1"
70,77,"1"
74,80,"1"
78,75,"1"
77,71,"1"
75,59,"1"
67,71,"1"
72,64,"1"
72,68,"1"
70,75,"1"
62,67,"1"
72,68,"1"
65,68,"1"
74,76,"1"
65,69,"1"
57,77,"1"
68,70,"1"
71,70,"1"
78,73,"1"
72,58,"1"
59,57,"1"
74,75,"1"
72,76,"1"
67,62,"1"
74,52,"1"
73,66,"1"
71,68,"1"
56,54,"1"
70,61,"1"
75,59,"1"
35,39,"1"
72,46,"1"
66,61,"1"
60,59,"1"
62,58,"1"
67,22,"1"
72,66,"1"
74,69,"1"
75,48,"1"
74,76,"1"
44,48,"1"
71,43,"1"
82,74,"1"
72,69,"1"
62,66,"1"
54,70,"1"
69,66,"1"
51,71,"1"
67,65,"1"
79,72,"1"
71,67,"1"
34,31,"1"
40,39,"1"
60,53,"1"
69,65,"1"
76,69,"1"
79,65,"1"
75,66,"1"
70,66,"1"
64,73,"1"
74,71,"1"
76,49,"1"
68,61,"1"
69,59,"1"
59,65,"1"
74,66,"1"
70,65,"0"
66,75,"0"
74,62,"0"
78,72,"0"
71,73,"0"
70,66,"0"
78,64,"0"
66,73,"0"
66,76,"0"
74,71,"0"
70,68,"0"
66,68,"0"
77,75,"0"
74,78,"0"
71,72,"0"
