"V5","V41","Class"
67,62,"1"
67,73,"1"
64,55,"1"
78,73,"1"
66,64,"1"
75,77,"1"
75,68,"1"
62,58,"1"
68,79,"1"
79,67,"1"
62,76,"1"
77,61,"1"
73,65,"1"
66,68,"1"
74,62,"1"
65,60,"1"
66,44,"1"
72,67,"1"
57,67,"1"
77,71,"1"
55,69,"1"
62,72,"1"
62,70,"1"
58,30,"1"
51,54,"1"
68,67,"1"
79,61,"1"
72,67,"1"
74,59,"1"
67,52,"1"
75,65,"1"
62,43,"1"
63,74,"1"
72,58,"1"
72,65,"1"
74,60,"1"
68,71,"1"
74,72,"1"
78,64,"1"
68,67,"1"
70,71,"0"
70,77,"0"
67,75,"0"
77,73,"0"
77,76,"0"
80,70,"0"
76,68,"0"
68,71,"0"
74,75,"0"
74,76,"0"
69,74,"0"
78,75,"0"
75,69,"0"
76,74,"0"
76,72,"0"
69,76,"0"
78,67,"0"
75,67,"0"
72,77,"0"
78,72,"0"
69,77,"0"
84,77,"0"
76,72,"0"
60,71,"0"
70,79,"0"
68,72,"0"
71,74,"0"
72,72,"0"
78,72,"0"
72,66,"0"
67,64,"0"
78,77,"0"
70,80,"0"
74,72,"0"
80,78,"0"
72,71,"0"
71,68,"0"
75,75,"0"
72,75,"0"
66,69,"0"
