"Iteration #"	"Inertia"	"Number of features"	"CV best"	"Permuted CV best"	"Global best fitness"	"Current best fitness"	"Number of features in current best agent"	"Number of features in global best"	"Number of features in local best"
1	1	20	80.6637076668152	45.8019991750134	114.934146292417	114.934146292417	9	20	20
2	1	10	78.8967066387192	46.3406888823771	202.22844210107	202.22844210107	5	10	10
3	1	10	78.8967066387192	46.3406888823771	202.22844210107	196.666189234714	5	10	7
4	1	10	84.4176046406901	48.0508226480993	224.042712283299	224.042712283299	3	9	9
5	1	10	84.4176046406901	48.0508226480993	224.042712283299	201.927798068577	12	9	9
6	1	10	84.4176046406901	48.0508226480993	224.042712283299	208.957996773783	10	9	9
7	1	10	84.4176046406901	48.0508226480993	224.042712283299	208.921499885648	10	9	10
8	1	10	84.4176046406901	48.0508226480993	224.042712283299	222.294290270725	12	9	10
9	1	7	85.2647714018457	48.0635438861917	228.638523279192	228.638523279192	8	6	6
10	1	7	85.2647714018457	48.0635438861917	228.638523279192	190.264791762665	6	6	8
11	1	7	85.2647714018457	48.0635438861917	228.638523279192	223.723806503365	8	6	4
12	1	8	85.1953746327269	39.7715838919696	269.71664102015	269.71664102015	6	7	7
13	1	8	85.1953746327269	39.7715838919696	269.71664102015	206.568693022961	5	7	9
14	1	8	85.1953746327269	39.7715838919696	269.71664102015	226.975482000648	7	7	6
15	1	8	85.1953746327269	39.7715838919696	269.71664102015	240.235352192219	9	7	7
16	1	8	85.1953746327269	39.7715838919696	269.71664102015	196.364311791236	7	7	7
17	1	8	85.1953746327269	39.7715838919696	269.71664102015	208.750286222344	8	7	9
18	1	8	85.1953746327269	39.7715838919696	269.71664102015	197.349786231938	6	7	8
19	1	8	85.1953746327269	39.7715838919696	269.71664102015	215.606735022929	7	7	9
20	1	8	85.1953746327269	39.7715838919696	269.71664102015	232.058719129088	10	7	10
21	1	8	85.1953746327269	39.7715838919696	269.71664102015	235.168163201405	7	7	9
22	1	8	85.1953746327269	39.7715838919696	269.71664102015	230.691786957713	7	7	7
23	1	8	85.1953746327269	39.7715838919696	269.71664102015	226.948702452825	6	7	8
24	1	8	85.1953746327269	39.7715838919696	269.71664102015	212.123097911313	7	7	6
25	1	8	85.1953746327269	39.7715838919696	269.71664102015	222.02346446444	7	7	7
26	1	8	85.1953746327269	39.7715838919696	269.71664102015	224.187068953864	7	7	7
27	1	8	85.1953746327269	39.7715838919696	269.71664102015	231.366600031415	7	7	7
28	1	8	85.1953746327269	39.7715838919696	269.71664102015	225.513789266523	7	7	6
29	1	8	85.1953746327269	39.7715838919696	269.71664102015	232.128877611625	10	7	7
