"Iteration #"	"Inertia"	"Number of features"	"CV best"	"Permuted CV best"	"Global best fitness"	"Current best fitness"	"Number of features in current best agent"	"Number of features in global best"	"Number of features in local best"
1	1	0.25	-10000	-10000	-1e+14	92.8332785133255	6	0	600
2	1	0.25	-10000	-10000	-1e+14	208.235737218951	4	0	6
3	1	0.25	-10000	-10000	-1e+14	212.208577015506	4	0	6
4	1	0.25	-10000	-10000	-1e+14	208.861539670506	9	0	9
5	1	0.25	-10000	-10000	-1e+14	223.897394976033	4	0	3
6	1	0.25	-10000	-10000	-1e+14	277.442285012158	7	0	6
7	1	0.25	-10000	-10000	-1e+14	210.587179021018	11	0	10
8	1	0.25	-10000	-10000	-1e+14	225.248310964638	9	0	5
9	1	0.25	-10000	-10000	-1e+14	227.124531414233	9	0	9
10	1	0.25	-10000	-10000	-1e+14	217.077233031604	7	0	10
11	1	0.25	-10000	-10000	-1e+14	212.42714429793	11	0	8
12	1	0.25	-10000	-10000	-1e+14	234.832967616098	1	0	20
13	1	0.25	-10000	-10000	-1e+14	246.560941972989	5	0	4
14	1	0.25	-10000	-10000	-1e+14	209.893429410786	2	0	4
15	1	0.25	-10000	-10000	-1e+14	235.811740423387	6	0	5
16	1	0.25	-10000	-10000	-1e+14	251.765810261418	11	0	10
17	1	0.25	-10000	-10000	-1e+14	240.212420135835	3	0	6
18	1	0.25	-10000	-10000	-1e+14	212.092908964732	11	0	6
19	1	0.25	-10000	-10000	-1e+14	252.759446888704	5	0	4
20	1	0.25	-10000	-10000	-1e+14	246.551564197777	10	0	11
21	1	0.25	-10000	-10000	-1e+14	275.064991821701	1	0	5
22	1	0.25	-10000	-10000	-1e+14	233.043574164127	4	0	4
23	1	0.25	-10000	-10000	-1e+14	274.711723020366	5	0	10
24	1	0.25	-10000	-10000	-1e+14	257.226668439409	10	0	8
25	1	0.25	-10000	-10000	-1e+14	271.75130329957	5	0	4
26	1	0.25	-10000	-10000	-1e+14	218.746614859979	2	0	2
27	1	0.25	-10000	-10000	-1e+14	218.317898140176	2	0	6
28	1	0.25	-10000	-10000	-1e+14	276.646562530402	3	0	11
29	1	0.25	-10000	-10000	-1e+14	248.269663863556	5	0	4
30	1	0.25	-10000	-10000	-1e+14	243.729785795287	5	0	5
31	1	0.25	-10000	-10000	-1e+14	232.645418724683	7	0	8
32	1	0.25	-10000	-10000	-1e+14	246.690236968323	9	0	8
33	1	0.25	-10000	-10000	-1e+14	266.673838910099	9	0	9
34	1	0.25	-10000	-10000	-1e+14	218.387065914988	9	0	9
35	1	0.25	-10000	-10000	-1e+14	232.645418724683	9	0	9
36	1	0.25	-10000	-10000	-1e+14	311.103524656155	9	0	8
37	1	0.25	-10000	-10000	-1e+14	269.666141682546	7	0	6
38	1	0.25	-10000	-10000	-1e+14	252.465165049786	9	0	8
39	1	0.25	-10000	-10000	-1e+14	306.865052952142	6	0	9
40	1	0.25	-10000	-10000	-1e+14	238.175083186648	10	0	9
41	1	0.25	-10000	-10000	-1e+14	247.83338128071	4	0	7
42	1	0.25	-10000	-10000	-1e+14	223.211281494692	7	0	8
43	1	0.25	-10000	-10000	-1e+14	275.52345239028	8	0	9
44	1	0.25	-10000	-10000	-1e+14	274.841217090103	10	0	9
45	1	0.25	-10000	-10000	-1e+14	258.043991690046	12	0	9
46	1	0.25	-10000	-10000	-1e+14	282.873130929703	9	0	7
