"V2","V5","V7","V9","V10","V11","V15","V17","V23","V25","V26","V27","V29","V30","V31","V33","V34","V40","V41","V42"
67,78,63,60,63,62,73,61,76,79,70,70,67,65,67,75,63,74,77,76
75,71,58,64,71,68,71,58,73,72,66,60,66,70,64,70,64,69,66,64
83,67,74,72,64,68,73,57,73,69,63,57,53,67,60,74,69,68,54,65
72,65,61,78,73,69,65,66,71,65,64,60,69,70,69,72,61,71,72,65
62,61,63,68,70,65,65,68,73,75,76,67,69,66,71,61,54,72,73,71
68,67,72,72,70,71,67,69,69,67,64,59,65,73,70,69,63,77,71,77
80,76,68,76,69,66,71,61,75,66,58,62,66,55,40,71,67,59,45,53
68,58,57,78,59,53,50,50,77,49,53,44,74,64,66,63,52,77,74,66
77,69,66,55,67,67,71,54,76,71,63,44,25,21,18,79,57,19,16,68
69,74,67,73,67,65,68,57,71,69,40,38,59,67,67,78,65,74,73,64
65,71,63,70,44,51,49,52,65,48,58,43,62,71,70,73,71,62,59,59
65,75,61,65,62,62,70,52,72,50,39,36,51,41,43,70,56,49,43,43
71,80,67,77,66,68,74,62,78,77,60,59,61,53,46,75,67,62,60,61
64,46,54,78,61,68,28,58,78,32,40,43,78,49,49,39,31,60,56,41
62,65,31,66,53,54,50,25,78,47,27,34,78,68,68,68,60,68,71,31
57,50,57,44,44,24,69,61,72,71,42,44,74,29,19,77,65,27,12,41
67,61,62,74,68,68,75,68,75,70,67,63,67,69,66,77,64,75,66,71
62,68,71,76,62,52,65,70,59,55,72,65,70,69,66,66,61,74,68,73
67,48,67,78,71,61,50,72,67,50,39,33,50,57,50,41,38,61,48,63
65,58,79,71,59,50,64,73,65,62,63,70,55,59,52,60,59,57,52,71
71,74,69,73,65,63,74,64,81,60,39,39,72,58,64,71,56,57,63,41
73,61,52,46,70,59,75,33,66,58,30,14,41,54,41,66,77,58,47,40
77,79,59,68,57,54,66,36,71,63,43,38,49,53,42,73,62,55,43,41
66,74,61,65,59,58,67,52,59,72,54,45,64,61,60,74,58,75,74,70
69,67,61,67,62,71,77,54,69,72,51,39,50,64,63,70,59,66,67,67
74,75,57,68,70,62,70,56,72,66,60,57,62,59,38,66,71,70,50,45
66,75,64,66,66,69,65,52,69,63,51,50,43,41,49,74,67,65,69,69
79,78,65,71,64,54,69,64,64,67,60,57,51,65,68,75,66,71,67,71
61,65,66,67,60,62,70,67,78,80,76,76,73,65,73,63,53,73,73,67
63,72,70,72,71,67,71,69,77,66,62,59,58,61,65,75,63,68,70,74
73,73,75,77,61,60,77,71,76,80,72,69,59,71,68,79,68,68,66,74
66,72,71,71,60,67,72,66,80,69,70,65,65,62,66,76,59,70,75,74
55,74,25,27,69,64,70,38,75,58,42,37,54,20,15,73,66,24,35,18
70,70,54,67,68,70,59,62,55,61,46,49,52,66,72,65,62,67,70,56
71,82,63,71,66,64,59,57,79,65,63,63,67,68,70,77,60,71,75,72
57,68,76,62,66,67,70,69,71,71,69,65,63,54,63,74,73,71,71,71
72,72,69,73,71,71,71,74,78,67,62,60,59,69,66,75,57,69,64,58
60,68,48,60,56,48,43,43,52,42,20,23,60,38,41,70,64,65,55,19
33,54,52,50,26,29,71,68,78,67,62,47,57,23,26,74,52,11,13,62
58,73,41,54,65,77,65,48,64,58,60,59,70,45,40,74,52,36,39,22
58,43,57,53,68,58,50,73,61,56,48,63,77,13,7,52,54,17,6,15
77,71,66,75,73,72,65,58,79,64,60,55,68,76,74,75,65,73,73,63
65,61,57,74,64,69,71,53,73,70,47,39,75,67,64,66,53,74,63,59
77,78,34,63,65,26,46,66,56,47,12,6,23,56,48,55,63,56,57,5
