"V2","V5","V7","V9","V10","V11","V15","V17","V23","V25","V26","V27","V29","V30","V31","V33","V34","V40","V41","V42"
59,67,66,61,58,52,77,65,66,74,63,64,54,67,54,74,65,72,62,74
72,67,82,65,69,63,74,71,78,79,74,69,70,71,69,70,62,69,73,67
71,64,64,65,70,69,65,61,74,47,53,37,68,72,59,68,60,64,55,61
69,78,63,65,59,59,75,58,66,74,64,60,54,70,73,76,62,72,73,68
70,66,58,69,72,68,71,59,77,70,41,37,40,58,46,73,65,70,64,60
57,75,74,71,57,61,69,58,70,71,65,63,55,61,68,74,63,79,77,72
69,75,71,76,69,70,80,64,67,69,65,57,65,68,65,73,63,69,68,70
61,62,72,67,74,68,71,74,62,60,66,65,59,64,59,65,55,60,58,60
65,68,67,71,64,56,69,57,76,78,53,47,36,68,65,73,60,77,79,68
74,79,61,66,65,64,57,36,70,57,52,36,49,55,65,73,58,62,67,60
70,62,60,77,69,69,70,65,74,60,54,44,69,68,68,73,61,64,76,64
67,77,70,72,72,67,76,71,70,73,70,70,51,70,68,77,75,65,61,73
76,73,67,70,77,70,75,71,78,76,66,76,67,67,57,75,50,75,65,74
70,66,60,77,70,67,79,64,65,67,59,52,50,67,61,72,67,74,68,77
78,74,69,74,68,67,71,67,71,62,64,66,67,66,62,75,61,71,62,69
67,65,56,63,64,56,62,58,69,59,64,55,60,70,60,65,58,74,60,76
70,66,46,58,68,52,58,32,57,54,58,30,41,59,59,73,62,65,44,73
63,72,62,57,68,53,78,58,67,68,57,55,53,66,60,77,73,77,67,78
62,57,75,59,65,59,65,69,74,63,62,72,66,66,61,68,59,76,67,77
80,77,74,77,64,61,72,66,75,75,59,64,69,66,66,77,62,74,71,66
63,55,58,74,44,48,67,73,74,72,77,75,71,71,67,73,60,70,69,71
70,62,67,74,62,61,74,62,78,70,67,65,70,49,48,71,65,73,72,73
61,62,60,75,61,57,59,62,84,71,69,69,71,49,43,64,56,69,70,65
70,58,89,72,26,30,59,40,52,72,23,46,31,17,20,72,61,31,30,57
75,51,50,69,46,55,48,60,59,73,54,60,66,54,41,52,58,64,54,36
